name,address,type,unit
Bridgette's Family Restaurant,45 Bloor St E Oshawa ON L1H 3L9,,durham
Brig - Dockside Restaurant,10 Lakebreeze Dr Newcastle ON L1B 1C1,,durham
Brooklin Pub,1-15 Baldwin St Brooklin ON L1M 1A2,,durham
Brooks Farm Market,122 Ashworth Rd Zephyr ON L0E 1T0,,durham
Brother's Ristorante,110 Lupin Dr Whitby ON L1N 1Y8,,durham
B-Town Halal BBQ & Sandwiches,6-42 King St E Bowmanville ON L1C 1N2,,durham
Buffalo Wild Wings Bar & Grill,J1-130 Kingston Rd E Ajax ON L1Z 1G1,,durham
Buffalo Wild Wings Grill & Bar,903 Taunton Rd E Oshawa ON L1H 7K5,,durham
Bull Dog Pub and Grill,600 Grandview St S Oshawa ON L1H 8P4,,durham
Burger Delight,1-100 Mearns Ave Bowmanville ON L1C 5M3,,durham
Burger King,1650 Victoria St E Whitby ON L1N 9L4,,durham
Burgerlicious,6 Old Kingston Rd Ajax ON L1T 2Z7,,durham
Burgers On Fleek,135 Harwood Ave N Ajax ON L1Z 1E8,,durham
Butchie's,939 Dundas St W Whitby ON L1N 2N8,,durham
Cafe Casa,7 William St. E Oshawa ON,,durham
Cafe Oshawa House,62 King St. West Oshawa ON L1H 1A6,,durham
Caffe Demetre,75 Consumers Drive Whitby ON L1N 1C4,,durham
Caldense Bakery,301 Dundas St W Whitby ON L1N 2M5,,durham
California Sandwiches-Drums N Flats,60 Randall Dr Ajax ON L1S 6L3,,durham
Canbe Foods,3 & 4-336 Rossland Rd E Ajax ON L1Z 0L9,,durham
Captain George Fish & Chips,25-1300 King St E Oshawa ON L1H 8J4,,durham
Captain George's Fish & Chips,219 King St E Bowmanville ON L1C 1P7,,durham
Captain George's Fish & Chips,355 Wentworth St W Oshawa ON L1J 6G5,,durham
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,,durham
Captain George's Fish & Chips,201 Dundas St W Whitby ON L1N 2M4,,durham
Captain George's Fish & Chips,112-1910 Dundas St E Whitby ON L1N 2L6,,durham
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,,durham
Captain George's Fish & Chips,161 Queen St Port Perry ON L9L 1B8,,durham
Captain George's Fish and Chips,282 King Ave E Newcastle ON L1B 1H5,,durham
Caribbean Heat,985 Brock Rd Pickering ON L1W 3A4,,durham
Casino Ajax,50 Alexander's Crossing Ajax Ontario L1Z 2E6,,durham
Casino Pizza,2000 Clements Rd Pickering ON L1W 4A1,,durham
Castle John’s Pub & Restaurant,11-1894 Scugog St Port Perry ON L9L 1H7,,durham
Castle John's Pub & Restaurant,789 King Ave Newcastle ON L1B 1K8,,durham
Cedar Point Market Restaurant,B-B27551 Regional Rd 23 Beaverton ON L0K 1A0,,durham
Centre Cafe,103-220 Dundas St W Whitby ON L1N 8M7,,durham
Chalet Restaurant,693 Queen St Port Perry ON L9L 1K6,,durham
Champ's Caribbean Restaurant,1288 Ritson Rd N Oshawa ON L1G 7Z9,,durham
Charley Ronicks,3050 Garden St Whitby ON L1R 2G7,,durham
Charloma Star African & Caribbean Restaurant,A3-1121 Dundas St E Whitby ON L1N 2K5,,durham
Charminar Indian Cuisine,103A-114 Dundas St E Whitby ON L1N 2H7,,durham
Chasers Bar and Grill,21-1300 King St E Oshawa ON L1H 8J4,,durham
Chatterpaul's,3500 Brock St N Whitby ON L1R 3J4,,durham
Chen's China House,3-1 Douglas Rd Uxbridge ON L6P 1S9,,durham
Cherry Downs Golf Club,2110 Seventh Concession Rd Pickering ON L1Y 1A2,,durham
Chuck E. Cheese,Bldg J-75 Consumers Dr Whitby ON L1N 9S2,,durham
Chucks Roadhouse,283 Kingston Rd E Ajax ON L1Z 0K5,,durham
Chuck's Roadhouse,1650 Victoria St E Whitby ON L1N 9M3,,durham
Chuck's Roadhouse,700 Taunton Road East Whitby ON L1R 0K6,,durham
Chuck's Roadhouse,780 Kingston Rd Pickering ON L1V 0C5,,durham
Chucks Roadhouse Bar & Grill,1-1414 King St E Courtice ON L1E 2B1,,durham
Chuck's Roadhouse Bar & Grill,14375 Simcoe St Port Perry ON L9L 2C8,,durham
Chuck's Roadhouse Bar & Grill,14375 Simcoe St Port Perry ON L9L 2C8,,durham
Churchill's Fish & Chips,12A & 12B-250 Taunton Rd E Oshawa ON L1G 7T1,,durham
Church's Chicken,1549 Dundas St E Whitby ON L1N 5R4,,durham
Churrasco of Portugal,1-95 Middlecote Dr Ajax ON L1T 0K3,,durham
Chutney Naan Kabob,8-475 Westney Rd N Ajax ON L1T 3H4,,durham
Chuuk Restaurant,774 Liverpool Rd Pickering ON L1W 1R9,,durham
Ciao Amici,8 Bond St W Oshawa ON L1R 1A2,,durham
Cielito Lindo,6-1660 Kingston Rd Pickering ON L1V 5R2,,durham
Cindy's Cafe,19 Brock St W Uxbridge ON L9P 1P5,,durham
Claremont Country Depot,1750 Hoxton Street Claremont ON L1Y 1A3,,durham
Clarington Museums and Archives,37 Silver St Bowmanville ON L1C 3A8,,durham
Cocktail House Bar & Lounge,11&12-2200 Brock Rd N Pickering ON L1X 2R2,,durham
Coffee Culture Cafe & Eatery,555 Rossland Rd E Oshawa ON L1K 1K8,,durham
Col. McGrady's Pub & Grill,44 Brock St W Uxbridge ON L9P 1P3,,durham
Col. Mustard's Bar & Grill,15 Water St Port Perry ON L9L 1J2,,durham
Colala Poutine & Bar,1565 Regional Rd 15 Beaverton ON L0K 1A0,,durham
Comino's Pizza and Wings,124-1910 Dundas St E Whitby ON L1N 2L6,,durham
Cool Cow Ice Cream,361 Simcoe St Beaverton ON L0K 1A0,,durham
Copper Branch,122-2377 Durham Regional Highway 2 Bowmanville ON L1C 5A5,,durham
Copper Branch,66 Baldwin St N Brooklin ON L1M 1A3,,durham
Copperworks Brew Pub & Restaurant,7 Division St Bowmanville ON L1C 2Z2,,durham
Coppins Corners Diner,4029 Brock Rd Uxbridge ON L9P 1R4,,durham
Coppinwood Golf Club,2324 Concession 4 Goodwood ON L0C 1A0,,durham
Cora Breakfast & Lunch,1755 Pickering Pkwy Pickering ON L1V 6K5,,durham
Cora Breakfast & Lunch,E6-150 Taunton Rd W Whitby ON L1R 3H8,,durham
Corrado's,38 Baldwin St Brooklin ON L1M 1A2,,durham
Cosy's Diner,6-500 Rossland Rd W Oshawa ON L1J 3H2,,durham
Country Perks Bar & Grill,1-1648 Taunton Rd Hampton ON L0B 1J0,,durham
Country Style Donuts,1185 Regional Rd 21 Manchester ON L9L 1B5,,durham
Courtyard and Towneplace Suites by Marriott Oshawa,1011 Bloor St E Oshawa ON L1H 7K6,,durham
Coyote Jack's Bar & Grill,64 Harwood Ave S Ajax ON L1S 2H6,,durham
Crazy Jack Bar and Grill,19 King St W Oshawa ON L1H 1A1,,durham
Crepe Castle,1272 Simcoe St N Oshawa ON L1G 4X4,,durham
Cross Country Donuts/Captain Williams Fish and Chips,2-240 Harwood Ave S Ajax ON L1S 2H6,,durham
Crown Pizza & Fried Chicken,J05-308 Taunton Rd E Whitby ON L1R 3K5,,durham
CSA Cafeteria,1 Holt Rd Bowmanville ON L1C 3W2,,durham
Cupcakes Canada,78 Old Kingston Rd Ajax ON L1T 2Z5,,durham
Curry Club,38 Simcoe St N Oshawa ON L1G 4S1,,durham
Cyrus Persian Cuisine,563 Ritson Rd S Oshawa ON L1H 5K6,,durham
Da Taste,5 & 6-361 King Ave E Newcastle ON L1B 1H4,,durham
Dagmar Ski Resort,1220 Lakeridge Rd Ashburn ON L0B 1A0,,durham
Dairy Queen,1003 Dundas St E Whitby ON L1N 2K4,,durham
Daniel Patricks,221 Nonquon Rd Oshawa ON L1G 3S8,,durham
Daybreak,3-2334 Durham Regional Hwy 2 Bowmanville ON L1C 3K7,,durham
Deadly Grounds Coffee,1413 Durham Regional Hwy 2 Courtice ON L1E 2J6,,durham
Deja Vu Cafe,2-100 Westney Rd S Ajax ON L1S 7H3,,durham
Delta Bingo,975 Dillingham Rd Pickering ON L1W 3B2,,durham
Denny's,75 Consumers Dr Whitby ON L1N 9S2,,durham
Dewey's Cafe,163 Church St Bowmanville ON L1C 1T7,,durham
Diamonds Billiards & Lounge,A1- 2200 Brock Rd Pickering ON L1X 2R2,,durham
Diamonds Grill,366 Wilson Rd S Oshawa ON L1H 6C7,,durham
Dine's Family Restaurant,400 King St W Oshawa ON L1J 2K2,,durham
Doner & Gyros,1-1800 Simcoe St N Oshawa ON L1G 4R7,,durham
Double Apple Cafe,4-1251 Simcoe St N Oshawa ON L1G 4X1,,durham
Down East Donairs,23 Bond St E Oshawa ON L1G 1A8,,durham
Down Omer Restaurant,522 Ritson Rd S Oshawa ON L1H 5K4,,durham
Dragon Gem Chinese Restaurant,19-1822 Whites Rd Pickering ON L1V 4M1,,durham
Dragon Rolls Japanese + Thai,6-8-1550 Kingston Rd Pickering ON L1V 1C3,,durham
Drinks & Dragons,1121 Dundas St East Whitby ON L1N 2K5,,durham
Drupati's Doubles & Roti Shop,252 Bayly St W Ajax ON L1S 3V4,,durham
Durham College - Bistro 67,1604 Champlain Ave Whitby ON L1N 6A7,,durham
Durham College- Market Place- Gordon Willey Building,2000 Simcoe St N Oshawa ON L1H 7K4,,durham
Durham College- Tim Hortons- Student Services Building,2000 Simcoe St N Oshawa ON L1H 7K4,,durham
East Side Mario’s Whitby,4170 Baldwin St S Whitby ON L1R 3H8,,durham
East Side Mario's,1365 Harmony Rd N Oshawa ON L1H 7K5,,durham
East Side Mario's,101 Clarington Blvd Bowmanville ON L1C 4Z3,,durham
East Side Mario's,102-1355 Kingston Rd Pickering ON L1V 1B8,,durham
East Side Mario's,471 Gibb St Oshawa ON L1J 1A4,,durham
Eggcellent Diner,4-375 Kingston Rd Pickering ON M1T 3E8,,durham
Egglicious Cafe & Grill,03-1121 Dundas St E Whitby ON L1N 2K4,,durham
Eggscellent Eatery Inc.,15 King St W Oshawa ON L1H 1A1,,durham
Eggscrepe,250 Bayly St W Ajax ON L1S 2E9,,durham
Eggscrepes Restaurant,633 King St E Oshawa ON L1H 1G3,,durham
Eggsmart,224 Ritson Rd N Oshawa ON L1G 1Z7,,durham
Eggsmart,465 Bayly St W Ajax ON L1S 6M7,,durham
Eggsmart,10-617 Victoria St W Whitby ON L1N 0E4,,durham
Eggsmart,170 Liberty St S Bowmanville ON L1C 4W4,,durham
Eggsmart,2-710 Taunton Rd E Whitby ON L1R 0K6,,durham
El Dorado Golf Club,615 Winchester Rd E Brooklin ON L1M 1X7,,durham
