name,address,type,unit
Kingswood Restaurant,43 Colborne St W. Brantford ON N3T 1K6,,brant
La Cantinella Ristorante,16 Main St S Saint George ON N0E 1N0,,brant
La Mia Cucina,8-340 Henry St Brantford ON N3S 7V9,,brant
Last Drop Cantina,640 Colborne Street East Brantford ON N3S 3P8,,brant
Legend's Tap House & Grill,17-1084 Rest Acres Rd Brant ON N3L 4G7,,brant
Lonnie's On Market,42 1/2 Market St Brantford ON N3T 2Z5,,brant
Lookout Sports Lounge,254 North Park Brantford ON N3R 4L1,,brant
Mama's Subs & More,50 Colborne St Brantford ON N3S 7T4,,brant
Mariano'sPizza,4-248 Lynden Rd Brantford ON N3R 8A3,,brant
Maria's Pizza Pasta and Pastry,242 Colborne St W. Brantford ON N3T 1L9,,brant
Mary Brown's Chicken & Taters,175-181 Lynden Rd. Brantford ON N3R8A7,,brant
McDonald's,299 Wayne Gretzky Pkwy Brantford ON N3R 8A5,,brant
McDonald's Restaurant,300 King George Rd Brantford ON N3R 5L7,,brant
McDonald's Restaurant,27 Stanley Street Brantford ON N3S 6M1,,brant
McDonald's Restaurant,440 Colborne Street West Brantford ON N3T 0J2,,brant
McDonald's Restaurant,4A Sinclair Blvd Brantford ON N3S 7X6,,brant
McDonald's Restaurant,73 King George Rd. Brantford ON N3R 5K2,,brant
McDonald's Restaurant,307 Grand River St N. Paris ON N3L 2N9,,brant
Meatsauce Pizza,431 St. Paul Ave.East Brantford ON N3A 4N8,,brant
Mercasa Little Italy Eatery,2-195 Henry St Brantford ON N3S 5C9,,brant
Midtown NY Kitchen & Coffee / Trattoria Midtown,59 Grand River Street North Paris ON N3L 2M3,,brant
Montana's BBQ & Bar,84 Lynden Rd Brantford ON N3R 6P8,,brant
Mr Chips Fish Diner,129 Colborne St. W. Brantford ON N3T 1K9,,brant
Mr. Submarine,410 Fairview Dr Brantford ON N3R 2X8,,brant
My-Thai Restaurant,393 ST. Paul Ave Brantford ON N3R 4N6,,brant
Nikki's Roadhouse,491-Hwy 2 Princeton ON N0J 1V0,,brant
Nine North Viet Thai Cuisine,86 Dalhousie St Brantford ON N3T 2J2,,brant
Northridge Golf Club,320 Balmoral Dr. Brantford ON N3T 1N3,,brant
Olde School Restaurant,687 Powerline Rd Brantford ON N3T 5L8,,brant
On The Lam Restaurant,106 Queen St. Brantford ON N3T 3B9,,brant
Oriental Restaurant,162 Market St. Brantford ON N3T 3A5,,brant
Palace Submarine,308 Colborne St Brantford ON N3S 3N1,,brant
Paris Diner,30 Paris Rd Brant ON N3L 3H8,,brant
Paris Pub,44 Grand River St N. Paris ON N3L 2M2,,brant
Paris Surf,24 Mechanic St Brant ON N3L 1J9,,brant
Pho Vietnam 999,205 King George Rd. Brantford ON N3R 6S8,,brant
Pies & Tarts From The Heart,"286-Oakland Rd. Scotland, P.O. Box 234 ON N0E 1R0",,brant
Pita Pit,185 King George Rd Brantford ON N3R 7R9,,brant
Pita Pit,2-320 Colborne Street West Brantford ON N3T 1M2,,brant
Pita Plus,28 Market Street Brantford ON N3T 2Z4,,brant
Pizza Hut,2-269 Clarence St Brantford ON N3R 3T6,,brant
