name,address,type,unit
Dynamyc Family Restaurant,224 Station Rd Espanola ON P5E 1G1,restaurant,sudbury
East Side Mario's,2040 Algonquin Rd Sudbury ON P3E 4Z6,restaurant,sudbury
East Side Mario's,900 Lasalle Blvd Sudbury ON P3A 1X5,restaurant,sudbury
Eddie's Restaurant,1769 Regent St Sudbury ON P3E 3Z7,restaurant,sudbury
Elliott's Restaurant,28 Vankoughnet St E P.O. Box 328 Little Current ON P0P 1K0,restaurant,sudbury
Espanola Golf Course,309 Golf Club Rd Espanola ON P5E 1A3,restaurant,sudbury
Fairfield Inn,490 Barrydowne Rd Sudbury ON P3A 4T3,restaurant,sudbury
Far East Restaurant,3060 Falconbridge Rd Garson ON P3L 1P6,restaurant,sudbury
Fionn MacCool's,1875 Regent St Sudbury ON P3E 3Z7,restaurant,sudbury
Fire Flame Jerk House,661 Notre Dame Ave Sudbury ON P3C 5L5,restaurant,sudbury
Fire House Bar and Grill,62 Dennie St Capreol ON P0M 1H0,restaurant,sudbury
First Round,1462 Main St Val Caron Ontario P3N 1R8,restaurant,sudbury
Five Guys Burgers and Fries (Store #1823),1400 Kingsway Blvd Sudbury ON P3B 0A3,restaurant,sudbury
Flame Lake Lodge,Flame Lake Rd Chapleau ON P0M 1K0,restaurant,sudbury
Flo's,63 Poupore Street Gogama Ontario P0M 1W0,restaurant,sudbury
Forest Ridge Country Club,3525 Forest Ridge Rd Chelmsford ON P0M 1L0,restaurant,sudbury
Freshii,3-3179 Hwy 69 N Val Caron Ontario P3N 1S5,restaurant,sudbury
Freshii,1540 Lasalle Blvd Sudbury ON P3A 1Z7,restaurant,sudbury
G. G. Diner,14957 Hwy 540 Evansville ON P0P 1E0,restaurant,sudbury
Gardens Gate Restaurant,316 Hwy 542 Tehkummah ON P0P 2C0,restaurant,sudbury
Gateway Marina,29 Channel Killarney ON P0M 2A0,restaurant,sudbury
Gloria's Restaurant,469 Bouchard St Sudbury ON P3E 2K8,restaurant,sudbury
Gogama Lodge,Gogama ON P0M 1W0,restaurant,sudbury
Golded Pizzeria,572 Kathleen St Sudbury ON P3C 2N3,restaurant,sudbury
Golden Dragon,322 Centre St Espanola ON P5E 1G3,restaurant,sudbury
Gonga's Grill,233 Brady St Sudbury ON P3B 4H5,restaurant,sudbury
Gonga's Grill,3098 Falconbridge Rd Garson ON P3L 1P8,restaurant,sudbury
Gonga's Grill,467 Falconbridge Rd Sudbury ON P3A 5N4,restaurant,sudbury
Gore Bay Loco Beanz Restaurant,50 Meredith St Gore Bay ON P0P 1H0,restaurant,sudbury
