name,address,unit,group
Fannie's On The Island Inc. Restaurant #826068B1O - Restaurant,1581 Bridge Rd Richards Landing ON P0R 1J0,algoma,treatment
Farmer's Talk Café - Restaurant,199 Main St Thessalon ON P0R1L0,algoma,treatment
Fat Bastard Burrito - Restaurant,150 Churchill BLVD Sault Ste. Marie ON P6A3Z9,algoma,treatment
Feeding Your Soul Cafe - Restaurant,96 White Oak Dr Sault Ste Marie ON P6B 4J8,algoma,treatment
Fireside Classic Grill - Restaurant,A-14 Oakland Blvd Elliot Lake ON P5A 2T1,algoma,treatment
Fishing Moose Lodge - Restaurant,Lot 1137 Hwy 17 N Mile Marker 957 N White River ON P0M 3G0,algoma,treatment
Flying J Truck Stop - Restaurant,996 Great Northern Rd Sault Ste Marie ON P6A 5K7,algoma,treatment
Franzisi's - Restaurant,130 Wellington St. E Sault Ste. Marie ON P6A 2L5,algoma,treatment
Fratelli's Kitchen & Pizza - Restaurant,522 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,algoma,treatment
Fraternal Order of Eagles - Restaurant,20 Trout Lake Rd Aweres Twp ON P6A 0E4,algoma,treatment
Frenchies Chicken and Ribs - Restaurant,1340 Great Northern Rd Sault Ste. Marie ON P6B 0B3,algoma,treatment
Frenchie's Fish House - Restaurant,1340 Great Northern Rd Sault Ste. Marie ON P6A 5K7,algoma,treatment
Freshii - Restaurant,5-480 Pim St Sault Ste. Marie ON P6B 2V4,algoma,treatment
Gem Family Restaurant - Restaurant,80 Hergott Ave Elliot Lake ON P5A 1H3,algoma,treatment
Georges Restaurant - Restaurant,5 Mountain Rd Elliot Lake ON P5A 2T1,algoma,treatment
Georgie's Shawarma - Restaurant,75 Elgin St. Sault Ste. Marie ON,algoma,treatment
Getaway Restaurant - Restaurant,30 Bay Street Sault Ste. Marie ON P6A 1W7,algoma,treatment
Gilbertson's Maple Products SDWS# 82613AAoq - Restaurant,3090 Huron Line Richard's Landing ON P0R 1J0,algoma,treatment
Gino's Restaurant - Restaurant,1076 Great Northern Road Sault Ste Marie ON P6B 6J8,algoma,treatment
Giovanni's Spaghetti Bowl - Restaurant,516 Great Northern Road Sault Ste. Marie ON P6B 4Z9,algoma,treatment
Gliss - Restaurant,133 Spring St Sault Ste. Marie ON P6B 3A2,algoma,treatment
Golden Dragon Restaurant and Tavern - Restaurant,264 Northern Avenue Sault Ste. Marie ON P6B 4H6,algoma,treatment
Hard Wok Cafe - Restaurant,303 Cathcart Street Sault Ste. Marie ON P6A 1E8,algoma,treatment
Harmony Beach Lakeview Resort - Restaurant,128 Harmony Beach Rd Harmony Beach ON P0S 1E0,algoma,treatment
Harvey's Restaurant - Restaurant,21 Trunk Rd Sault Ste. Marie ON P6A 3S2,algoma,treatment
Heyden Restaurant - Restaurant,770 Highway 17N ON P6A5K7,algoma,treatment
Hiawatha Highlands - Restaurant,780 Landslide Road Sault Ste Marie ON P6A 6J8,algoma,treatment
Hiawatha Ice Cream - Restaurant,780 Landslide Road Sault Ste. Marie ON P6B 6J8,algoma,treatment
Hidden River Lodge - Restaurant,Highway 101 Whitefish Wawa ON P0S 1K0,algoma,treatment
Hogan's Homestead - Restaurant,96 White Oak Drive Sault Ste Marie ON P6B 4J8,algoma,treatment
Holiday Inn Express Express Start - Restaurant,320 Bay St Sault Ste. Marie ON P6A 1X1,algoma,treatment
Hong Kong Restaurant - Restaurant,241 Trunk Road Sault Ste. Marie ON P6A 3S7,algoma,treatment
Howard Johnson Inc. - Restaurant,503 Trunk Road Sault Ste. Marie ON P6A 5T1,algoma,treatment
Husky / Esso - Restaurant,1275 Trunk Rd Sault Ste. Marie ON P6A 6X8,algoma,treatment
Icebreakers Sports Bar and Grill - Restaurant,260 Elizabeth St Sault Ste. Marie ON P6A 6J3,algoma,treatment
