name,address,type,unit
Bass Lake Roadhouse,4700 Muskoka Rd 169 W Foot's Bay ON P0C 1A0,,simcoe
Baton Rouge Steakhouse & Bar,336 Bayfield St Barrie ON L4M 3B9,,simcoe
Batteaux Creek Golf Club,7422 Sideroad 30 31 Nottawa ON L0M 1P0,,simcoe
Bayside Restaurant,500 Atherley Rd Orillia ON L3V 7Y1,,simcoe
Bayview Wildwood Resort,1500 Port Stanton Pkwy Severn Bridge ON P0E 1N0,,simcoe
"Beacon Restaurant, The",146 45th St N Wasaga Beach ON L9Z 1Z2,,simcoe
Beaver and Bulldog Sports Pub & Wingery,195 First St Collingwood ON L9Y 1A6,,simcoe
Beaver Tails,69 Main Street E Huntsville ON P1H 2B8,,simcoe
Bedrock Cafe,9393 Highway 11 S Severn ON L3V 6H3,,simcoe
Beertown Public House,12 Fairview Road Barrie ON L4N 4P3,,simcoe
Belle Aire Beach Bar and Grill,1111 Killarney Beach Road Lefroy ON L0L 1W0,,simcoe
Bent Taco,48 Pine St Collingwood ON L9Y 2N7,,simcoe
Bentley's,380 First St Collingwood ON L9Y 1B5,,simcoe
Bernie's Pizza & Wings,3-52 Queen St W Cookstown ON L0L 1L0,,simcoe
Best Western Plus,86 Howland Dr Huntsville ON P1H 1M3,,simcoe
Best Western Plus Portage Italian Bistro,440 Couchiching Point Rd Orillia ON L3V 6P8,,simcoe
Bethune's Bistro,205 Muskoka Rd S Gravenhurst ON P1P 1H6,,simcoe
Bibby's Corner,12-50 Main St E Beeton ON L0G 1A0,,simcoe
Big Bone BBQ & Wicked Wings,7-190 Minets Point Rd Barrie ON L4N 4C3,,simcoe
Big Cedar Golf Club,1590 Houston Ave Innisfil ON L9S 4M7,,simcoe
Big Chute Marina,1881 Whites Falls Rd Coldwater ON L0K 1E0,,simcoe
Big Momma's Soul Food,19 Simcoe Rd Bradford ON L3Z 2A8,,simcoe
Big Pho,C-145 Mapleview Dr W Barrie ON L4N 9H7,,simcoe
"Bigwin Island Golf Club, The",1137 Old Highway 117 Baysville ON P0B 1A0,,simcoe
"Bigwin Island Golf Club, The - Members Club",1137 Old Highway 117 Baysville ON P0B 1A0,,simcoe
Bill's Pizza,216 Manitoba St Bracebridge ON P1L 2E1,,simcoe
Bleu Garden Restaurant,740 Yonge Street Midland ON L4R 2E5,,simcoe
Blue Moon Junction,9620 Highway 11 South Washago ON L0K 2B0,,simcoe
Blue Mountain Golf & Country Club,706 Line 10 Collingwood ON L9Y 3Z4,,simcoe
"Blue Willow Tea Shop, The",2-900 Bay Street Gravenhurst ON P1P 1Z9,,simcoe
Bluewater Fish & Grill,7159 Main Street E Stayner ON L0M 1S0,,simcoe
"Boathouse Eatery, The",177 King Street Midland ON L4R 3L9,,simcoe
Bohemia,125 Dunlop St E Barrie ON L4M 1A6,,simcoe
Boiler Room Tap & Grill,25748 Hwy 35 Dwight Ontario P0A 1H0,,simcoe
Bollywood Spice,202 Victoria Street East Alliston ON L9R 1K6,,simcoe
Bonaire Golf Club,1699 Woodrow Ave Coldwater ON L0K 1E0,,simcoe
Bond Head Restaurant,2940 Highway 27 Bond Head ON L0G 1B0,,simcoe
Booster Juice,3220 Monarch Dr Orillia ON L3V 8A2,,simcoe
Boston Pizza,447 Cundles Rd E Barrie ON L4M 0J7,,simcoe
Boston Pizza,311 Main St Wasaga Beach ON L9Z 0B6,,simcoe
Boston Pizza,1100 Bay Street Gravenhurst ON P1P 1Z9,,simcoe
Boston Pizza,481 Bryne Dr Barrie ON L4N 9R1,,simcoe
Boston Pizza,7 John St Huntsville ON P1H 1H2,,simcoe
Boston Pizza,390 First Street Collingwood ON L9Y 1B5,,simcoe
