name,address,type,unit
18 Wheeler Restaurant,3613 Queen's Line Tilbury ON N0P 2L0,restaurant,chatham
4 Corners Cafe,21006 Charing Cross Road Charing Cross ON N0P 1G0,restaurant,chatham
A & W Restaurant,505 Grand Avenue W Chatham ON N7L 1C5,restaurant,chatham
A&W,67 McNaughton Avenue Wallaceburg Ontario N8A 1R7,restaurant,chatham
A-1 Chinese Restaurant,53 McNaughton Ave Wallaceburg ON N8A 1R9,restaurant,chatham
Active Lifestyle Centre,20 Merritt Ave Chatham ON N7M 6G9,restaurant,chatham
Andy's Place,419 St. Clair St Chatham ON N7L 3K4,restaurant,chatham
Arby's Restaurant,1070 Richmond St Chatham ON N7M 5J5,restaurant,chatham
Ashley's Place,75 Queen Street North Tilbury ON N0P 2L0,restaurant,chatham
Backyard Burgers and More,2-425 St Clair Street Chatham N7L 3K4,restaurant,chatham
Bangkok Café,A-161 Richmond Street Chatham ON N7M 5L9,restaurant,chatham
Barnetti's Arcade,6-425 St. Clair Street Chatham ON N7L 3K4,restaurant,chatham
Bayside Brew Pub,970 Ross Lane Erieau ON N0P 1N0,restaurant,chatham
Big Chief Drive In,5001 Dufferin Ave Wallaceburg ON N8A 4M9,restaurant,chatham
Bob' n Buoys,18 Main St Mitchell's Bay ON N0P 1L0,restaurant,chatham
Boston Pizza,780 St Clair St Chatham ON N7M 5J7,restaurant,chatham
Bothwell Diner,260 Main St Bothwell ON N0P 1C0,restaurant,chatham
Bowlerama,100 Keil Dr S Chatham ON N7M 3H1,restaurant,chatham
Burger King,766 St Clair Street Chatham ON N7M 5J7,restaurant,chatham
Burger King,Highway 401 Eastbound Tilbury ON N0P 2L0,restaurant,chatham
Burger King,Highway 401 Westbound W Tilbury ON N0P 2L0,restaurant,chatham
Burn's Family Restaurant,265 St George St N Dresden ON N0P 1M0,restaurant,chatham
Cajun Pepper 2 Restaurant,11-455 Grand Ave Chatham ON N7L 2X1,restaurant,chatham
Campers Cove Family Campground,21097 Campers Cove Road Wheatley ON N0P 2P0,restaurant,chatham
Casa Bella on the Thames,425 Riverview Dr S Chatham ON N7M 5J5,restaurant,chatham
Cascades Casinos Chatham,615 Richmond St Chatham Ontario N7M 1R2,restaurant,chatham
Central Tavern,24121 Winter Line Rd Pain Court ON N0P 1Z0,restaurant,chatham
Centro,71 St. Clair St. Chatham ON N7L 3H8,restaurant,chatham
