Facility Name,Site Address,Facility Type,Last Inspection Date
Brews & Cues,5663 Ojibway Pkwy Windsor ON N9C 4J5,Restaurant (Full Service),14-Sep-2020
Brown's Breaktime Lounge,1118 Drouillard Rd Windsor ON N8Y 2R1,Restaurant (Full Service),29-Oct-2019
Bubi's Awesome Eats,620 University Ave W Windsor ON N9A 5R5,Restaurant (Full Service),08-Jan-2020
Buddies Eatery & Tap,3206 Sandwich St Windsor ON N9C 1A8,Restaurant (Full Service),27-Nov-2019
Buffalo Wild Wings,D10-3100 Howard Ave Windsor ON N8X 3Y8,Restaurant (Full Service),09-Nov-2020
Bugra Uyghur Cuisine,968 Wyandotte St W Windsor ON N9A 5Y2,Restaurant (Full Service),03-Feb-2021
Building Bridges Erie Shores,310 Sherk St Leamington ON N8H 3L1,Restaurant (Full Service),29-Nov-2019
Bull & Barrel Urban Saloon,670 Ouellette Ave Windsor ON N9A 1B9,Restaurant (Full Service),01-Oct-2020
Bull's Eye Pizza,14-3395 Howard Ave Windsor ON N9E 3N6,Restaurant (Full Service),02-Nov-2020
Burger 67,67 Murray Street Amherstburg ON N9V 1H6,Restaurant (Full Service),24-Sep-2020
Burgess Refreshments,403 Erie St S Leamington ON N8H 3E6,Restaurant (Full Service),11-Jun-2019
Buuntz and Co/ A Dog's Breakfast,504 Pelisser St Windsor ON N9A 5V9,Restaurant (Full Service),13-Nov-2020
Caboto Pizzeria,2175 Parent Avenue Windsor ON N8X 4K2,Restaurant (Full Service),27-Oct-2020
Caesars Windsor - Legends,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
Caesars Windsor - Main Kitchen,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),09-Oct-2019
Caesars Windsor - Market Buffet,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
Caesars Windsor - Neros,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
Caesars Windsor - Spago Trattoria,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),09-Mar-2020
Blue Sky Garden Restaurant,1614 Lesperance Rd Tecumseh ON N8N 1Y3,Restaurant (Full Service),15-Dec-2020
Boblo Island Beach House,144 Boblo Island Blvd Amherstburg ON N9V 2Z2,Restaurant (Full Service),09-Jun-2020
Border Masonic Temple,986 Ouellette Ave Windsor ON N9A 1C6,Restaurant (Full Service),02-May-2019
Boston Pizza,4 Amy Croft Dr Tecumseh ON N8N 2L9,Restaurant (Full Service),10-Dec-2019
Boston Pizza,4450 Walker Rd Windsor ON N9A 6J3,Restaurant (Full Service),01-Oct-2020
Breakaway Gaming Centre,655 Crawford Ave Windsor ON N9A 5C7,Restaurant (Full Service),30-Jul-2019
Brenko's House of Pizza,19 Laird Ave Essex ON N8M 1R5,Restaurant (Full Service),16-Sep-2020
Brews & Cues,5663 Ojibway Pkwy Windsor ON N9C 4J5,Restaurant (Full Service),14-Sep-2020
Brown's Breaktime Lounge,1118 Drouillard Rd Windsor ON N8Y 2R1,Restaurant (Full Service),29-Oct-2019
Bubi's Awesome Eats,620 University Ave W Windsor ON N9A 5R5,Restaurant (Full Service),08-Jan-2020
Buddies Eatery & Tap,3206 Sandwich St Windsor ON N9C 1A8,Restaurant (Full Service),27-Nov-2019
Buffalo Wild Wings,D10-3100 Howard Ave Windsor ON N8X 3Y8,Restaurant (Full Service),09-Nov-2020
Bugra Uyghur Cuisine,968 Wyandotte St W Windsor ON N9A 5Y2,Restaurant (Full Service),03-Feb-2021
Building Bridges Erie Shores,310 Sherk St Leamington ON N8H 3L1,Restaurant (Full Service),29-Nov-2019
Bull & Barrel Urban Saloon,670 Ouellette Ave Windsor ON N9A 1B9,Restaurant (Full Service),01-Oct-2020
Bull's Eye Pizza,14-3395 Howard Ave Windsor ON N9E 3N6,Restaurant (Full Service),02-Nov-2020
Burger 67,67 Murray Street Amherstburg ON N9V 1H6,Restaurant (Full Service),24-Sep-2020
Burgess Refreshments,403 Erie St S Leamington ON N8H 3E6,Restaurant (Full Service),11-Jun-2019
Buuntz and Co/ A Dog's Breakfast,504 Pelisser St Windsor ON N9A 5V9,Restaurant (Full Service),13-Nov-2020
Caboto Pizzeria,2175 Parent Avenue Windsor ON N8X 4K2,Restaurant (Full Service),27-Oct-2020
Caesars Windsor - Legends,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
Caesars Windsor - Main Kitchen,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),09-Oct-2019
Caesars Windsor - Market Buffet,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
