Facility Name,Site Address,Last Inspection Date,Facility Type
Quesada Burritos & Tacos - Food Take Out,153 Great Northern Road Sault Ste. Marie ON P6B 4Y9,19-Nov-20,Food Take Out
Raku Sushi - Food Take Out,446 Great Northern Road Sault Ste Marie P6B 4Z9,09-Jun-20,Food Take Out
Ricardo's Big Slice - Food Take Out,293 Bay Street Sault Ste. Marie ON P6A 1X3,20-Oct-20,Food Take Out
Ritchie Falls Resort - Food Take Out,Box 850 Massey ON P0P 1S0 Canada,02-Dec-19,Food Take Out
RJ's Market - Food Take Out,238 Wellington St W Sault Ste. Marie ON P6A 1H8,14-Oct-20,Food Take Out
Rome's Independent Grocer - Food Take Out,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,16-Nov-20,Food Take Out
Roxy Bowling Centre LTD - Food Take Out,49 Broadway Ave Wawa ON P0S 1K0,10-Dec-20,Food Take Out
Sweet Greetings - Food Take Out,275 Second Line West Sault Ste Marie ON P6A 1Z5,29-Sep-20,Food Take Out
Taco Bell - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,25-Aug-20,Food Take Out
That Fruit Place - Food Take Out,805 Queen Street E Sault Ste Marie ON P6A 2A8,08-Aug-19,Food Take Out
The Village Inn Diner - Food Take Out,22337-Highway 17 E Iron Bridge ON P0R 1H0,06-Dec-19,Food Take Out
The Yellow Butterfly Trading Post Cafe - Food Take Out,21467-Highway 17 Iron Bridge ON P0R 1H0,31-Jul-19,Food Take Out
Thessalon Arena Canteen - Food Take Out,132 Main St Thessalon ON P0R 1L0,01-Dec-20,Food Take Out
Tim Hortons - Food Take Out,442 Bruce St Sault Ste Marie ON P6B 2T9,16-Sep-19,Food Take Out
Tim Hortons - Sault Area Hospital - Food Take Out,750 Great Northern Rd Sault Ste. Marie ON P6B 0A8,04-May-20,Food Take Out
Tim Hortons (Esso) - Food Take Out,498-Causley St Blind River ON P0R 1B0,04-Feb-20,Food Take Out
Topper's Pizza - Food Take Out,151 Hillside Dr S Elliot Lake ON P5A 2T2,23-Jan-20,Food Take Out
Topper's Pizza - Food Take Out,6-143 Great Northern Road Sault Ste. Marie ON P6B 4Y1,10-Dec-20,Food Take Out
Twilight Taters and Convenience Store - Food Take Out,"1 Twilight Road, Highway 17 N Montreal River ON P0S 1H0",18-Jul-19,Food Take Out
Village Bakery - Food Take Out,3187 Highway 17 E Echo Bay ON P0S 1C0,05-Mar-20,Food Take Out
Voyageur's General Store - Food Take Out,11048 Highway 17 N Batchawana ON P0S 1A0,13-Aug-20,Food Take Out
Walmart Canada Corporation - Food Take Out,446 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,09-Nov-20,Food Take Out
WC Eaket Breakfast Club - Food Take Out,147-Woodward Blind River ON P0R 1B0,24-Sep-19,Food Take Out
Wok Express - Food Take Out,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,27-Nov-20,Food Take Out
