Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Ameen's Kitchen,11B-3085 Hurontario St Mississauga ON L5A 4E4,Restaurant,2020-09-18,
Amici Sports Cafe,496 South Service Rd Mississauga ON L5G 2S5,Restaurant,2020-03-12,
Amigo's Cafe & Restaurant,1-1385 Shawson Dr Mississauga ON L4W 1C4,Restaurant,2019-12-03,
Amritsari Dhaba,168 Kennedy Rd. South Brampton ON L6W 3G6,Restaurant,2020-01-17,
Ancila's Indian Cuisine,11-6905 Millcreek Dr Mississauga ON L5N 6A3,Restaurant,2020-01-10,
Andiamo Pasta Plus,135 Queen St S Mississauga ON L5M 1K9,Restaurant,2019-11-06,
Anjappar Chettinad Restaurant,1-4310 Sherwoodtowne Blvd Mississauga ON L4Z 2G6,Restaurant,2020-03-10,
Anjappar Chettinad Restaurant,1 Bartley Bull Pky Brampton ON L6W 2J3,Restaurant,2019-12-20,
Annalakshmi,F2-3140 Argentia Rd Mississauga ON L5N 0B1,Restaurant,2020-12-30,
Ann's Grove Restaurant,170 Wilkinson Rd Brampton ON L6T 4Z4,Restaurant,2019-11-14,
Anokhi,1 & 2A-200 County Court Blvd Brampton ON L6W 4K7,Restaurant,2019-12-12,
Antica Osteria,7 & 8-3088 Mayfield Rd Brampton ON L6E 0E3,Restaurant,2020-01-08,
Anze's Italian Grill House,1-1650 Dundas St E Mississauga ON L4X 2Z3,Restaurant,2020-01-24,
Apna Pind,1-6950 Menkes Dr Mississauga ON L5S 1X8,Restaurant,2020-11-20,
Applewood Bistro,3000 Woodchester Dr Mississauga ON L5L 2R4,Restaurant,2019-12-10,
Applewood Fish and Chips,1020 Burnhamthorpe Rd E Mississauga ON L4Y 2X6,Restaurant,2019-10-17,
Applewood Meats & Grill,11-1077 North Service Rd Mississauga ON L4Y 1A6,Restaurant,2020-01-30,
Apricot Tree Cafe,10 & 19-1900 Dundas St W Mississauga ON L5K 1P9,Restaurant,2019-12-02,
Apropos 61 - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-08-20,
Apropos 62 - Departures Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-05-09,
Archtop Cafe & Music,109 Lakeshore Rd E Mississauga ON L5G 1E2,Restaurant,2019-12-05,
Arena Kitchen-Caledon Equestrian Park,200 Pine St Caledon ON,Restaurant,2019-08-07,
Aria Bistro & Lounge,485 Main St N Brampton ON L6X 1N8,Restaurant,2019-09-04,
Arirang Korean BBQ Restaurant,72-1177 Central Pkwy W Mississauga ON L5C 4P3,Restaurant,2021-01-13,
Aristotle's Steak & Seafood House,2-6905 Millcreek Dr Mississauga ON L5N 6A3,Restaurant,2020-01-10,
Arkady Cafe & Restaurant,3631 Dixie Rd Mississauga ON L4Y 4H2,Restaurant,2019-11-05,
Aroma Espresso Bar,2-712-100 City Centre Drive Mississauga ON,Restaurant,2020-03-03,
Asian Gourmet,50-2150 Burnhamthorpe Rd W Mississauga ON L5L 3A2,Restaurant,2020-01-31,
Asian King,24-2425 Truscott Dr Mississauga ON L5J 2B4,Restaurant,2020-01-06,
Asian Sweets and Restaurant,7148 Airport Rd Mississauga ON L4T 2H1,Restaurant,2020-03-09,
Asian Wok 'n' Roll,13-6905 Millcreek Dr Mississauga ON L5N 6A3,Restaurant,2020-07-28,
Asian Wok 'N' Roll,2911 Derry Rd E Mississauga ON L4T 3A6,Restaurant,2019-11-19,
Astoria Shish Kebob House,1-1970 Dundas St E Mississauga ON L4X 2W7,Restaurant,2020-03-03,
Atlantis Fish & Chips,2-15 Allan Dr Caledon ON L7E 2B5,Restaurant,2019-09-11,
08-Aug,513-25 Peel Centre Dr Brampton ON L6T 3T5,Restaurant,2019-11-25,
Aunty's Kitchen,5-6039 Erin Mills Pkwy Mississauga ON L5N 0G5,Restaurant,2020-11-17,
Autospa Coffee Shop,3663 Platinum Dr Mississauga ON L5M 0Y7,Restaurant,2019-10-24,
Avani Asian Indian Bistro,1-3-801 Matheson Blvd W Mississauga ON L5V 2N6,Restaurant,2020-09-25,
Avani Indian Bistro,1-2710 North Park Dr. Brampton ON L6S 0C5,Restaurant,,
Avondale Foodworks Ltd,16-7070 Bramalea Rd Mississauga ON L5S 1S8,Restaurant,2019-11-20,
Avsar,1-1225 Matheson Blvd Mississauga ON L4W 1B6,Restaurant,2020-02-13,
Axia Restaurant,1B-5045 Plantation Pl Mississauga ON L5M 6J3,Restaurant,2019-12-24,
Baba Dhaba,104-255 Rutherford Rd S Brampton ON L6W 4N7,Restaurant,2019-11-15,
Baba Dhaba,1779 Queen St E Brampton ON L6T 4S3,Restaurant,2020-02-25,
Babalous Cafe,1-290 Healey Rd Caledon ON L7E 1C9,Restaurant,2019-12-09,
Baba's Pizza & Wings Corp,7071 Airport Rd Mississauga ON,Restaurant,,
Babu Paan and Shawarma,5-519 Ray Lawson Blvd Brampton ON L6Y0N2,Restaurant,,
Badshah Grill,13 & 14-5130 Dixie Rd Mississauga ON L4W 4K2,Restaurant,2020-01-28,
Baghlan Kabob and Bakery Inc.,2A-1775 Queen St E Brampton ON L6T 4S3,Restaurant,2019-12-17,
Bahar Indian Cuisine,"#3-50 Sky Harbour Drive Brampton, Ontario L6Y 6B8",Restaurant,2020-01-23,
Baigs Grill,2-124 Kennedy Rd S Brampton ON L6W 3E7,Restaurant,2019-12-13,
Bairrada Churrasqueira Grillhouse,33 Hillcrest Ave Mississauga ON L5B 1K5,Restaurant,2019-11-27,
Bajwa Indian Restaurant,1-7310 Torbram Rd Mississauga ON L4T 3X2,Restaurant,,
Baker's Jerk House,D1-40 Rivermount Rd Brampton L6Y G67 ON,Restaurant,2020-09-14,
Bakhtar Kabab,1-5925 Tomken Rd Mississauga ON L4W 4L8,Restaurant,2019-12-12,
Baklawa King,2 & 4-488 Eglinton Ave W Mississauga ON L5R 0G2,Restaurant,2020-02-21,
Baklawa King Inc,4-1590 Dundas St E Mississauga ON L4X 2Z2,Restaurant,2020-02-25,
