Facility Name,Site Address,Facility Type,Last Inspection Date
Garson Foodland,3098 Falconbridge Rd Garson ON P3L 1P6,Food Take Out,12-Aug-20
Ginos,40 Elm St Sudbury ON P3C 1S7,Food Take Out,11-Mar-20
Gourmet World,1984 Regent St Sudbury ON P3E 5S1,Food Take Out,29-Oct-20
Great Lakes Pizza Company,103-1955 Lasalle Blvd A Sudbury ON P3A 2A3,Food Take Out,16-Dec-20
Great Lakes Pizza Company,1769 Regent St Sudbury ON P3E 3Z7,Food Take Out,10-Feb-20
Green Beam Cafe - Gym Zone,1311 Gemmell St Sudbury ON P3A 1G3,Food Take Out,23-Jul-20
Hawg Eaters,49 Meredith Street Gore Bay ON P0P 1H0,Food Take Out,16-Jun-20
Herbert's Fisheries,21 Channel St Killarney ON P0M 2A0,Food Take Out,07-Jul-20
Hook & Ladder Pizza Co,9775 Estaire Rd Estaire ON P3E 4N1,Food Take Out,
HSN Ramsey Lake Site - Tim Hortons (Restaurant #101213),41 Ramsey Lake Rd Sudbury ON P3E 5J1,Food Take Out,24-Nov-20
Huckleberries,110 Durham St Sudbury ON P3E 3M7,Food Take Out,04-Dec-20
Huron Lodge Ice Cream,Hwy 6 South Baymouth ON P0P 1Z0,Food Take Out,06-Jul-20
Kagawong Main St. Cafe - Take-out,1428 Lakeshore Rd Kagawong ON P0P 1J0,Food Take Out,09-Oct-20
Kako's Kitchen,120 Kingsmount Boulevard Sudbury ON P3E 1K4,Food Take Out,16-Sep-20
KFC,1300 Lasalle Blvd Sudbury ON P3A 1Y8,Food Take Out,21-Oct-20
Kickass Cookhouse,55 Gauthier Road Tehkummah Ontario P0P 1S0,Food Take Out,09-Jul-20
Killarney Outfitters,1076 Hwy 637 Killarney ON P0M 2A0,Food Take Out,05-Oct-20
King Wong,40 Elm St Sudbury ON P3C 1S8,Food Take Out,01-Sep-20
Kitty Kate's,Kanipahow Road Chapleau ON P0M 1K0,Food Take Out,30-Sep-19
Krupnik's Roadside Eatery,80 Main St Webbwood ON P0P 2G0,Food Take Out,26-Sep-19
La Fromagerie en Boulangerie,5 Cedar St Sudbury ON P3E 1A2,Food Take Out,18-Sep-20
Lakair Lodge Ice Cream Shack,8219 Hwy 646 Monetville ON P0M 2K0,Food Take Out,15-May-19
Lake Huron Fish & Chips Co.,52841 Hwy 551 Providence Bay ON P0P 1T0,Food Take Out,14-Jul-20
Lam's Chinese Food,1933 Regent St Sudbury ON P3E 5R2,Food Take Out,06-Dec-19
Lang Lake Resort,1454 Lang Lake Rd Espanola ON P5E 1T5,Food Take Out,
Laurentian University - Cafe Bistro,935 Ramsey Lake Rd Sudbury ON P3E 2C6,Food Take Out,24-Jul-19
Laurentian University - Subway,935 Ramsey Lake Rd Sudbury ON P3E 2C6,Food Take Out,17-Jan-20
Laurentian University - Tim Horton's Express - Alumni Hall,935 Ramsey Lake Rd Sudbury ON P7E 2C6,Food Take Out,03-Feb-20
Laurentian University - Topper's Pizza - POD- Great hall- 17551,935 Ramsey Lake Rd Sudbury ON P3E 2C6,Food Take Out,17-Jan-20
Le Petit Panier,280 Caswell Dr Sudbury ON P3E 2N8,Food Take Out,11-Feb-20
Leslie's Charbroil & Grill / Classic Catering,633 Notre Dame Ave Sudbury ON P3C 5L5,Food Take Out,27-Nov-20
Little Caesars,2996 Highway 69 North Val Caron Ontario P3N 1E3,Food Take Out,07-Oct-20
Little Caesars,1-3482 Errington Avenue Chelmsford ON P0M 1L0,Food Take Out,09-Jul-20
Little Caesars Pizza,1542 Lasalle Blvd Sudbury ON P3A 1Z7,Food Take Out,29-Oct-20
