Facility Name,Site Address,Community,Facility Type
Little Caesars,531 Bayfield Street Barrie ON L4M 4Z9,Barrie,Food Take Out
Loaded,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Loblaws,472 Bayfield St Barrie ON L4M 5A2,Barrie,Food Take Out
Local Harmony,204 Nelson St. Bradford Ontario L3Z 1E5,Bradford,Food Take Out
Lorna Dune,3372 Mosley St Wasaga Beach ON L9Z 1T6,Wasaga Beach,Food Take Out
Lui's Place,31 King St N Cookstown ON L0L 1L0,Cookstown,Food Take Out
M & V Produce,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
M Market,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
Mac's Milk,2 Main St E Huntsville ON P1H 2C9,Huntsville,Food Take Out
MacTier Memorial Community Centre,9 Haig St MacTier ON P0C 1H0,MacTier,Food Take Out
Manchu WOK,F006-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
Margarita Cafe and Ice Cream,115 Beach Drive Wasaga Beach,Wasaga Beach,Food Take Out
Mark IV Brothers,187 Nottawasaga St Orillia ON L3V 3K2,Orillia,Food Take Out
"Market, The",201 Fairview Rd Barrie ON L4N 9B1,Barrie,Food Take Out
Mary Brown's,19 King St S Alliston ON L9R 1H6,Alliston,Food Take Out
Maurice's Valu-Mart,277 King St Midland ON L4R 3M5,Midland,Food Take Out
Mayo's Service Centre,463 West St N Orillia ON L3V 5G1,Orillia,Food Take Out
Metro,70 Front St N Orillia ON L3V 4R8,Orillia,Food Take Out
Metro,640 First St Collingwood ON L9Y 4Y7,Collingwood,Food Take Out
Metro,70 King William St Huntsville ON P1H 2A5,Huntsville,Food Take Out
Metro,400 Bayfield St Barrie ON L4M 5A1,Barrie,Food Take Out
"Mexican House, The",7A-304 Dunlop Street W Barrie ON L4N 7L2,Barrie,Food Take Out
Midland Drive-In Theatre,1299 Angela Schmidt-Foster Road Midland ON L4R 4K4,Midland,Food Take Out
Mila's Variety,1254 Killarney Beach Road Lefroy ON L0L 1W0,Innisfil,Food Take Out
Miso Hot,6-236 William Street Stayner ON L0M 1S0,Stayner,Food Take Out
"Modern Market, The",5 Victoria Street East Alliston ON L9R 1S9,Alliston,Food Take Out
Mom's Fry Shack,6275 County Road 90 Angus ON L0M 1B4,Angus,Food Take Out
Moonstone Market & Grill,246 Moonstone Rd E Oro-Medonte ON L0K 1N0,Oro-Medonte,Food Take Out
Mount St. Louis Moonstone - Mount St. Louis,24 Mount Saint Louis Rd W Oro-Medonte ON L0K 1E0,Oro-Medonte,Food Take Out
Mountain Shores Pizza & Deli,582 Cameron St Collingwood ON L9Y 2M1,Collingwood,Food Take Out
Mountain Subs Inc.,13-20 Balsam St Collingwood ON L9Y 4H7,Collingwood,Food Take Out
Mountainview Ski Centre,9266 County Rd 93 Midland ON L4R 4K4,Midland,Food Take Out
Mr. Pretzels,E001A-509 Bayfield Street Barrie ON L4M 4Z8,Barrie,Food Take Out
Mr. Sub,2-336 Yonge St Barrie ON L4N 4C8,Barrie,Food Take Out
Muskoka Drive-In,1001 Theatre Rd Gravenhurst ON P1P 1R3,Gravenhurst,Food Take Out
Muskoka Gas & Restaurant,7280 Lake Joseph Rd MacTier ON P0C 1H0,MacTier,Food Take Out
Muskoka Heritage Place,88 Brunel Rd Huntsville ON P1H 1R1,Huntsville,Food Take Out
Muskoka Lakes Golf & Country Club - Liliwood,1072 Shamrock Rd Port Carling ON P0B 1J0,Port Carling,Food Take Out
Muskoka North Good Food Co-op,1 Crescent Rd Huntsville ON P1H 1Z6,Huntsville,Food Take Out
Muskoka's Menu,69 Richard St Port Carling ON P1L 1J1,Port Carling,Food Take Out
My Baba's Kitchen,15-329 Bayfield St Barrie ON L4M3C1,Barrie,Food Take Out
Naoki Sushi,450 Bayfield Street Barrie ON L4M 5A2,Barrie,Food Take Out
Naoki Sushi,"37 Mapleview W Barrie, L4N 9H5 ON",Barrie,Food Take Out
Napoli Pizzeria Cafe,1-855 Ridge Rd W Oro Station ON L0L 2E0,Oro Station,Food Take Out
Neighbours Coffee,320 Blake Street Barrie ON L4M 1K9,Barrie,Food Take Out
Neighbours Coffee,610 Atherley Road Orillia ON L3V 1P2,Orillia,Food Take Out
New Orleans Pizza,1A-50 Main St E Beeton ON L0G 1A0,Beeton,Food Take Out
New Tecumseth Recreation Centre,7300 Industrial Pkwy Alliston ON L9R 1V4,Alliston,Food Take Out
New York Fries,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
New York Fries,F004-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
Nicholyn Farms,3088 Horseshoe Valley Rd W Phelpston ON L0L 2K0,Phelpston,Food Take Out
Nicki's Chicken & BBQ,4-110 Little Avenue Barrie ON L4N 6K8,Barrie,Food Take Out
Nonna's Place,112 Main Street Wasaga Beach L9Z 2K9,Wasaga Beach,Food Take Out
"North Simcoe Sports and Recreation Centre, The",527 Len Self Boulevard Midland ON L4R 5N6,Midland,Food Take Out
Northern Escapades,301 Ecclestone Dr Bracebridge ON P1L 1X2,Bracebridge,Food Take Out
Nourish,36 Maple Ave Barrie ON L4N 1R8,Barrie,Food Take Out
Nova Deli,7896 Yonge St Innisfil ON L9S 1K9,Innisfil,Food Take Out
"Nutty Chocolatier, The",65 Main St E Huntsville ON P1H 2B8,Huntsville,Food Take Out
Oak Bay Golf & Country Club,67 Links Trail Port Severn ON L0K 1S0,Port Severn,Food Take Out
Oak Bay Golf & Country Club,67 Links Trail Port Severn ON L0K 1S0,Port Severn,Food Take Out
Oakwood Park Community Centre,152 Park St Victoria Harbour ON L0K 2A0,Victoria Harbour,Food Take Out
Old Country Kitchen,2015 Hwy 141 Utterson Ontario P0B 1M0,Utterson,Food Take Out
Olde Tyme Kettle Corn,2101 Innisfil Beach Road Innisfil ON L9S 1A1,Innisfil,Food Take Out
Oliver's - Don Lough Arena,20 Park Dr Huntsville ON P1H 1P5,Huntsville,Food Take Out
Oliver's - Jack Bionda Arena,20 Park Dr Huntsville ON P1H 1P5,Huntsville,Food Take Out
Oliver's Coffee,440 Ecclestone Dr Bracebridge ON P1L 1Z6,Bracebridge,Food Take Out
Oliver's Coffee,110 Clearbrook Trail Bracebridge ON P1L 0A3,Bracebridge,Food Take Out
Oliver's Coffee,3658 Highway 118 W Port Carling ON P0B 1J0,Port Carling,Food Take Out
Olympia,4 Main Street Penetanguishene ON L9M 1T1,Penetanguishene,Food Take Out
Ontario Fisheries Products,2-22 Ronell Crescent Collingwood ON L9Y 4J7,Collingwood,Food Take Out
Orillia & District Agricultural Society,4500 Fairgrounds Rd Severn ON L3V 6H2,Orillia,Food Take Out
Orillia & District Agricultural Society Snack Bar #1,4500 Fairgrounds Rd Severn ON L3V 6H2,Severn,Food Take Out
Orillia & District Agricultural Society Snack Bar #2,4500 Fairgrounds Rd Severn ON L3V 6H2,Severn,Food Take Out
Orillia Bowl,285 Memorial Ave Orillia ON L3V 5X9,Orillia,Food Take Out
Orillia Italian Market,5 Peter St Orillia ON L3V 1V4,Orillia,Food Take Out
Orillia Opera House,20 Mississaga Street W Orillia ON L3V 3A6,Orillia,Food Take Out
Orillia Soldiers' Memorial Hospital - Kiosk,170 Colborne St W Orillia ON L3V 2Z3,Orillia,Food Take Out
Oscar's Variety,33 Mississaga Street East Orillia ON L3V 1T4,Adjala-Tosorontio,Food Take Out
Osmow's,A9-555 Essa Rd Barrie ON L4N 6A9,Barrie,Food Take Out
Osmow's,2-10 Balsam Street Collingwood ON L9Y 3J4,Collingwood,Food Take Out
Osmow's,4-25 Stonebridge Blvd Wasaga Beach L9Z 0 B6 ON,Wasaga Beach,Food Take Out
Outtakes,72 Commerce Park Dr Barrie ON L4N 8W8,Barrie,Food Take Out
P_zza,50 Dunlop St E Barrie ON L4M 6J9,Barrie,Food Take Out
Paezano's Pizza,J-420 Leacock Dr Barrie ON L4N 5G5,Barrie,Food Take Out
Panda Kitchen,4-3220 Monarch Dr Orillia ON L3V 8A2,Orillia,Food Take Out
Papa John's Pizza,9-40 Bell Farm Rd Barrie ON L4M 5L3,Barrie,Food Take Out
Papa John's Pizza,3-336 Yonge St Barrie ON L4N 4C8,Barrie,Food Take Out
Papa John's Pizza,1-170 Memorial Ave Orillia ON L3V 7M9,Orillia,Food Take Out
Papa's Joe's Pizza and Chicken,7 Anne St S Barrie ON L4N 2C4,Barrie,Food Take Out
Papa's Pizza Mama's Chicken,301 King Street Midland ON L4R 3M5,Midland,Food Take Out
Parkside's Corner Market,38 Parkside Dr Barrie ON L4N 1W9,Barrie,Food Take Out
"Pasta Shoppe by Beat the Wheat, The",60 Manitoba Street Bracebridge ON P1L 1R9,Bracebridge,Food Take Out
"Patti Wagon, The",450 Atherley Rd Rd Orillia ON,Orillia,Food Take Out
Patty Hut,1-41 Dunlop Street W Barrie ON L4N 1A3,Barrie,Food Take Out
Peake Barbecue,29 Victoria St W Alliston ON L9R 1S9,Alliston,Food Take Out
Peake Fields Snack Shop,8-1028 Taylor Rd Bracebridge ON P1L 0A1,Bracebridge,Food Take Out
Penetanguishene Memorial Community Centre,61 Maria Street Penetanguishene ON L9M 1L3,Penetanguishene,Food Take Out
Pete's Links,1001 Grey St Bala ON P0C 1A0,Bala,Food Take Out
Pete's Links,98 Maple Street Port Carling ON P0B 1J0,Port Carling,Food Take Out
Petro-Canada,151 Mapleview Dr W Barrie ON L4N 9E8,Barrie,Food Take Out
Philthy Philly's,98 Dunlop St E Barrie ON L4M 1A4,Barrie,Food Take Out
Pia's Bella Cafe,106 Victoria St West Alliston ON L9R 1L7,Alliston,Food Take Out
Picnic at the Lake,1235 Deerhurst Road Huntsville P1H 2S8,Huntsville,Food Take Out
Picnic Island Resort,175 Picnic Island Road Honey Harbour ON P0E 1E0,Honey Harbour,Food Take Out
Picnic on Centre,P-80 Centre Street North Huntsville Ontario P1H 2N2,Huntsville,Food Take Out
Pierogies Plus Restaurant,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Pisano Vegano,58 Slalom Gate Rd Collingwood ON L9Y 5B2,Collingwood,Food Take Out
Pita Land,B22-3311 County Road 89 Cookstown ON L0L 1L0,Cookstown,Food Take Out
Pizza Bella Pita Subs Wings,13-2 Marsellus Dr Barrie ON L4N 0Y4,Barrie,Food Take Out
Pizza Delight,29-30-2 Poyntz Street Penetanguishene ON L9M 1M2,Penetanguishene,Food Take Out
Pizza Forno,3658 Muskoka District Road 118 West Port Carling P0B 1J0,Port Carling,Food Take Out
Pizza Hut,685 University Ave Orillia ON L3V 6H2,Orillia,Food Take Out
Pizza Hut,5-275 First St Collingwood ON L9Y 1B2,Collingwood,Food Take Out
Pizza Hut,169 Victoria Street W Alliston ON L9R 1H8,Alliston,Food Take Out
Pizza Hut,393 Yonge Street Barrie ON L4M 4C9,Barrie,Food Take Out
Pizza Hut,800 Yonge Street Midland ON L4R 2E7,Midland,Food Take Out
Pizza Nova,4-815 King Street Midland ON L4R 0B7,Midland,Food Take Out
Pizza Nova,5-175 Main St Penetanguishene ON L9M 1L8,Penetanguishene,Food Take Out
Pizza Nova,D-1484 Innisfil Beach Road Innisfil ON L9S 4J1,Innisfil,Food Take Out
Pizza Nova,3-285 Dunlop Street W Barrie ON L4N 1C1,Barrie,Food Take Out
Pizza Nova,5-478 Holland St W Bradford ON L3Z 0A2,Bradford,Food Take Out
Pizza Nova,2A-636 Yonge St Barrie ON L4N 4E6,Barrie,Food Take Out
Pizza One,480 Muskoka Street S Gravenhurst ON P1P 1P8,Gravenhurst,Food Take Out
Pizza Palace and Wings,181 Livingstone St E Barrie ON L4M 6Z4,Barrie,Food Take Out
"Pizza People and Submarines, The",353 Duckworth St Barrie ON L4M 5C2,Barrie,Food Take Out
Pizza Pizza,75 Mosley St Wasaga Beach ON L9Z 2X1,Wasaga Beach,Food Take Out
Pizza Pizza,82 Mississaga St E Orillia ON L3V 1V7,Orillia,Food Take Out
Pizza Pizza,1 Georgian Dr Barrie ON L4M 3X9,Barrie,Food Take Out
Pizza Pizza,4-55 Queen St S Tottenham ON L0G 1W0,Tottenham,Food Take Out
Pizza Pizza,9-945 Innisfil Beach Rd Alcona ON L9S 1V3,Alcona,Food Take Out
Pizza Pizza,5-360 Bayfield St Barrie ON L4M 3C4,Barrie,Food Take Out
Pizza Pizza,410 Essa Rd Barrie ON L4N 9J7,Barrie,Food Take Out
Pizza Pizza,49 High St Barrie ON L4N 5J4,Barrie,Food Take Out
Pizza Pizza,201 Fairview Rd Barrie ON L4N 9B1,Barrie,Food Take Out
Pizza Pizza,555 Bayview Dr Barrie ON L4N 8Y2,Barrie,Food Take Out
Pizza Pizza,4-176 Victoria St E Alliston ON L9R 1K6,Alliston,Food Take Out
Pizza Pizza,395 King Street Midland ON L4R 3N2,Midland,Food Take Out
Pizza Pizza,2802 County Rd 42 Clearview ON L0M 1S0,Clearview,Food Take Out
Pizza Pizza,555 Bayview Dr Barrie ON L4N 8Y2,Barrie,Food Take Out
Pizza Pizza,39 Main St E Beeton ON L0G 1A0,Beeton,Food Take Out
Pizza Pizza,196 Muskoka Rd S Gravenhurst ON P1P 1T7,Gravenhurst,Food Take Out
Pizza Pizza,5 Balsam Street Collingwood ON L9Y 5H6,Collingwood,Food Take Out
Pizza Pizza,168 Holland Street W Bradford ON L3Z 1H7,Bradford,Food Take Out
Pizza Plus and Subs,10-477 Grove St E Barrie ON L4M 6M3,Barrie,Food Take Out
Pizzaville,55 Front Street South Orillia Ontario L3V 4R6,Adjala-Tosorontio,Food Take Out
Pizzaville,D-559 Essa Rd Barrie ON L4N 6A9,Barrie,Food Take Out
Pizzaville,6-320 Yonge St Barrie ON L4N 4C8,Barrie,Food Take Out
Pizzaville,13-9225 County Road 93 Midland ON L4R 4K4,Midland,Food Take Out
Pizzaville,3 & 4-808 Innisfil Beach Road Alcona ON L9S 2C3,Alcona,Food Take Out
Pizzaville,S01A-86 Young Street W Alliston ON L9R 1P8,Alliston,Food Take Out
Pizzaville,359 Bayfield St Barrie ON L4M 3C3,Barrie,Food Take Out
Pizzaville,6-456 Holland Street W Bradford ON L3Z 2A4,Bradford,Food Take Out
Pizzaville,35 Lone Pine Road Port Severn ON L0K 1S0,Port Severn,Food Take Out
Pizzaville,10-295 Welllington St Bracebridge ON P1L 1P3,Bracebridge,Food Take Out
"Play Pit, The",1-2 34 EP Lee Drive Bracebridge ON P1L 0A1,Bracebridge,Food Take Out
Poleiro BBQ,10-450 Holland Street W Bradford ON L3Z 0G1,Bradford,Food Take Out
Poleiro BBQ,3-649 Yonge Street Barrie ON L4N 4E7,Barrie,Food Take Out
Popular Pizza,3-118 Holland Street E Bradford ON L3Z 2B4,Bradford,Food Take Out
Port Carling Arena,2-3 Bailey St Port Carling ON P0B 1J0,Port Carling,Food Take Out
Port Carling Curling Club,26 Duke St Port Carling ON P0B 1J0,Port Carling,Food Take Out
Port Carling Golf & Country Club,12 Donald Drive Port Carling ON P0B 1J0,Port Carling,Food Take Out
Poutine Shack,G-12 Main St Wasaga Beach ON L9Z 2K3,Wasaga Beach,Food Take Out
Pump'd Supplements,D-12 Commerce Park Dr Barrie ON L4N 8W8,Barrie,Food Take Out
Queen Pouteen Market Grill,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Quesada Burrito & Tacos,3-642 Yonge St Barrie ON L4N 4E6,Barrie,Food Take Out
Quesada Burrito & Tacos,331 Bayfield St Barrie ON L4N 3C2,Barrie,Food Take Out
Quick Gas Mart Inc.,13103 Highway 27 Phelpston ON L0L 2K0,Phelpston,Food Take Out
Real Canadian Superstore,25 45th St S Wasaga Beach ON L9Z 1A7,Wasaga Beach,Food Take Out
Real Canadian Superstore,9292 County Rd 93 Midland ON L4R 4K4,Midland,Food Take Out
Red Hot Explorers Hotdoggery Kiosk,C-12 Main St Wasaga Beach ON L9Z 2P6,Wasaga Beach,Food Take Out
REF'S PIZZA,244 Barrie St Thornton ON L0L 2N0,Thornton,Food Take Out
Reginos Pizza,305 Barrie Street Bradford ON L3Z 2B2,Bradford,Food Take Out
Rezwana Alam,275 Johnson St Barrie ON L4M 6S7,Barrie,Food Take Out
Ripe Juicery,118 Dunlop St E Barrie ON L4M 1A4,Barrie,Food Take Out
Roadhouse Market,1382 Killarney Beach Rd Lefroy ON L0L 1W0,Lefroy,Food Take Out
Rocco's Fine Food's & Catering,52 Wellington St E Alliston ON L9R 1J5,Alliston,Food Take Out
Rome Pizza & Chicken,221 Cundles Rd E Barrie ON L4M 6L5,Barrie,Food Take Out
Rounds Ranch,1922 County Road 92 Elmvale ON L0L 1P0,Elmvale,Food Take Out
Royal Canadian Legion Branch 270,2 Michael Anne Dr Coldwater ON L0K 1E0,Coldwater,Food Take Out
Royal Court Cafe,1 Quarry Ridge Rd Barrie ON L4M 7G1,Barrie,Food Take Out
San Francesco Foods,16 Holland St W Bradford West Gwillimbury ON L3Z 2B3,Bradford West Gwillimbury,Food Take Out
Santa's Village - Comet's Cafe,1624 Golden Beach Rd Bracebridge ON P1L 1T7,Bracebridge,Food Take Out
Santa's Village - Dasher's Deli,1624 Golden Beach Rd Bracebridge ON P1L 1T7,Bracebridge,Food Take Out
Santa's Village - Polar Parlour,1624 Golden Beach Rd Bracebridge ON P1L 1T7,Bracebridge,Food Take Out
Santa's Village - Prancer's Putinery,1624 Golden Beach Rd Bracebridge ON P1L 1W8,Bracebridge,Food Take Out
Santa's Village - Sportsland,1624 Golden Beach Rd Bracebridge ON P1L 1T7,Bracebridge,Food Take Out
Second Cup,320 Blake st Barrie ON L4M 1K9,Barrie,Food Take Out
Severn Mills Trading Post & Coffee Cabin,3270 Port Severn Rd N Port Severn ON L0K 1S0,Port Severn,Food Take Out
Shining Waters Soap Co. & Market,10 Manitoba Street Bracebridge ON P1L 1R9,Bracebridge,Food Take Out
Shop Homme Femme,A-69 Hurontario Street Collingwood ON L9Y 2L7,Collingwood,Food Take Out
Simon's Kitchen,Q-190 Memorial Ave Orillia ON L3V 5X6,Orillia,Food Take Out
Simply Scrumptious,2207 Industrial Park Road Innisfil ON L9S 3V9,Innisfil,Food Take Out
Sizzlers,61 Mapleview Dr E Barrie ON L4N 9A9,Barrie,Food Take Out
Sizzling Wok,9-110 Little Ave Barrie ON L4N 4K8,Barrie,Food Take Out
Skewers Korean Style,9 Clapperton Street Barrie ON L4M 3E4,Barrie,Food Take Out
Smith Brothers Baseball Central Inc.,9 Greengage Rd New Lowell ON L0M 1N0,New Lowell,Food Take Out
Snow Valley Ski Resort-Day Lodge,2632 Vespra Valley Road Barrie ON L4M 4S9,Barrie,Food Take Out
Sobeys,2080 Jans Boulevard Alcona ON L9S 4Y8,Alcona,Food Take Out
Sobeys,225 Edward Street Gravenhurst ON P1P 1K8,Gravenhurst,Food Take Out
Sobeys,39 Huron St Collingwood ON L9Y 1C5,Collingwood,Food Take Out
Sobeys,40 Melbourne Dr Bradford ON L3Z 3B8,Bradford,Food Take Out
Sobeys,247 Mill St Angus ON L0M 1B2,Angus,Food Take Out
Sonder Studio and Events,132 Pentang street Barrie ON L4M 1V6,Barrie,Food Take Out
Sonia's Sausage,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
South Innisfil Community Centre,1354 Killarney Beach Rd Lefroy ON L0L 1W0,Lefroy,Food Take Out
South Muskoka Curling & Golf Club,10 Golf Course Rd Bracebridge ON P1L 1M6,Bracebridge,Food Take Out
South Muskoka Memorial Hospital - Muskoka Algonquin Healthcare,75 Ann St Bracebridge ON P1L 2E4,Bracebridge,Food Take Out
Starbucks,3-482 Bayfield St Barrie ON L4M 6A2,Barrie,Food Take Out
Starbucks,640 First St Collingwood ON L9Y 4Y7,Collingwood,Food Take Out
Starbucks,620 Yonge Street Barrie ON L4N 4E6,Barrie,Food Take Out
Starbucks,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
Starbucks,311 Bayfield Street Barrie ON L4M 3C2,Barrie,Food Take Out
"Stayner Community Centre and Arena, The",269 Regina St Stayner ON L0M 1S0,Stayner,Food Take Out
Stroud Community Centre - Recreation Leisure Service,7883 Yonge St Stroud ON L9S 1K8,Stroud,Food Take Out
Stud Smiths,89 Bayfield St Barrie ON L4M 3A7,Barrie,Food Take Out
Subway,A-10 Main St Wasaga Beach ON L9Z 2K3,Wasaga Beach,Food Take Out
Subway,83 Queen St S Tottenham ON L0G 1W0,Tottenham,Food Take Out
Subway,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
Subway,3-70 Yonge Street S Elmvale ON L0L 1P0,Elmvale,Food Take Out
Subway,1 Georgian Dr Barrie ON L4M 3X9,Barrie,Food Take Out
Subway,36 Young Street Alliston ON L9R 1P8,Alliston,Food Take Out
Subway,F009A-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
Subway,3-201 Georgian Dr Barrie ON L4M 6M2,Barrie,Food Take Out
Subway,982 Cedar Lane Bracebridge ON P1L 0A2,Bracebridge,Food Take Out
Sunset Barrie Drive-In,134 Line 4 S Oro-Medonte ON L0L 2L0,Oro-Medonte,Food Take Out
Sunset Speedway - Building 1,6918 Yonge Street Innisfil ON L9S 1A9,Innisfil,Food Take Out
Sunset Speedway - Building 2,6918 Yonge Street Innisfil ON L9S 1A9,Innisfil,Food Take Out
Sunset Speedway - Building 4,6918 Yonge Street Innisfil ON L9S 1A9,Innisfil,Food Take Out
Sushi Bar-Foodland,711 River Road West Wasaga Beach ON L9Z 1N7,Wasaga Beach,Food Take Out
Suzie Q's,10 Main Street Wasaga Beach ON L9Z 2K1,Wasaga Beach,Food Take Out
Swine and Dine,24 James St E Orillia ON L3V 1L1,Orillia,Food Take Out
Tangle Creek Golf & Country Club,4730 25th Sideroad Essa ON L0L 2N0,Essa,Food Take Out
Taqueria El Norte,29 Paris Street Alliston ON L9R 1J3,Alliston,Food Take Out
Tarte Cafe,167 Medora Street Port Carling P0B 1J0,Port Carling,Food Take Out
Tastefully Yours,B-291 Phillip Street East Gravenhurst ON P1P 1J3,Gravenhurst,Food Take Out
Teriyaki Experience,F008-509 Bayfield Street Barrie ON L4M 4Z8,Barrie,Food Take Out
Terry's BBQ & Grill,3142 Highway 118 Port Carling ON P0B 1J0,Port Carling,Food Take Out
Thai Express,F012-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
That Hot Dog Guy,"1039 McDonald Road, Foot's Bay ON",MacTier,Food Take Out
The Happy Grillers,21 Fairway Court Oro-Medonte ON L0L 2L0,Oro,Food Take Out
The Lunch Box,55 Mapleview Dr W Barrie ON L4N 9H7,Barrie,Food Take Out
The Mexican House,247B West St N Orillia ON L3V 5C9,Orillia,Food Take Out
The Oven Woodfire Pizza,719 Muskoka Rd 118 W Bracebridge ON P1L 1W8,Bracebridge,Food Take Out
The Pool Hall,659 Balm Beach Road East Midland ON L4R 4K4,Midland,Food Take Out
The Truck at Sawdust City,397 Muskoka Road N Gravenhurst P1P 1G3,Gravenhurst,Food Take Out
The Wired Owl Coffee Company,49 Dunlop Street E Barrie ON L4M 1A2,Barrie,Food Take Out
Thornton Community Centre,246 Barrie St Thornton ON L0L 2N0,Thornton,Food Take Out
Thrive Foods,2636 Honey Harbour Road Honey Harbour ON P0E 1E0,Honey Harbour,Food Take Out
Tim Hortons,1 Dunlop St E Barrie ON L4M 1A2,Barrie,Food Take Out
Tim Hortons,201 Fairview Rd Barrie ON L4N 9B1,Barrie,Food Take Out
Tim Hortons,151 Mapleview Dr W Barrie ON L4N 9H6,Barrie,Food Take Out
Tim Hortons,A-93 Beach Dr Wasaga Beach ON L9Z 2K2,Wasaga Beach,Food Take Out
Tim Hortons,599 Hurontario St Collingwood ON L9Y 2N4,Collingwood,Food Take Out
Tim Hortons,369 Bayfield St Barrie ON L4M 3C5,Barrie,Food Take Out
Tim Hortons,4 High St Collingwood ON L9Y 3J6,Collingwood,Food Take Out
Tim Hortons,9710 Highway 9 Adjala-Tosorontio ON L0N 1P0,Adjala-Tosorontio,Food Take Out
Tim Hortons,80 Bradford St Barrie ON L4N 6S7,Barrie,Food Take Out
Tim Hortons,99 Mapleview Dr East Barrie ON L4N 9H3,Barrie,Food Take Out
Tim Hortons,825 Memorial Ave Orillia ON L3V 6H1,Orillia,Food Take Out
Tim Hortons,3 Creighton St Orillia ON L3V 6H6,Orillia,Food Take Out
Tim Hortons,525 Memorial Ave Orillia ON L3V 6H1,Orillia,Food Take Out
Tim Hortons,304 Blake St Barrie ON L4M 5C2,Barrie,Food Take Out
Tim Hortons,4894 County Rd 50 Adjala-Tosorontio ON L9R 1V1,Adjala-Tosorontio,Food Take Out
Tim Hortons,2802 County Rd 42 Creemore ON L0M 1S0,Creemore,Food Take Out
Tim Hortons,12384 County Rd 10 Stayner ON L0M 1S0,Clearview,Food Take Out
Tim Hortons,1 Georgian Dr Barrie ON L4M 3X9,Barrie,Food Take Out
Tim Hortons,1 Georgian Dr Barrie ON L4M 3X9,Barrie,Food Take Out
Tim Hortons,2976 Highway 11 S Oro-Medonte ON L0L 2E0,Oro-Medonte,Food Take Out
Tim Hortons,7 Anne St N Barrie ON L4N 2B4,Barrie,Food Take Out
Tim Hortons,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
Tim Hortons,80 Bayfield St Barrie ON L4M 3A8,Barrie,Food Take Out
Tim Hortons,201 Georgian Dr Barrie ON L4M 6M2,Barrie,Food Take Out
TJS Pizza & Curry In A Hurry,13-20 Bell Farm Road Barrie ON L4M 6E4,Barrie,Food Take Out
Tollendale Village Cafe,274 Hurst Dr Barrie ON L4N 0Z3,Barrie,Food Take Out
Tony's Farm Market,3378 Yonge St Bradford ON L3Z 3X6,Bradford,Food Take Out
Tony's Restaurant,646 Little Lake Park Road Midland ON L4R 2E1,Midland,Food Take Out
Tony's Take-Out,676 River Road E Wasaga Beach ON L9Z 2M3,Wasaga Beach,Food Take Out
Topper's Pizza,1295 Mosley St Wasaga Beach ON L9Z 2Y7,Wasaga Beach,Food Take Out
Topper's Pizza,B-505 Bryne Dr Barrie ON L4N 9P7,Barrie,Food Take Out
Topper's Pizza,5-499 First Street Collingwood ON L9Y 1B9,Collingwood,Food Take Out
Topper's Pizza,18-304 Dunlop Street W Barrie ON L4N 7L2,Barrie,Food Take Out
Tops in Pizza,276 Memorial Ave Orillia ON L3V 5X6,Orillia,Food Take Out
Tottenham Community and Fitness Centre,139 Queen St N Tottenham ON L0G 1W0,Tottenham,Food Take Out
Tottenham Piri Piri,C3 - 2 Queen St S Tottenham ON L0G 1W0,Tottenham,Food Take Out
Tree Nursery Sports Park,2231 Nursery Road Springwater ON L0L 1Y0,Springwater,Food Take Out
T's Tacoria,U-12 Main St Wasaga Beach ON L9Z 2K1,Wasaga Beach,Food Take Out
Tsunami Juice,1 Tiny Beaches Rd N Balm Beach ON L0L 2T0,Balm Beach,Food Take Out
Twice the Deal Pizza,8-480 Mapleton Ave Barrie ON L4N 9C2,Barrie,Food Take Out
Twisted Indian Modern Wraps,9-353 Duckworth St Barrie ON L4M 5C2,Barrie,Food Take Out
Twisted Indian Wraps,5-30 45th Street S Wasaga Beach ON L9Z 0X2,Wasaga Beach,Food Take Out
Unbelievabowl,94 Dunlop Street West Barrie ON L4N 1A7,Barrie,Food Take Out
Uni Bubble Tea,3-450 Holland St Bradford ON L3Z 0G1,Bradford,Food Take Out
Up North Games,"442C7 Main Street Huntsville, P1H Ontario",Huntsville,Food Take Out
Uptown Theatre,55 Dunlop St W Barrie ON L4N 1A3,Barrie,Food Take Out
V. Prias Foods,350 First Street Collingwood ON L9Y 1B4,Collingwood,Food Take Out
