Facility Name,Site Address,Community,Facility Type
Booster Juice,89 Park Pl Boulevard Barrie ON L4N 6P4,Barrie,Food Take Out
Booster Juice,B3 - 30 King Street S Alliston ON L9R 1H6,Alliston,Food Take Out
Bracebridge Arena,169 James St Bracebridge ON P1L 1V9,Bracebridge,Food Take Out
"Bradford Underground Bowl, The",54 Holland St W Bradford ON L3Z 2A7,Bradford,Food Take Out
Bradford West Gwillimbury Leisure Centre- Concession,471 West Park Ave Bradford ON L3Z 0J3,Bradford,Food Take Out
Breezzy Pines Country Kitchen,1051 Barlochan Road Gravenhurst ON P1P 1R2,Gravenhurst,Food Take Out
Brenda's Confectionary / B&R's Garage,106 Robert Street W Penetanguishene ON L9M 1P1,Penetanguishene,Food Take Out
Brian Orser Arena,433 Gill St Orillia ON L3V 6K8,Orillia,Food Take Out
Brooks Bros Mini-Donuts,125 Bridge Street Bradford ON L3Z 3H2,Bradford,Food Take Out
Burger King,6400 Highway 400 S Innisfil ON L9S 3R7,Innisfil,Food Take Out
Burger Station,5444-5 Sideroad Innisfil ON L0L 1L0,Innisfil,Food Take Out
Busters,3138 Penetanguishene Rd Barrie ON L4M 4Y8,Springwater,Food Take Out
Butter Chicken Roti,I-3-307 Cundles Rd Barrie ON L3V 0E9,Barrie,Food Take Out
Cabela's,50 Concert Way Barrie ON L4N 6N5,Barrie,Food Take Out
Café Roxy,333 King St Midland ON L4R 3M7,Midland,Food Take Out
Café Royale,201 Georgian Dr Barrie ON L4M 6M2,Barrie,Food Take Out
Cal's Bakery and Cafe,331 Bayfield St Barrie ON L4M 3C2,Barrie,Food Take Out
Camp Muskoka Coffee House,72 Manitoba St Bracebridge ON P1L 2B4,Bracebridge,Food Take Out
Capitol Movie Theatre,8 Main St W Huntsville ON P1H 2E1,Huntsville,Food Take Out
Capstone Market,2 Capstone Lane Huntsville ON P1H 0A2,Huntsville,Food Take Out
Carib Grill Restaurant,2207 Industrial Park Road Innisfil ON L9S 3V9,Innisfil,Food Take Out
Cashtown Burger,2802 County Rd 42 Stayner ON L0M 1S0,Stayner,Food Take Out
Centra Food Market,M101-320 Bayfield Street Barrie ON L4M 3C1,Barrie,Food Take Out
Central Park Canteen,85 Paterson St Collingwood ON L9Y 3N3,Collingwood,Food Take Out
Centre Ice Café,100 University Ave Orillia ON L3V 6H2,Orillia,Food Take Out
Centurion Coffee,112 Dunlop St E Barrie ON L4M 1A4,Barrie,Food Take Out
Chappell Farms,617 Penetanguishene Rd Oro-Medonte ON L4M 4Y8,Oro-Medonte,Food Take Out
Chatime,367 Cundles Rd E Barrie ON L4M 0G4,Barrie,Food Take Out
Chavo Crepes,74 Dunlop Street E Barrie ON L4N 6H9,Barrie,Food Take Out
Chef Chan,6-190 Minets Point Rd Barrie ON L4N 4C3,Barrie,Food Take Out
Chicco's Pizza,9710 Highway 9 Palgrave ON L0N 1P0,Palgrave,Food Take Out
Chicken on The Run,17 Alliance Barrie ON L4M 5K3,Barrie,Food Take Out
China Garden,2 Queen St S Tottenham ON L0G 1W0,Tottenham,Food Take Out
Chois Fish N' Chips,6-201 Cundles Road E Barrie ON L4M 4S5,Barrie,Food Take Out
