Facility Name,Site Address,Facility Type,Last Inspection Date
River Valley Restaurant,147 Government Rd Kearns ON P0K 1J0,Restaurant/dine-in,06-Dec-19
Rooster's Bar & Grill,00-2 Cedar Ave New Liskeard ON P0J 1P0,Restaurant/dine-in,17-Sep-20
Salvation Army Kirkland Lake (Soup Kitchen),6 Sylvanite Ave Kirkland Lake ON P2N 2C7,Restaurant/dine-in,05-Dec-19
Silver Birches Camp (Kitchen),3028 Rosegrove Rd Swastika ON P0K 1T0,Restaurant/dine-in,25-Jun-19
Silver Cafe,3 Prospect Ave Cobalt ON P0J 1C0,Restaurant/dine-in,06-Oct-20
Smoothwater Outfitters,34 Smoothwater Road Temagami ON P0H 2H0,Restaurant/dine-in,18-Sep-19
Station Steakhouse,501 Resort Road Sesekinika ON P0K 1S0,Restaurant/dine-in,22-Jan-20
Subway (Dymond),883161 Hwy 11B New Liskeard ON P0J 1P0,Restaurant/dine-in,12-Aug-20
Subway (Englehart),334421 Hwy 11 englehart ON P0J 1H0,Restaurant/dine-in,12-Aug-20
Subway (KL),36 Government Road West Kirkland Lake ON,Restaurant/dine-in,10-Nov-20
Super 8 Motel,50 Government Road East Kirkland Lake ON P2N 1A5,Restaurant/dine-in,19-Dec-19
Teck-2-Go,A-70 Woods St Kirkland Lake ON P2N 3L7,Restaurant/dine-in,18-Dec-20
Temagami Outfitting Co.,"11 Lakeshore Drive, Box 512 Temagami ON P0H 2H0",Restaurant/dine-in,
Temagami Petro Canada (restaurant & convenience store),6692 ON-11 Temagami ON P0H,Restaurant/dine-in,04-Dec-20
Temagami Shores Inn,6612 ON-11 Temagami ON P0H 2H0,Restaurant/dine-in,18-Sep-20
The Dish,77 Government Road W Kirkland Lake ON P2N 2E7,Restaurant/dine-in,09-Dec-20
The Old School House,461 Dale Street North Matachewan ON,Restaurant/dine-in,03-Dec-20
Tim Horton's (Dymond),883307 ON-65 Temiskaming Shores ON P0J 1P0,Restaurant/dine-in,17-Jul-20
Tim Hortons (Englehart),141 4th Ave Englehart ON,Restaurant/dine-in,03-Sep-20
Tim Hortons (Kirkland Lake East),76 Government Road E Kirkland Lake ON P2N 1A5,Restaurant/dine-in,15-Dec-20
Tim Horton's (Kirkland Lake West),175 Government Road W Kirkland Lake ON P2N 3M6,Restaurant/dine-in,21-Oct-20
Tri-town Bowling Lanes (Kitchen),331-Main St Haileybury ON P0J 1K0,Restaurant/dine-in,12-Nov-20
Tri-Town Ski and Snowboard Village,Hwy 567 Lorraine Township ON,Restaurant/dine-in,24-Jan-20
Vienna's Bar and Grill,5 Government Road West Kirkland Lake ON P2N 2C9,Restaurant/dine-in,15-Oct-20
Wendy's Restaurant,883337 Hwy 11B New Liskeard ON P0J1P0,Restaurant/dine-in,07-Oct-20
Whiskeyjack Beer Company,485 Ferguson Ave Haileybury ON P0J 1K0,Restaurant/dine-in,05-Nov-20
Zante's Bar & Grill,997461 ON-11 Temiskaming Shores ON P0J 1P0,Restaurant/dine-in,08-Sep-20
