Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Ardglen Bakery,85 Clarence St Brampton ON L6W 1S5,Food Take Out,2020-02-20,
Arigato,1A-1550 South Gateway Rd Mississauga ON L4W 5G6,Food Take Out,2019-11-22,
Armaan Sweets and Restaurant,5-4025 Brandon Gate Dr Mississauga ON L4T 3Z9,Food Take Out,2020-09-24,
Arvinda's,FM20-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2019-04-11,
Asian Food Centre - Butcher/Food Takeout,6-2120 North Park Dr Brampton ON L6S 0C9,Food Take Out,2019-12-03,
Asian Food Centre - Food Take Out,1-621 Wanless Dr Brampton ON L7A 0A9,Food Take Out,2020-09-04,
Asian Food Centre-Meat Shop,2-40 Lacoste Blvd Brampton ON L6P 3Z8,Food Take Out,2020-09-25,
Auntie Anne's Pretzel,1-105-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2019-11-20,
Avani Rolls and Bowls,4-6965 Vanguard Dr Mississauga ON L5S 1B2,Food Take Out,2020-11-19,
Ba Le Sandwich,4-1125 Dundas St E Mississauga ON L4Y 2C4,Food Take Out,2020-02-04,
Baba's Pizza & Wings,16-8550 Torbram Rd Brampton ON L6T 5C8,Food Take Out,2020-02-27,
Baker's Jerk House,14-50 Sunnyvale Gate Brampton ON L6S 0C4,Food Take Out,2019-09-18,
Banh Mi - Bakery Tan Dinh,15-3415 Dixie Rd Mississauga ON L4Y 2B1,Food Take Out,2020-02-05,
Bao-Shin To Go,1-896 Burnhamthorpe Rd W Mississauga ON L5C 2S3,Food Take Out,2020-02-11,
bar Burrito,66-1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2020-03-10,
Bar Burrito,25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2019-12-09,
bar Burrito,1-72 Quarry Edge Dr. Brampton ON L6V 4K2,Food Take Out,2019-11-15,
BAR:120 - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2020-02-12,
BarBurrito,A-7686 Hurontario street Brampton ON L6Y 5B5,Food Take Out,2020-01-13,
Basil Box,1-138-100 City Centre Dr. Mississauga ON L5B 2C9,Food Take Out,2020-01-16,
Baskin Robbins,1-2462 Queen St E Brampton ON L6S 5X9,Food Take Out,2020-06-24,
Baskin Robbins,51-377 Burnhamthorpe Rd E Mississauga ON L5A 3Y1,Food Take Out,2019-04-23,
Baskin Robbins,2-120 Clementine Dr Brampton ON L6Y 0L8,Food Take Out,2020-03-03,
Baskin Robbins,3-6040 Glen Erin Dr Mississauga ON L5N 3M4,Food Take Out,2020-02-13,
Baskin Robbins,9-6045 Mavis Rd Mississauga ON L5R 4G6,Food Take Out,2019-03-26,
Baskin Robbins,2-72 Quarry Edge Dr Brampton ON L6V 4K2,Food Take Out,2019-11-15,
Baskin Robbins,1-202-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2020-02-21,
Baskin Robbins,15-2400 Dundas St W Mississauga ON L5K 2R8,Food Take Out,2019-06-28,
Baskin Robbins,1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2019-11-15,
Baskin Robbins,25-1077 North Service Rd Mississauga ON L4Y 1A6,Food Take Out,2019-12-17,
Baskin Robbins,"11-170 Sandalwood Pky E, Brampton ON L6Z 1Y5",Food Take Out,2020-01-20,
Bell Mobility Centre - Starbucks,A-5025 Creekbank Rd Mississauga ON L4W 0B6,Food Take Out,2019-10-10,
Bella's Lechon,2B-848 Burnhamthorpe Rd W Mississauga ON L5C 2S3,Food Take Out,2020-03-04,
Bendoor Mediterranean,2A07-7215 Goreway Dr Mississauga ON L4T 2T9,Food Take Out,2020-02-18,
Bento,487 Queen St S Caledon ON L7E 2B4,Food Take Out,2020-02-14,
Bento Nouveau,910 Southdown Rd Mississauga ON L5J 2Y4,Food Take Out,2019-10-25,
Bergham,11B-5955 Latimer Dr Mississauga ON L5V 0B7,Food Take Out,2021-01-14,
