Facility Name,Site Address,Community,Facility Type
Bangkok Saigon Noodle,136 Holland Street E Bradford ON L3Z 2P7,Bradford,Restaurant
Bank Cafe,179 Mill St Creemore ON L0M 1G0,Creemore,Restaurant
barBURRITO,7B-17 King St Angus ON L0M 1B0,Angus,Restaurant
barBURRITO,C2-50 King St S Alliston ON L9R 1H6,Alliston,Restaurant
Barcelos Restaurant & Grill,22 Sunnidale Rd Wasaga Beach ON L9Z 2M5,Wasaga Beach,Restaurant
Barnstormer Brewing Company,3-384 Yonge St Barrie ON L4N 4C8,Barrie,Restaurant
Barrie Burger,404 Dunlop St W Barrie ON L4N 1C2,Barrie,Restaurant
Barrie Burger,4-222 Mapleview Drive West Barrie ON L4N 9E7,Barrie,Restaurant
Barrie Country Club,635 St Vincent Street N Springwater ON L4M 4V1,Springwater,Restaurant
Barrie Molson Centre,555 Bayview Dr Barrie ON L4N 8Y2,Barrie,Restaurant
Bass Lake Roadhouse,4700 Muskoka Rd 169 W Foot's Bay ON P0C 1A0,Foot's Bay,Restaurant
Baton Rouge Steakhouse & Bar,336 Bayfield St Barrie ON L4M 3B9,Barrie,Restaurant
Batteaux Creek Golf Club,7422 Sideroad 30 31 Nottawa ON L0M 1P0,Nottawa,Restaurant
Bayside Restaurant,500 Atherley Rd Orillia ON L3V 7Y1,Orillia,Restaurant
Bayview Wildwood Resort,1500 Port Stanton Pkwy Severn Bridge ON P0E 1N0,Severn Bridge,Restaurant
"Beacon Restaurant, The",146 45th St N Wasaga Beach ON L9Z 1Z2,Wasaga Beach,Restaurant
Beaver and Bulldog Sports Pub & Wingery,195 First St Collingwood ON L9Y 1A6,Collingwood,Restaurant
Beaver Tails,69 Main Street E Huntsville ON P1H 2B8,Huntsville,Restaurant
Bedrock Cafe,9393 Highway 11 S Severn ON L3V 6H3,Severn,Restaurant
Beertown Public House,12 Fairview Road Barrie ON L4N 4P3,Barrie,Restaurant
Belle Aire Beach Bar and Grill,1111 Killarney Beach Road Lefroy ON L0L 1W0,Belle Ewart,Restaurant
Bent Taco,48 Pine St Collingwood ON L9Y 2N7,Collingwood,Restaurant
Bentley's,380 First St Collingwood ON L9Y 1B5,Collingwood,Restaurant
Bernie's Pizza & Wings,3-52 Queen St W Cookstown ON L0L 1L0,Cookstown,Restaurant
Best Western Plus,86 Howland Dr Huntsville ON P1H 1M3,Huntsville,Restaurant
Best Western Plus Portage Italian Bistro,440 Couchiching Point Rd Orillia ON L3V 6P8,Orillia,Restaurant
Bethune's Bistro,205 Muskoka Rd S Gravenhurst ON P1P 1H6,Gravenhurst,Restaurant
Bibby's Corner,12-50 Main St E Beeton ON L0G 1A0,Beeton,Restaurant
Big Bone BBQ & Wicked Wings,7-190 Minets Point Rd Barrie ON L4N 4C3,Barrie,Restaurant
Big Cedar Golf Club,1590 Houston Ave Innisfil ON L9S 4M7,Innisfil,Restaurant
Big Chute Marina,1881 Whites Falls Rd Coldwater ON L0K 1E0,Coldwater,Restaurant
Big Momma's Soul Food,19 Simcoe Rd Bradford ON L3Z 2A8,Bradford,Restaurant
Big Pho,C-145 Mapleview Dr W Barrie ON L4N 9H7,Barrie,Restaurant
"Bigwin Island Golf Club, The",1137 Old Highway 117 Baysville ON P0B 1A0,Bigwin Island,Restaurant
"Bigwin Island Golf Club, The - Members Club",1137 Old Highway 117 Baysville ON P0B 1A0,Bigwin Island,Restaurant
Bill's Pizza,216 Manitoba St Bracebridge ON P1L 2E1,Bracebridge,Restaurant
Bleu Garden Restaurant,740 Yonge Street Midland ON L4R 2E5,Midland,Restaurant
Blue Moon Junction,9620 Highway 11 South Washago ON L0K 2B0,Washago,Restaurant
Blue Mountain Golf & Country Club,706 Line 10 Collingwood ON L9Y 3Z4,Collingwood,Restaurant
"Blue Willow Tea Shop, The",2-900 Bay Street Gravenhurst ON P1P 1Z9,Gravenhurst,Restaurant
Bluewater Fish & Grill,7159 Main Street E Stayner ON L0M 1S0,Stayner,Restaurant
"Boathouse Eatery, The",177 King Street Midland ON L4R 3L9,Midland,Restaurant
Bohemia,125 Dunlop St E Barrie ON L4M 1A6,Barrie,Restaurant
Boiler Room Tap & Grill,25748 Hwy 35 Dwight Ontario P0A 1H0,Dwight,Restaurant
Bollywood Spice,202 Victoria Street East Alliston ON L9R 1K6,Alliston,Restaurant
Bonaire Golf Club,1699 Woodrow Ave Coldwater ON L0K 1E0,Coldwater,Restaurant
Bond Head Restaurant,2940 Highway 27 Bond Head ON L0G 1B0,Bond Head,Restaurant
Booster Juice,3220 Monarch Dr Orillia ON L3V 8A2,Orillia,Restaurant
Boston Pizza,447 Cundles Rd E Barrie ON L4M 0J7,Barrie,Restaurant
Boston Pizza,311 Main St Wasaga Beach ON L9Z 0B6,Wasaga Beach,Restaurant
Boston Pizza,1100 Bay Street Gravenhurst ON P1P 1Z9,Gravenhurst,Restaurant
Boston Pizza,481 Bryne Dr Barrie ON L4N 9R1,Barrie,Restaurant
Boston Pizza,7 John St Huntsville ON P1H 1H2,Huntsville,Restaurant
Boston Pizza,390 First Street Collingwood ON L9Y 1B5,Collingwood,Restaurant
Boston Pizza,27 Young St Alliston ON L9R 1B5,Alliston,Restaurant
Boston Pizza,438 Holland Street W Bradford ON L3Z 0G1,Bradford,Restaurant
Boston Pizza,10 Depot Dr Bracebridge ON P1L 0A1,Bracebridge,Restaurant
Boston Pizza,D-16835 Highway 12 Midland ON L4R 0A9,Midland,Restaurant
Boston Pizza,3300 Monarch Drive Orillia ON L3V 8A2,Orillia,Restaurant
Bounty Fish & Chips,18 Colborne St W Orillia ON L3V 2Y3,Orillia,Restaurant
Bourbon,31 Bayfield St Barrie ON L4M 3A6,Barrie,Restaurant
Bowlerama Barrie,M2-320 Bayfield St Barrie ON L4M 3C1,Barrie,Restaurant
Bozco's,50 Coldwater Rd Coldwater ON L0K 1E0,Coldwater,Restaurant
Bracebridge Barrel House,15-295 Wellington Street Bracebridge P1P 1P3,Bracebridge,Restaurant
Bracebridge Golf Club,1255 Muskoka Rd 117 Bracebridge ON P1L 1W9,Bracebridge,Restaurant
Bradford Caribbean Cuisine,176 Holland St W Bradford West Gwillimbury ON L3Z 1J2,Bradford West Gwillimbury,Restaurant
Bradford Highland Golf Club,23 Brownlee Drive Bradford ON L3Z 2A4,Bradford,Restaurant
Bradford Tic-Tac Sports Bar & Grill,26 Holland St W Bradford ON L3Z 2B8,Bradford,Restaurant
Break Time,61 Missassaga St E Orillia ON L3V 1V4,Orillia,Restaurant
Breakaway Sports Bar,6015 Highway 89 Alliston ON L9R 1A4,Alliston,Restaurant
"Breakfast Club, The",1-6048 Highway 9 New Tecumseth ON L0G 1T0,New Tecumseth,Restaurant
"Breakfast House, The",1-359 Bayfield Street Barrie ON L4M 3C3,Barrie,Restaurant
Brewery Bay Food Company,117 Mississaga St E Orillia ON L3V 1V6,Orillia,Restaurant
Brgrz,316 Hume St Collingwood ON L9Y 1W3,Collingwood,Restaurant
Brick N Fire,310-300 Holland Street W Bradford ON L3Z 1J2,Bradford,Restaurant
British Arms,29 Dunlop St E Barrie ON L4M 1A2,Barrie,Restaurant
British Cuisine Fish and Chips,7-1256 Mosley St Wasaga Beach ON L9Z 2E2,Wasaga Beach,Restaurant
Brooklea Golf & Country Club,8567 Highway 93 Midland ON L4R 4K4,Midland,Restaurant
Brunello,27 Fourth St E Collingwood ON L9Y 1T2,Collingwood,Restaurant
Bruno's Bakery & Cafe,8-808 Innisfil Beach Rd Alcona ON L9S 2C3,Alcona,Restaurant
Bspoke Kitchen and Market,55 Collier St Barrie ON L4M 1G7,Barrie,Restaurant
Buffalo Wild Wings,139 Park Place Boulevard Barrie ON L4N 6B1,Barrie,Restaurant
"Bull & Barrel Pub, The",901-75 Cedar Pointe Dr Barrie ON L4N 5R7,Barrie,Restaurant
Burger Barr,2-505 King Street Midland ON L4R 3N5,Midland,Restaurant
Burger Boyz,50 Mosley St Wasaga Beach ON L9Z 2P6,Wasaga Beach,Restaurant
Burger King,C-43 Beach Drive Wasaga Beach ON L9Z 2K2,Wasaga Beach,Restaurant
Burger King,269 Memorial Ave Orillia ON L3V 5X9,Orillia,Restaurant
Burger King,M-551 Holland Street W Bradford ON L3Z 0C1,Bradford,Restaurant
Burger King,9226 County Road 93 Midland ON L4R 4K4,Midland,Restaurant
Burger King,320 Bayfield St Barrie ON L4M 3C1,Barrie,Restaurant
Burger Pit Restaurant,5 Booth St Hawkestone ON L0L 1T0,Hawkestone,Restaurant
"Burger Shop, The",309 Eccelstone Dr Bracebridge ON P1L 1G4,Bracebridge,Restaurant
"Burger's Priest, The",1-120 Concert Way Barrie ON L4N 0M7,Barrie,Restaurant
