Facility Name,Site Address,Last Inspection Date,Facility Type
Farmer's Talk Café - Restaurant,199 Main St Thessalon ON P0R1L0,08-Nov-19,Restaurant
Fat Bastard Burrito - Restaurant,150 Churchill BLVD Sault Ste. Marie ON P6A3Z9,23-Sep-20,Restaurant
Feeding Your Soul Cafe - Restaurant,96 White Oak Dr Sault Ste Marie ON P6B 4J8,19-Feb-20,Restaurant
Fireside Classic Grill - Restaurant,A-14 Oakland Blvd Elliot Lake ON P5A 2T1,11-Mar-20,Restaurant
Fishing Moose Lodge - Restaurant,Lot 1137 Hwy 17 N Mile Marker 957 N White River ON P0M 3G0,09-Jun-20,Restaurant
Flying J Truck Stop - Restaurant,996 Great Northern Rd Sault Ste Marie ON P6A 5K7,20-Aug-20,Restaurant
Franzisi's - Restaurant,130 Wellington St. E Sault Ste. Marie ON P6A 2L5,,Restaurant
Fratelli's Kitchen & Pizza - Restaurant,522 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,13-Nov-20,Restaurant
Fraternal Order of Eagles - Restaurant,20 Trout Lake Rd Aweres Twp ON P6A 0E4,18-Dec-20,Restaurant
Frenchies Chicken and Ribs - Restaurant,1340 Great Northern Rd Sault Ste. Marie ON P6B 0B3,16-Aug-19,Restaurant
Frenchie's Fish House - Restaurant,1340 Great Northern Rd Sault Ste. Marie ON P6A 5K7,25-Jun-19,Restaurant
Freshii - Restaurant,5-480 Pim St Sault Ste. Marie ON P6B 2V4,28-Oct-20,Restaurant
Gem Family Restaurant - Restaurant,80 Hergott Ave Elliot Lake ON P5A 1H3,03-Mar-20,Restaurant
Georges Restaurant - Restaurant,5 Mountain Rd Elliot Lake ON P5A 2T1,27-May-20,Restaurant
Georgie's Shawarma - Restaurant,75 Elgin St. Sault Ste. Marie ON,14-Dec-20,Restaurant
Getaway Restaurant - Restaurant,30 Bay Street Sault Ste. Marie ON P6A 1W7,20-Feb-20,Restaurant
Gilbertson's Maple Products SDWS# 82613AAoq - Restaurant,3090 Huron Line Richard's Landing ON P0R 1J0,19-Mar-19,Restaurant
Gino's Restaurant - Restaurant,1076 Great Northern Road Sault Ste Marie ON P6B 6J8,23-Nov-20,Restaurant
Giovanni's Spaghetti Bowl - Restaurant,516 Great Northern Road Sault Ste. Marie ON P6B 4Z9,09-Dec-20,Restaurant
Gliss - Restaurant,133 Spring St Sault Ste. Marie ON P6B 3A2,27-Nov-20,Restaurant
Golden Dragon Restaurant and Tavern - Restaurant,264 Northern Avenue Sault Ste. Marie ON P6B 4H6,03-Nov-20,Restaurant
Hard Wok Cafe - Restaurant,303 Cathcart Street Sault Ste. Marie ON P6A 1E8,24-Sep-20,Restaurant
Harmony Beach Lakeview Resort - Restaurant,128 Harmony Beach Rd Harmony Beach ON P0S 1E0,25-Jul-19,Restaurant
Harvey's Restaurant - Restaurant,21 Trunk Rd Sault Ste. Marie ON P6A 3S2,06-Nov-20,Restaurant
Heyden Restaurant - Restaurant,770 Highway 17N ON P6A5K7,22-Oct-20,Restaurant
Hiawatha Highlands - Restaurant,780 Landslide Road Sault Ste Marie ON P6A 6J8,14-Jan-20,Restaurant
Hiawatha Ice Cream - Restaurant,780 Landslide Road Sault Ste. Marie ON P6B 6J8,03-Jul-19,Restaurant
Hidden River Lodge - Restaurant,Highway 101 Whitefish Wawa ON P0S 1K0,24-Jun-19,Restaurant
Hogan's Homestead - Restaurant,96 White Oak Drive Sault Ste Marie ON P6B 4J8,25-Feb-20,Restaurant
Holiday Inn Express Express Start - Restaurant,320 Bay St Sault Ste. Marie ON P6A 1X1,08-Aug-19,Restaurant
Hong Kong Restaurant - Restaurant,241 Trunk Road Sault Ste. Marie ON P6A 3S7,17-Nov-20,Restaurant
Howard Johnson Inc. - Restaurant,503 Trunk Road Sault Ste. Marie ON P6A 5T1,12-Aug-19,Restaurant
Husky / Esso - Restaurant,1275 Trunk Rd Sault Ste. Marie ON P6A 6X8,13-Aug-20,Restaurant
Icebreakers Sports Bar and Grill - Restaurant,260 Elizabeth St Sault Ste. Marie ON P6A 6J3,10-Nov-20,Restaurant
Iron Bridge Recreation Centre Kitchen - Restaurant,1 Chiblow Lake Rd Iron Bridge ON P0R 1H0,22-Nov-19,Restaurant
Island Bar and Grill - Restaurant,3117 Marks St Hilton Beach ON P0R 1G0,15-Jul-19,Restaurant
JC Sakura - Japanese and Thai Restaurant - Restaurant,150 Churchill Blvd. Sault Ste. Marie ON P6A 3Z9,03-Sep-20,Restaurant
Johnny's Chophouse - Restaurant,180 Bay St Sault Ste Marie ON,24-Nov-20,Restaurant
Joseph's Homestead - Restaurant,89 Anderson Rd Goulais River ON P0S 1E0,15-Oct-19,Restaurant
Kathy's Brew Haha - Restaurant,126-Ontario Ave Elliot Lake ON,13-Feb-20,Restaurant
KFC - Restaurant,161 Trunk Rd Sault Ste. Marie ON P6A 3S5,16-Jan-20,Restaurant
KFC/Taco Bell - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4S8,27-Jan-20,Restaurant
Kinniwabi Pines Restaurant - Restaurant,Highway 17 S Wawa ON P0S 1K0,20-Oct-20,Restaurant
La Spicy Grill - Restaurant,523 Queen St. East Sault Ste Marie ON P6A 2A1,01-Dec-20,Restaurant
Lai's Restaurant - Restaurant,27 Broadway Ave Wawa ON P0S 1K0,21-Dec-20,Restaurant
Lakeview Restaurant - Restaurant,28 Broadway Avenue Wawa ON P0S 1K0,24-Sep-20,Restaurant
Lani Kai - Restaurant,11382 Highway 17 N Batchawana ON P0S 1A0,15-Aug-19,Restaurant
Laurentian Lodge - Restaurant,P.O. Box 141 Elliot Lake ON P5A 2J6,25-Jun-20,Restaurant
Lifespring Kotikirkko Camp (Heyden Finnish Camp) - Restaurant,37 AB Cameron Road Heyden ON P6A 0A4,26-Jun-19,Restaurant
LOL!! Resto Bar - Restaurant,275 Chemin du Lac Dubreuilville ON P0S 1B0,05-Oct-20,Restaurant
Low & Slow Smoked Fusion BBQ - Restaurant,648 Queen St E Sault Ste Marie ON P6A 2A4,20-Oct-20,Restaurant
Lucey Loo's Restaurant - Restaurant,3159 Hwy 17 B Echo Bay ON P0S 1C0,19-Oct-20,Restaurant
Lucky Garden - Restaurant,25-Hawkins St Blind River ON P0R 1B0,10-Dec-20,Restaurant
Lychee Thai Restaurant - Restaurant,280 Queen St E Sault Ste. Marie ON,21-Oct-20,Restaurant
Maple Restaurant - Restaurant,180 Ontario St Elliot Lake ON P5A 1Y4,26-May-20,Restaurant
Marconi Society Restaurant - Restaurant,450 Albert Street W Sault Ste. Marie ON P6A 1C3,14-Oct-20,Restaurant
McDonald's - Restaurant,Highway 108 N Elliot Lake ON P5A 2J5,04-Mar-20,Restaurant
McDonald's - Restaurant,371 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,16-Dec-20,Restaurant
McDonald's 40023 - Restaurant,673 Trunk Rd Sault Ste. Marie ON P6A 3T1,05-Feb-20,Restaurant
McDonald's Walmart - Restaurant,446 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,10-Nov-20,Restaurant
Melwel Lodge - Restaurant,435 Melwel Road Iron Bridge ON P0R1H0,12-Sep-19,Restaurant
Michipicoten Golf Club - Restaurant,Mission Road Wawa ON P0S 1K0,18-Jun-20,Restaurant
Misty's 50's - Restaurant,658 Second Line W Sault Ste. Marie ON P6C 2K9,15-Sep-20,Restaurant
Montana's BBQ and Bar - Restaurant,89 Foster Dr Sault Ste Marie ON P6A 5X6,23-Oct-20,Restaurant
Moose Tracks Cafe - Sunset Shores - Restaurant,10243 Highway 17 N Batchawana ON P0S 1A0,,Restaurant
Mount Dufour Ski Area - Restaurant,10 Ski Hill Rd Elliot Lake ON P5A 2J6,14-Feb-20,Restaurant
Mountainview Lodge - Restaurant,4280 Highway 556 Searchmont ON P0S1J0,12-Mar-20,Restaurant
Mr. Submarine - Restaurant,255 Trunk Rd Sault Ste. Marie ON P6A 3S7,03-Jan-20,Restaurant
Muio's Restaurant - Restaurant,685 Queen St E Sault Ste. Marie ON P6A 2A6,22-Sep-20,Restaurant
Mulligan's Irish Pub - Restaurant,1804 Queen St E Sault Ste. Marie ON P6A 2G8,02-Sep-20,Restaurant
Mum's Place - Restaurant,4 Prince Edward Walk Elliot Lake ON P5A 2Z7,13-Feb-20,Restaurant
Mustang's Grill - Restaurant,24 Woodward Ave Blind River ON P0R 1B0,30-Jun-20,Restaurant
New York Fries - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,09-Jan-20,Restaurant
Normandy Lodge - Restaurant,Kabenung Lake Dahl Wawa ON P0S 1K0,09-Sep-20,Restaurant
North 82 Steak & Beverage - Restaurant,82 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,05-Nov-20,Restaurant
North of 17 Restaurant - Restaurant,68 Broadway Ave Wawa ON P0S 1K0,18-Nov-20,Restaurant
Northcrest Bowling Lanes - Restaurant,229 Great Northern Rd Sault Ste. Marie ON P6B 4Z2,04-Nov-20,Restaurant
Northwinds Restaurant - Restaurant,Vankoughne-2771 Highway 17 N Goulais River ON P0S 1E0,17-Dec-20,Restaurant
Odeno - Sault College Student's Union - Restaurant,443 Northern Ave Sault Ste. Marie ON P6B 4J3,16-Jan-20,Restaurant
Oh Sweet Cheese Us - Restaurant,1195 Richards Street Richards Landing ON P0R 1J0,24-May-19,Restaurant
Pier Seventeen - Restaurant,1-Causley St Blind River ON P0R 1B0,30-Jun-20,Restaurant
Pita Pit - Restaurant,659 Queen St E Sault Ste. Marie ON P6A 2A6,26-Aug-20,Restaurant
Pita Pit - Restaurant,710 Second Line Sault Ste Marie ON,14-Jan-20,Restaurant
Popeye's Louisiana Kitchen - Restaurant,1 Great Northern Road Sault Ste. Marie ON P6B 4Y4,14-Jul-20,Restaurant
Primo Pizza - Restaurant,151 Trunk Rd Sault Ste. Marie ON P6A 3S5,30-Sep-20,Restaurant
Q Cafe & Bakery - Restaurant,508 Queen St E Sault Ste Marie ON P6A 2A1,25-Aug-20,Restaurant
QDOBA - Restaurant,747 Great Northern Road Sault Ste. Marie ON P6B 5X5,30-Nov-20,Restaurant
Quattro Vinotecca - Restaurant,229 Great Northern Road Sault Ste. Marie ON P6B 4Z2,26-Nov-20,Restaurant
Red Top Motor Inn - Restaurant,22133 Highway 17 Iron Bridge ON P0R 1H0,28-Aug-19,Restaurant
Reggie's West Inc. - Restaurant,306 Korah Road Sault Ste. Marie ON P6C 4H1,04-Nov-20,Restaurant
Roosters Diner - Restaurant,147 Front St Spanish ON P0P 2A0,28-May-20,Restaurant
Roxy's Fry Shack - Restaurant,20 Trout Lake Rd. Sault Ste. Marie ON P6A 5K7,18-Dec-20,Restaurant
Royal Canadian Legion #374 SDWS#726626161 - Restaurant,1534 10th Side Rd Richard's Landing ON P0R 1J0,19-Oct-20,Restaurant
Rustie's JFB Cafe - Restaurant,181 Causley Street Blind River ON P0R 1B0,16-Jun-20,Restaurant
Sandro's Restaurant - Restaurant,465 Trunk Road Sault Ste. Marie ON P6A 3T1,19-Nov-20,Restaurant
Sault College Culinary - Restaurant,443 Northern Ave E Sault Ste. Marie ON P6B 4J3,26-Feb-20,Restaurant
Scott Coffee Company - Restaurant,9-248 Northern Ave E Sault Ste Marie ON P6B 4H6,17-Oct-19,Restaurant
Searchmont Resort Cafeteria - Restaurant,103 Searchmont Resort Rd Searchmont ON P0S 1J0,20-Dec-19,Restaurant
Senior Citizens's Drop In Centre - Restaurant,619 Bay Street Sault Ste. Marie ON P6A 5X5,14-Jan-20,Restaurant
Service Grill Pizza - Restaurant,319 Korah Rd Sault Ste. Marie ON P6C 4H2,02-Oct-20,Restaurant
Shabby Motley - Restaurant,356 Queen St E Sault Ste. Marie ON P6A 1Z1,11-Aug-20,Restaurant
Shogun Sushi - Restaurant,308 Great Northern Road Sault Ste Marie ON,02-Sep-20,Restaurant
Sinton Tavern & Restaurant - Restaurant,176-Main St Thessalon ON P0R 1L0,28-Jun-19,Restaurant
Soo Blaster - Restaurant,345 Queen St Sault Ste Marie ON P6A 1Z2,25-Nov-20,Restaurant
Soo Curlers Association - The House Restaurant - Restaurant,124 Anita Blvd Sault Ste. Marie ON P6B 4P9,15-Oct-20,Restaurant
Sportscentre Bar & Grill - Restaurant,2B-624 Wellington Street W Sault Ste. Marie ON P6C 3T9,04-Dec-20,Restaurant
Sportsman Revived - Restaurant,9142-Highway 17 E Bruce Mines ON P0R 1C0,26-Nov-19,Restaurant
Stackburger - Restaurant,71 Spring St Sault Ste. Marie ON P6A 2Z9,11-Aug-20,Restaurant
Starbucks Coffee - Restaurant,168 Great Northern Road Sault Ste Marie ON P6B 4Z3,07-Jan-20,Restaurant
Stokely Creek Lodge - Restaurant,194 Pickard Rd Goulais River ON P0S 1E0,19-Feb-20,Restaurant
Stone Ridge Golf Course - Restaurant,Nordic Min-71 Nordic Townsite Elliot Lake ON P5A 2S9,16-Jun-20,Restaurant
Subway - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,11-Aug-20,Restaurant
Subway - Restaurant,27 Mission Road Wawa ON P0S 1K0,23-Oct-20,Restaurant
Subway - Restaurant,443 Northern Ave Sault Ste Marie ON P6A 5L3,03-Feb-20,Restaurant
Subway - Restaurant,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,16-Oct-19,Restaurant
Subway - Restaurant,216 Second Line W Sault Ste. Marie ON P6C 2J3,10-Dec-20,Restaurant
Subway - Restaurant,Hillside P-275 Hillside Dr South Elliot Lake ON P5A 1N7,21-Jan-20,Restaurant
Subway - Restaurant,25 Drive In Rd Sault Ste. Marie ON P6B 5X5,07-Feb-20,Restaurant
Subway - Restaurant,421 Bay St Sault Ste. Marie ON P6A 1X3,08-Jan-20,Restaurant
Subway - Restaurant,150 Churchill Blvd. Sault Ste. Marie ON P6A 3Z9,07-Jan-20,Restaurant
Subway - Restaurant,153 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,16-Dec-20,Restaurant
Subway 69748 - Restaurant,210 Hwy 17 W White River ON P0M 3G0,09-Nov-20,Restaurant
Subway Blind River - Restaurant,225 Causley St Blind River ON P0R 1B0,13-Nov-19,Restaurant
Sun Kwong Restaurant - Restaurant,368 Queen St E Sault Ste. Marie ON P6A 1Z1,21-Oct-20,Restaurant
Sunset Beach Family Restaurant - Restaurant,47 Frances St Thessalon ON P0R 1L0,14-Nov-19,Restaurant
Swiss Chalet - Restaurant,290 Hillside Drive South Elliot Lake ON P5A1N8,21-Jan-20,Restaurant
Tandoori Gardan - Restaurant,663 Queen St E Sault Ste. Marie ON P6A 2A6,23-Nov-20,Restaurant
Tazzi's Cafe & Bakery - Restaurant,478 Queen Street E Sault Ste. Marie ON P6A 1Z8,13-Oct-20,Restaurant
The Bavarian Inn - Restaurant,9181 Highway 17 E Bruce Mines ON P0R1C0,28-Nov-19,Restaurant
The Big Bear Properties - Restaurant,2 Front Street Hawk Junction ON P0S 1G0,10-Dec-20,Restaurant
The Black Bear Cafe and Eatery SDWS# 726626162 - Restaurant,2389 D Line Richards Landing ON P0R,08-Oct-20,Restaurant
The Black Bear on the Dock - Restaurant,1140 Richards Street Richards Landing ON,13-Jul-20,Restaurant
The Breakfast Pig Badass Eatery - Restaurant,265 Bruce Street Sault Ste Marie ON P6B 1P5,13-Oct-20,Restaurant
The Cultured Club - Restaurant,167 McClelland Road Desbarats ON P0R1E0,09-Dec-20,Restaurant
The Harp - Restaurant,701 Pine Street Sault Ste. Marie ON P6A 2X4,07-Oct-20,Restaurant
The Outpost Lodge - Restaurant,8572 Hwy 129 Gould Township ON,27-Aug-19,Restaurant
The Pit Stop Cafe (Laird Raceway) - Restaurant,Laird Fair Grounds Echo Bay ON P0S 1C0,24-Jun-19,Restaurant
The Roadhouse Bar & Grill - Restaurant,743 Trunk Rd Sault Ste. Marie ON P6A 3T3,06-Nov-20,Restaurant
The Soup Witch - Restaurant,215 Fourth Line East Sault Ste. Marie ON P6A 5K8,03-Nov-20,Restaurant
The Stockhouse Grill - Restaurant,192 Wellington Street W Sault Ste. Marie ON P6A 1H4,09-Oct-20,Restaurant
The Taj Indian Cuisine Ltd. - Restaurant,Marie-420 Great Northern Road Sault Ste Marie ON P6B 4Z7,13-Nov-20,Restaurant
The Whisky Barrel - Restaurant,113 Gore St Sault Ste. Marie ON P6A 1L9,17-Sep-20,Restaurant
Three Aces Restaurant - Restaurant,22162 Highway 17 Iron Bridge ON P0R 1H0,26-Nov-19,Restaurant
Tilt'n Hilton - Restaurant,Box 96 Hilton Beach ON P0R 1G0,25-Nov-20,Restaurant
Tim Hortons #1925 - Restaurant,335 John St Sault Ste. Marie ON P6A 3J6,15-Dec-20,Restaurant
Tim Hortons 5769 - Restaurant,699 Trunk Rd Sault Ste Marie ON P6A 3T1,11-Mar-20,Restaurant
Tim Hortons - Restaurant,628 Third Line Sault Ste. Marie ON P6A 6S8,03-Dec-20,Restaurant
Tim Hortons - Restaurant,443 Northern Ave E Sault Ste. Marie ON P6A 5L3,03-Feb-20,Restaurant
Tim Hortons - Restaurant,542 Bay St Sault Ste. Marie ON P6A 1X5,21-Oct-20,Restaurant
Tim Hortons - Restaurant,410 McNabb St Sault Ste. Marie ON P6B 1Z2,27-Nov-20,Restaurant
Tim Hortons - Restaurant,223 Second Line W Sault Ste. Marie ON P6C 2J3,22-Sep-20,Restaurant
Tim Hortons - Restaurant,191 Trunk Rd Sault Ste. Marie ON P6A 3S5,08-Nov-19,Restaurant
Tim Hortons - Restaurant,Hwy 101-92 Mission Rd Wawa ON P0S 1K0,27-Aug-20,Restaurant
Tim Hortons - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,03-Feb-20,Restaurant
Tim Hortons - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,30-Jan-20,Restaurant
Tim Hortons - Restaurant,Highway 108 N Elliot Lake ON P5A 2T2,02-Mar-20,Restaurant
Tim Hortons (Blind River) - Restaurant,43-Causley Blind River ON P0R 1B0,24-Sep-19,Restaurant
Uncle Gino's Cafe - Restaurant,56 Second Line W Sault Ste. Marie ON P6C 2K3,24-Jul-20,Restaurant
Upper Deck Lounge - Restaurant,410 Pim Street Sault Ste. Marie ON P6A 2V1,06-Jul-20,Restaurant
Viking Restaurant - Restaurant,35 Mission Road Wawa ON P0S 1K0,21-Jul-20,Restaurant
Voyageur's Lodge and Cookhouse - Restaurant,11054 Highway 17 N Batchawana ON P0S 1A0,13-Aug-20,Restaurant
Wacky Wings - Restaurant,350 Lake Street Sault Ste. Marie ON P6B 3L1,30-Sep-20,Restaurant
Wacky Wings - Restaurant,688 Great Northern Road Sault Ste. Marie ON P6B 5A2,17-Nov-20,Restaurant
Wawa Motor Inn - Wawa Goose Bar & Grill - Restaurant,118 Mission Rd Wawa ON P0S 1K0,21-Oct-19,Restaurant
Wendy's - Restaurant,1 Queen St W Sault Ste. Marie ON P6A 1A1,04-Sep-20,Restaurant
Wendy's - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,26-Feb-20,Restaurant
West Side Cafe - Restaurant,260 Queen Street W Sault Ste. Marie ON P6A 1A4,19-Nov-20,Restaurant
White River Bar & Grill - Restaurant,200 Highway 17 White River ON P0M 3G0,18-Aug-20,Restaurant
Woking Chopstix - Restaurant,293 Bay Street Sault Ste. Marie ON P6A 1X3,10-Aug-20,Restaurant
