Facility Name,Site Address,Last Inspection Date,Facility Type
Burger King,345 McKenzie Ave Ajax ON L1S 2G2,30-Jan-20,Food Take Out
Burger King,105 Clarington Blvd Bowmanville ON L1C 4Z3,21-Oct-19,Food Take Out
Burger King,275 Taunton Rd E Oshawa ON L1G 3V2,24-Jan-20,Food Take Out
Burger King,4 Harwood S Ajax ON L1S 7L8,06-Feb-20,Food Take Out
Burger King,338 King St W Oshawa ON L1J 2J9,28-Jan-21,Food Take Out
Burrito Zone/Greek Stop,6-1900 Dixie Rd Pickering ON L1V 1V4,17-Dec-20,Food Take Out
Buster Rhino's,7-2001 Thickson Rd S Whitby ON L1N 6J3,10-Sep-19,Food Take Out
C & T Wok Express,11-100 Westney Rd S Ajax ON L1S 7H3,10-Dec-19,Food Take Out
Camp TreeTop,155-Uxbridge Pickering Townline Pickering ON L1Y 1A3,22-Jul-19,Food Take Out
Canadian Tire Motor Sport Park - Corner 2,3233 Concession Rd 10 Bowmanville ON L1C 3K6,04-Jul-19,Food Take Out
Canadian Tire Motor Sport Park - Corner 5,3233 Concession Rd 10 Bowmanville ON L1C 3K6,04-Jul-19,Food Take Out
Canadian Tire Motor Sport Park - Trackside Grill,3233 Concession Rd 10 Bowmanville ON L1C 3K6,01-Sep-20,Food Take Out
Caribbean Flavah,70 King St W Oshawa ON L1H 1A6,25-Nov-19,Food Take Out
Carpe Diem Farm,18900 Highway 12 Sunderland ON L0H 1H0,15-Jun-18,Food Take Out
Cashew and Clive,1661 Harmony Rd N Oshawa ON,30-Jan-20,Food Take Out
Cedar Park,6296 Cedar Park Rd Bowmanville ON L1C 3K2,29-Jun-20,Food Take Out
Champ's Caribbean Restaurant,1288 Ritson Rd N Oshawa ON L1G 7Z9,03-Jan-20,Food Take Out
Charminar Express,16-2460 Brock Rd Pickering ON L1X 0J1,21-Jan-21,Food Take Out
Chicago Deli Express,2-165 Garrard Rd Whitby ON L1N 3K4,04-Mar-20,Food Take Out
Chick Fiesta,C4-2200 Brock Rd Pickering ON L1X 2R2,24-Aug-20,Food Take Out
Chick n Platterz,50 Taunton Rd E Oshawa ON L1G 3T7,21-Aug-20,Food Take Out
Chick-N-Joy,16-85 Kingston Rd E Ajax ON L1S 7J4,25-Feb-20,Food Take Out
CHICK-N-JOY,4-705 Kingston Rd Pickering ON L1V 6K3,18-Sep-19,Food Take Out
China Wok,381 Stevenson Rd N Oshawa ON L1J 5N5,09-Feb-21,Food Take Out
Christopher's Pastry and Deli,73 Ontario St Oshawa ON L1G 4Y9,21-Jul-20,Food Take Out
Cinnabon,1105-419 King St W Oshawa ON L1J 2K5,31-Oct-19,Food Take Out
CITIZENTEA,2480-419 King St W Oshawa ON L1J 2K5,16-Oct-19,Food Take Out
City Patties,5 John St W Oshawa ON L1H 1N2,14-Dec-20,Food Take Out
Coco Bubble Tea,18-145 Kingston Rd E Ajax ON L1S 7J4,21-Jul-20,Food Take Out
Coco Fresh Tea & Juice,3-1800 Simcoe St N Oshawa ON L1G 4X9,21-Jan-20,Food Take Out
Coco Fresh Tea and Juice,25-1794 Liverpool Rd Pickering ON L1V 4G7,,Food Take Out
Coco Frutti,1 Warren Ave Oshawa ON L1J 4E2,10-Feb-20,Food Take Out
Cocodrilo Tacos and Hotdogs,250 Kingston Rd E Ajax ON L1Z 1G1,22-Oct-19,Food Take Out
Coffee Culture,60 Salem Rd S Ajax ON L1S 7J3,27-Jan-20,Food Take Out
Coffee Culture Cafe & Eatery,1-1700 Simcoe St N Oshawa ON L1G 4X9,13-Jan-20,Food Take Out
Coffee Culture Cafe & Eatery,16 Winchester Rd E Whitby ON L1M 1B4,10-Feb-21,Food Take Out
Coffee Culture Cafe & Eatery,22 King St W Oshawa ON L1H 1A3,10-Dec-20,Food Take Out
Coffee Culture Cafe and Eatery,1525 Dundas St E Whitby ON L1N 2K6,15-Jan-20,Food Take Out
Coffee Time,1-2727 Courtice Rd Courtice ON L1E 3A2,05-Jan-21,Food Take Out
Coffee Time,10-500 Rossland Rd W Oshawa ON L1J 3H2,09-Oct-20,Food Take Out
Coffee Time,B-23B Brock St W Uxbridge ON L9L 1T1,30-Jul-19,Food Take Out
Coffee Time,2364 Taunton Rd E Hampton ON L0B 1J0,29-Jan-20,Food Take Out
Coffee Time,243 King St E Bowmanville ON L1C 3X1,20-Jan-20,Food Take Out
Coffee Time,191 Bloor St E Oshawa ON L1H 3M3,10-Feb-21,Food Take Out
Coffee Time,1615 Dundas St E Whitby ON L1N 2L1,12-Feb-21,Food Take Out
Country Cheese Company,3-289 Kingston Rd E Ajax ON L1Z 0K5,12-Mar-19,Food Take Out
Country Style/Pizza Pizza,19100 ON-12 Greenbank ON L0C 1B0,21-Jul-20,Food Take Out
Country Style/Quick Market,5 & 6-550 Finch Ave Pickering ON L1V 0B2,11-Feb-21,Food Take Out
Crave Doughnuts,1-102 Lupin Dr Whitby ON L1N 1X8,14-Nov-19,Food Take Out
Crown Pita,4-1725 Kingston Rd Pickering ON L1V 4L9,22-Oct-20,Food Take Out
Crusty Pizza,85 River St Sunderland ON L0C 1H0,16-Nov-20,Food Take Out
Crusty Pizza,5-1869 Scugog ST Port Perry ON L9L 1P4,10-Mar-20,Food Take Out
Crusty Pizza,2-325 Simcoe St Beaverton ON L0K 1A0,08-Feb-21,Food Take Out
Da Taste Takeout,153 Simcoe St S Oshawa ON L1H 4G8,26-Jul-19,Food Take Out
Daal Roti,11-1450 Kingston Rd Pickering ON L1V 1C1,17-Sep-20,Food Take Out
Dairy Queen,700-575 Laval Dr Oshawa ON L1J 6L8,16-Feb-21,Food Take Out
Dairy Queen,2 Spicer Sq Bowmanville ON L1C 5M2,01-Aug-19,Food Take Out
Dairy Queen,1420 King St Courtice ON L1E 2J5,10-Feb-20,Food Take Out
Dairy Queen,1050 Simcoe St N Oshawa ON L1G 4W5,13-Feb-20,Food Take Out
Dairy Queen,235 Simcoe St S Oshawa ON L1H 4H3,12-Feb-21,Food Take Out
Dairy Queen,3975 Garden Street Whitby ON L1R3A4,21-Feb-20,Food Take Out
Dairy Queen,1881 Scugog St Port Perry ON L9L 1H9,25-Aug-20,Food Take Out
Dairy Queen,250 Bayly St W Ajax ON L1S 3V4,24-Feb-20,Food Take Out
Dairy Queen,1099 Kingston Rd Pickering ON L1V 1B5,13-Oct-20,Food Take Out
Darling Dishes Inc.,880 Carnaby Crescent Oshawa ON L1G 2Y8,10-Feb-21,Food Take Out
DAVIDsTEA,4042-419 King St W Oshawa ON L1J 2K5,08-Nov-19,Food Take Out
Delicious Greek Convenience,3-800 King St W Oshawa ON L1J 2L5,22-Jan-20,Food Take Out
Delicious Hut,B-33 Harwood Ave S Ajax ON L1S 2B8,07-Jan-21,Food Take Out
Deli-Corner,368 Wilson Rd S Oshawa ON L1H 6C7,22-Dec-20,Food Take Out
Dinner and Company,1A-185 Thickson Rd Whitby ON L1N 0E2,27-Aug-19,Food Take Out
Divino Churrasco,2-1288 Ritson Rd N Oshawa ON L1G 7Z9,08-Jan-20,Food Take Out
Domino's,3A-1900 Dixie Rd Pickering ON L1V 6M4,03-Feb-21,Food Take Out
Domino's Pizza,10 Harwood Ave S Ajax ON L1S 6N2,17-Jul-19,Food Take Out
Domino's Pizza,D3-95 Middlecote Dr Ajax ON L1T 0K3,01-Sep-20,Food Take Out
Domino's Pizza,2-1303 King St E Oshawa ON L1H 1J3,16-Jun-20,Food Take Out
Domino's Pizza,1900 Simcoe St. N. Oshawa ON L1G4Y3,27-Feb-20,Food Take Out
Domino's Pizza,2-54 Brock St W Uxbridge ON L9P 1P4,10-Feb-20,Food Take Out
Domino's Pizza,372 Taunton Road East Whitby ON L1R 0H4,06-Feb-20,Food Take Out
Domino's Pizza,100 Mearns Ave Bowmanville ON L1C 5M3,16-Jul-20,Food Take Out
Domino's Pizza,14-245 King St W Oshawa ON L1J 2J7,26-Feb-20,Food Take Out
Domino's Pizza,1-1235 Bayly St Pickering ON L1W 1L7,26-Sep-19,Food Take Out
Domino's Pizza,22-235 Bayly St W Ajax ON L1S 3K3,27-Jul-20,Food Take Out
Domino's Pizza,600 Grandview St S Oshawa ON L1H 8P4,03-Jan-20,Food Take Out
Domino's Pizza,4-1888 Scugog St Port Perry ON L9L 1H6,14-Jan-20,Food Take Out
Domino's Pizza,10-200 Carnwith Dr E Brooklin ON L1M 0A1,07-Feb-20,Food Take Out
Domino's Pizza,1525 Dundas St E Whtiby ON L1N 2K6,19-Nov-19,Food Take Out
Domino's Pizza,17-1383 Wilson Rd N Oshawa ON L1K 2Z5,18-Nov-20,Food Take Out
Double Double Pizza & Chicken,200 John St W Oshawa ON L1J 2B4,05-Nov-20,Food Take Out
Double Double Pizza and Chicken,3-1335 Simcoe St N Oshawa ON L1G 4X1,09-Jun-20,Food Take Out
Down East Donairs,2-1645 Dundas St E Whitby ON L1N 2K9,24-Oct-19,Food Take Out
DQ-OJ Treat Centre,139-1355 Kingston Rd Pickering ON L1V 1B8,04-Mar-20,Food Take Out
