Facility Name,Site Address,Facility Type,Last Inspection Date
di Gusto Pizza and Pasta,1620 Regent Street Sudbury ON P3E 3Z6,Restaurant,23-Sep-20
Doghouse Sportsbar,212 Romanet Lane Sudbury ON P3E 3G9,Restaurant,06-Nov-20
Domino's Pizza (Store #10469),450 Notre Dame Ave Sudbury ON P3C 5K8,Restaurant,25-Jan-21
Domino's Pizza (Store #10498),1942 Regent St Sudbury ON P3E 5V5,Restaurant,10-Dec-20
Don's Pizzeria,707 Lorne Street Sudbury ON P3C 4R5,Restaurant,16-Oct-20
Dynamyc Family Restaurant,224 Station Rd Espanola ON P5E 1G1,Restaurant,11-Feb-20
East Side Mario's,2040 Algonquin Rd Sudbury ON P3E 4Z6,Restaurant,03-Nov-20
East Side Mario's,900 Lasalle Blvd Sudbury ON P3A 1X5,Restaurant,14-Dec-20
Eddie's Restaurant,1769 Regent St Sudbury ON P3E 3Z7,Restaurant,01-Dec-20
Elliott's Restaurant,28 Vankoughnet St E P.O. Box 328 Little Current ON P0P 1K0,Restaurant,11-Sep-20
Espanola Golf Course,309 Golf Club Rd Espanola ON P5E 1A3,Restaurant,01-Sep-20
Fairfield Inn,490 Barrydowne Rd Sudbury ON P3A 4T3,Restaurant,26-Nov-20
Far East Restaurant,3060 Falconbridge Rd Garson ON P3L 1P6,Restaurant,06-Aug-20
Fionn MacCool's,1875 Regent St Sudbury ON P3E 3Z7,Restaurant,04-Nov-20
Fire Flame Jerk House,661 Notre Dame Ave Sudbury ON P3C 5L5,Restaurant,29-Jan-21
Fire House Bar and Grill,62 Dennie St Capreol ON P0M 1H0,Restaurant,27-Jan-21
First Round,1462 Main St Val Caron Ontario P3N 1R8,Restaurant,14-Dec-20
Five Guys Burgers and Fries (Store #1823),1400 Kingsway Blvd Sudbury ON P3B 0A3,Restaurant,02-Sep-20
Flame Lake Lodge,Flame Lake Rd Chapleau ON P0M 1K0,Restaurant,12-Nov-19
Flo's,63 Poupore Street Gogama Ontario P0M 1W0,Restaurant,18-Nov-20
Forest Ridge Country Club,3525 Forest Ridge Rd Chelmsford ON P0M 1L0,Restaurant,07-Dec-20
Freshii,3-3179 Hwy 69 N Val Caron Ontario P3N 1S5,Restaurant,03-Jul-20
Freshii,1540 Lasalle Blvd Sudbury ON P3A 1Z7,Restaurant,05-Feb-21
G. G. Diner,14957 Hwy 540 Evansville ON P0P 1E0,Restaurant,08-Nov-20
Gardens Gate Restaurant,316 Hwy 542 Tehkummah ON P0P 2C0,Restaurant,25-Jul-19
