Facility Name,Last Inspection Date,Site Address
Kelsey's Restaurant,15-Oct-19,84 Lynden Rd Brantford ON N3R 8A4
Kentucky Fried Chicken,27-Nov-19,218 Henry St Brantford ON N3S 7R4
Kentucky Fried Chicken,28-May-20,27 Dalhousie St. Brantford ON N3T 2H6
Kentucky Fried Chicken,11-Dec-19,13-300 Grand River St N Paris ON N3L 3R7
Ketchabuz,22-Dec-20,45 Murray Street Brantford ON N3S 5N6
KFC- (Sinclair Food Court),17-Oct-19,D-11 Sinclair Blvd Brantford ON N3S 7X6
King's Buffet,08-Aug-19,B1-175 175 Lynden Rd Brantford ON N3R 8A7
Kingswood Restaurant,01-Dec-20,43 Colborne St W. Brantford ON N3T 1K6
La Cantinella Ristorante,23-Jul-20,16 Main St S Saint George ON N0E 1N0
La Mia Cucina,28-Nov-19,8-340 Henry St Brantford ON N3S 7V9
Last Drop Cantina,,640 Colborne Street East Brantford ON N3S 3P8
Legend's Tap House & Grill,05-Mar-20,17-1084 Rest Acres Rd Brant ON N3L 4G7
Lonnie's On Market,10-Nov-20,42 1/2 Market St Brantford ON N3T 2Z5
Lookout Sports Lounge,26-Feb-20,254 North Park Brantford ON N3R 4L1
Mama's Subs & More,19-Jan-21,50 Colborne St Brantford ON N3S 7T4
Mariano'sPizza,29-Oct-20,4-248 Lynden Rd Brantford ON N3R 8A3
Maria's Pizza Pasta and Pastry,11-Dec-20,242 Colborne St W. Brantford ON N3T 1L9
Mary Brown's Chicken & Taters,16-Jan-20,175-181 Lynden Rd. Brantford ON N3R8A7
McDonald's,12-Nov-19,299 Wayne Gretzky Pkwy Brantford ON N3R 8A5
McDonald's Restaurant,10-Oct-19,300 King George Rd Brantford ON N3R 5L7
McDonald's Restaurant,14-Feb-20,27 Stanley Street Brantford ON N3S 6M1
McDonald's Restaurant,14-Sep-20,440 Colborne Street West Brantford ON N3T 0J2
McDonald's Restaurant,19-Aug-20,4A Sinclair Blvd Brantford ON N3S 7X6
McDonald's Restaurant,12-Feb-20,73 King George Rd. Brantford ON N3R 5K2
McDonald's Restaurant,03-Apr-20,307 Grand River St N. Paris ON N3L 2N9
Meatsauce Pizza,21-Feb-20,431 St. Paul Ave.East Brantford ON N3A 4N8
Mercasa Little Italy Eatery,21-Oct-20,2-195 Henry St Brantford ON N3S 5C9
Midtown NY Kitchen & Coffee / Trattoria Midtown,25-Feb-20,59 Grand River Street North Paris ON N3L 2M3
Montana's BBQ & Bar,19-Sep-19,84 Lynden Rd Brantford ON N3R 6P8
Mr Chips Fish Diner,08-Dec-20,129 Colborne St. W. Brantford ON N3T 1K9
Mr. Submarine,18-Feb-20,410 Fairview Dr Brantford ON N3R 2X8
My-Thai Restaurant,07-Dec-20,393 ST. Paul Ave Brantford ON N3R 4N6
Nikki's Roadhouse,05-Mar-20,491-Hwy 2 Princeton ON N0J 1V0
Nine North Viet Thai Cuisine,29-Oct-20,86 Dalhousie St Brantford ON N3T 2J2
Northridge Golf Club,08-Oct-19,320 Balmoral Dr. Brantford ON N3T 1N3
Olde School Restaurant,03-Dec-20,687 Powerline Rd Brantford ON N3T 5L8
On The Lam Restaurant,13-Nov-20,106 Queen St. Brantford ON N3T 3B9
Oriental Restaurant,12-Jan-21,162 Market St. Brantford ON N3T 3A5
Palace Submarine,04-Jun-20,308 Colborne St Brantford ON N3S 3N1
Paris Diner,06-Mar-20,30 Paris Rd Brant ON N3L 3H8
Paris Pub,15-Jan-20,44 Grand River St N. Paris ON N3L 2M2
Paris Surf,29-Jan-20,24 Mechanic St Brant ON N3L 1J9
Pho Vietnam 999,15-Jun-20,205 King George Rd. Brantford ON N3R 6S8
Pies & Tarts From The Heart,14-Jan-20,"286-Oakland Rd. Scotland, P.O. Box 234 ON N0E 1R0"
Pita Pit,25-May-20,185 King George Rd Brantford ON N3R 7R9
Pita Pit,18-Feb-20,2-320 Colborne Street West Brantford ON N3T 1M2
Pita Plus,21-Oct-19,28 Market Street Brantford ON N3T 2Z4
Pizza Hut,30-Dec-20,2-269 Clarence St Brantford ON N3R 3T6
