Facility Name,Site Address,Facility Type,Last Inspection Date
Golden Acres Lanes - Blenheim Bowling Alley,130 Marlborough Street N Blenheim ON N0P 1A0,Restaurant,24-Oct-19
Golden Crown Restaurant,B-421 St. Clair St Chatham ON N7L 3K4,Restaurant,25-Nov-20
GraveDiggerz' Restaurant,288 King St S Highgate ON N0P 1T0,Restaurant,05-Nov-20
Greenview Aviaries Duffy's Bar and Grill,12752 Talbot Trail Morpeth ON N0P 1X0,Restaurant,02-Jul-20
Gyros and More,5-180 McNaughton Ave. W Chatham ON N7L4Z7,Restaurant,19-Aug-20
Harvey's Restaurant,60 McNaughton Avenue Wallaceburg ON N8A 1R9,Restaurant,03-Nov-20
Harvey's Restaurants,25 St. Clair St Chatham ON N7L 3H6,Restaurant,22-Dec-20
Hidden Garden Cafe,519 King Street West Chatham ON N7M 1G8,Restaurant,
Hidden Hills Golf and Country Club,25393 St Clair Road Dover Centre ON N0P 1L0,Restaurant,01-Sep-20
Holiday Inn Express,575 Richmond Street Chatham ON N7M 5K8,Restaurant,24-Sep-20
Home Run Restaurant,202 Chatham Street S Blenheim ON N0P 1A0,Restaurant,07-Oct-20
"Hub Cafe, The",64 Ursuline Ave Chatham ON N7L 0A8,Restaurant,26-Mar-18
Hungry Man's Restaurant - Acropolis,29 Keil Drive S Chatham ON N7M 3G7,Restaurant,04-Nov-20
J & D Pizza,4 Young St Tilbury ON N0P 2L0,Restaurant,06-Oct-20
Jack's Family Restaurant,27 Chatham Street N Blenheim ON N0P 1A0,Restaurant,13-Nov-20
Jade Garden Restaurant & Tavern,409 McNaughton Ave W Chatham ON N7L 4K4,Restaurant,08-Dec-20
James Street Eatery,504 James St Wallaceburg ON N8A 2N9,Restaurant,24-Sep-20
Johnny Quests Adventures in Food & Drink,62 London Rd Thamesville ON N0P 2K0,Restaurant,11-Dec-20
Julie's Restaurant,9191 Talbot Trail Blenheim ON N0P 1A0,Restaurant,06-Mar-20
Kelsey's,804 Richmond Street Chatham ON N7M 5J5,Restaurant,09-Oct-20
KFC,5 Mill Street W Tilbury ON N0P 2L0,Restaurant,09-Oct-20
KFC,720 Grand Avenue West Chatham ON N7L 1C6,Restaurant,14-Aug-20
Knights Of Columbus Hall,20 Dupuis Street Tilbury ON N0P 2L0,Restaurant,18-Dec-20
Korean Fusion,443 St. Clair St Chatham ON N7L 3K6,Restaurant,02-Dec-20
Kurry Houzz & Grill Inc.,5A-427 St. Clair St. Chatham ON N7L 3K4,Restaurant,25-Aug-20
L A Roadhouse Restaurant,186 Peter Street S Bothwell ON N0P 1C0,Restaurant,03-Dec-20
Library Café,120 Queen St Chatham ON N7M 2G6,Restaurant,12-Feb-20
Lil' Dutchies Pizza,86 London Rd Thamesville ON N0P 2K0,Restaurant,03-Sep-20
Lil Hil's Coffee Shop,13 Talbot Road West Wheatley ON N0P 2P0,Restaurant,11-Sep-20
Loaded 2 Go,203 King St. West Chatham Ontario N7M 1E6,Restaurant,27-Oct-20
Lucky Kitchen Restaurant,81 London Rd Thamesville ON N0P 2K0,Restaurant,11-Dec-20
Lucky Wok,4 Talbot Road EA Wheatley ON N0P 2P0,Restaurant,24-Sep-20
Luigi's Pizza,"78 McNaughton Avenue Wallaceburg, Ontario N8A 1R9",Restaurant,10-Dec-20
Mamma Maria's Ristorante,231 King St W Chatham ON N7M 1E6,Restaurant,24-Nov-20
Maple City Country Club,10845 River Line Chatham ON N7M 5J4,Restaurant,13-Sep-19
McDonald's,50 McNaughton Avenue Wallaceburg ON N8A 1R9,Restaurant,10-Dec-20
McDonald's,881 St Clair St Chatham ON N7M 5J7,Restaurant,03-Dec-20
McDonald's,411 St. Clair Street Chatham ON N7L 3K4,Restaurant,23-Dec-20
McDonald's,710 Richmond St Chatham ON N7M 1P5,Restaurant,16-Dec-20
Midori Sushi,155 Grand Ave W Chatham-Kent ON N7L 1B9,Restaurant,08-Dec-20
Mike's Place,564 Queen Street Chatham ON N7M 2J6,Restaurant,12-Aug-20
MJ's Pizza,19 Erie Street NO Wheatley ON N0P 2P0,Restaurant,15-Dec-20
Molly And O.J.'s Restaurant & Tavern,875 Mariners Road Erieau ON N0P 1N0,Restaurant,17-Dec-20
Moose Lodge #1692,850 Richmond Street Chatham ON N7M 5J5,Restaurant,10-Dec-20
