Facility Name,Site Address,Community,Facility Type,Last Inspection Date,Inspection Result
Kenora Golf and Country Club,1000 Golf Course Rd Kenora ON P9N 3X5 Canada,Kenora,Restaurant,,
Kentucky Fried Chicken - Dryden,400 Government St Dryden ON P8N 2P5 Canada,Dryden,Restaurant,18-Aug-20,
Kentucky Fried Chicken - Kenora,923 Hwy 17 Kenora ON P9N 1L9 Canada,Kenora,Restaurant,,
Kitchen Creek Golf Club,Hwy 11 Fort Frances ON P9A 3M2 Canada,Fort Frances,Restaurant,,
K-Town Kafe,721 1st St S Kenora ON P9N 1E3 Canada,Kenora,Restaurant,23-Nov-20,
La Place Rendezvous,1201 Idylwild Dr Fort Frances ON P9A 3M3 Canada,Fort Frances,Restaurant,07-Dec-20,
Lake of the Woods Brewery,350 Second St S Kenora ON P9N 1G5 Canada,Kenora,Restaurant,23-Jan-20,
Lakeview Restaurant,127 Howey St Red Lake ON P0V 2M0 Canada,Red Lake,Restaurant,,
Lake-Vu Restaurant & Gas Station,740 Lakeview Dr Kenora ON P9N 3P7 Canada,Kenora,Restaurant,,
Lamplighter Motel,326 Hwy 72 Sioux Lookout ON P8T 0A7 Canada,Sioux Lookout,Restaurant,03-Dec-20,
Le Hoa Oriental Restaurant,216 Scott St Fort Frances ON P9A 1G7 Canada,Fort Frances,Restaurant,14-Dec-20,
Little Amik Grill,300 8th St E Fort Frances ON Canada,Fort Frances,Restaurant,,
Little Darlings,115 Main St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Little Falls Recreation Centre,100 Little Falls Rd Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Log Cabin Tavern,201 Rabbit Lake Rd Kenora ON P9N 3W8 Canada,Kenora,Restaurant,,
Log Tavern,1535 Hwy 71 Nestor Falls ON P0W 1K0 Canada,Nestor Falls,Restaurant,,
Lount Lake Lodge,Lount Lake Kenora ON P9N 3X7 Canada,Kenora,Restaurant,,
Luby's 9th Street Confectionary,612 9th St N Kenora ON P9N 2S9 Canada,Kenora,Restaurant,,
Marr's Perch Lake Lodge,Perch Lake Atikokan ON Canada,Unorganized District of Rainy River,Restaurant,,
Masala Restaurant,205 Duke St Dryden ON P8N 1G9 Canada,Dryden,Restaurant,,
McDonald's - Dryden,520 Government St Dryden ON P8N 2P7 Canada,Dryden,Restaurant,,
McDonald's - Dryden Wal-Mart,620 Government St Dryden ON P8N 2Z4 Canada,Dryden,Restaurant,02-Dec-20,
McDonald's - Fort Frances,831 King's Hwy Fort Frances ON P9A 2X5 Canada,Fort Frances,Restaurant,,
McDonald's - Kenora,900 Hwy 17 E Kenora ON P9N 1L9 Canada,Kenora,Restaurant,25-Feb-20,
Mekong Restaurant,289 Scott St Fort Frances ON P9A 1G8 Canada,Fort Frances,Restaurant,14-Dec-20,
Mount Evergreen Ski Club Cafeteria,120 Mt. Evergreen Rd Kenora ON P9N 3W7 Canada,Kenora,Restaurant,,
Mr. Sub - Fort Frances,215 Scott St Fort Frances ON P9A 1G8 Canada,Fort Frances,Restaurant,,
Mulligans Restaurant at Eagles Landing Golf Course,400 Sandy Beach Rd Dryden ON P8N 0A2 Canada,Dryden,Restaurant,,
New Kowloon,A-66 Front St Sioux Lookout ON P8T 1B1 Canada,Sioux Lookout,Restaurant,29-Jan-20,
North Woods Restaurant,Hwy 17 Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
NWHU Test Premise,210 1st St N Kenora ON P9N 2K4 Canada,Kenora,Restaurant,,
Papa Don's Pizza,66 Front St Sioux Lookout ON P8T 1B8 Canada,Sioux Lookout,Restaurant,,
Pape's Diner & Lounge,1230 Spruce St Ear Falls ON P0V 1T0 Canada,Ear Falls,Restaurant,,
Patricia Inn (P.I.),537 Government St Dryden ON P8N 2P6 Canada,Dryden,Restaurant,,
Pelican Lake Sandwich Company,35 Wellington St Sioux Lookout ON P8T 1E3 Canada,Sioux Lookout,Restaurant,05-Nov-20,
Pizza Hut - Dryden,397 Government St Dryden ON P8N 2P4 Canada,Dryden,Restaurant,,
PJ's Pizza,107 Main St E Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,15-Dec-20,
Plaza Restaurant,125 Main St S Kenora ON P9N 1T1 Canada,Kenora,Restaurant,,
Quacker's Diner Inc.,143 Vermilion Bay St. Vermilion Bay ON Canada,Machin,Restaurant,,
Quesada,200 Main St S Kenora ON P9N 1T2 Canada,Kenora,Restaurant,25-Jun-20,
Quetico North,Hwy 11 Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Rebel Cafe,132 Matheson St S Kenora ON P9N 1T8 Canada,Kenora,Restaurant,,
Red Lake Golf and Country Club,1541 Hwy 125 Balmertown ON P0V 1C0 Canada,Red Lake,Restaurant,,
Ristorante Pizzeria Italia - Kenora,230 First St S Kenora ON P9N 1C3 Canada,Kenora,Restaurant,,
Riverview Lodge,148 Earl Ave Dryden ON P8N 1Y1 Canada,Dryden,Restaurant,17-Jul-20,
Robin's Donuts - Atikokan,724 MacKenzie Ave Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Roy Lane,84 1/2 Front St Sioux Lookout ON P8T 1B7 Canada,Sioux Lookout,Restaurant,,
Sapawe Corner Diner,11-406 Hwy 623 Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Silver Dollar Inn & Campground,Hwy 599 Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Sioux Lookout Golf & Curling Club Restaurant,87 3rd Ave Sioux Lookout ON Canada,Sioux Lookout,Restaurant,19-Nov-20,
Sleepy Owl,325 Scott St Fort Frances ON P9A 1H1 Canada,Fort Frances,Restaurant,,
Smith Camps,Branch Road 3 Storm Bay Rd Kenora (Unorganized) ON P9N 3X3 Canada,Kenora,Restaurant,,
Spring Water Restaurant,1266 Hwy 594 Dryden ON P8N 2Y5 Canada,Dryden,Restaurant,16-Jul-20,
Subway - Dryden,460 Government St Dryden ON P8N 2P5 Canada,Dryden,Restaurant,,
Subway - Dryden High School,79 Casimir Ave Dryden ON P8N 2H4 Canada,Dryden,Restaurant,,
Subway - Fort Frances,540 Kings Hwy Fort Frances ON Canada,Fort Frances,Restaurant,,
Subway - Ignace,104 Main St Ignace ON P0T 1T0 Canada,Ignace,Restaurant,04-Nov-20,
Subway - Kenora (Lakeview Drive),621 Lakeview Dr. Kenora ON P9N 3P7 Canada,Kenora,Restaurant,28-Jul-20,
Subway - Kenora (Market Square),312 Second St S Kenora ON P9N 4E4 Canada,Kenora,Restaurant,20-Jan-20,
