Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Warkworth,BAKERY WARKWORTH,,26-Feb-2020,2B MILL ST WARKWORTH ON K0K 3K0
Baltimore,BALTIMORE JOHN'S BAR AND GRILL,,18-Feb-2020,4620 CTY RD 45 COBOURG ON K9A 4J9
Baltimore,BALTIMORE RECREATION CENTRE - FOOD SAFETY,,07-Apr-2020,23 COMMUNITY CENTRE RD BALTIMORE ON K0K 1C0
Baltimore,BALTIMORE RECREATION CENTRE EMERGENCY SHELTER,,16-Jun-2020,23 COMMUNITY CENTRE RD BALTIMORE ON K0K 1C0
Baltimore,BALTIMORE YMCA BEFORE AND AFTER CARE,,,9320 BURWASH RD BALTIMORE ON K0K 1C0
Hastings Village,BANJO'S RESTAURANT,,28-Jul-2020,3 BRIDGE ST S HASTINGS ON K0L 1Y0
Fenelon Falls Village,BAPTIST CHURCH BANQUET HALL,,,100 COLBORNE ST FENELON FALLS ON K0M 1N0
Port Hope Municipality,BAR BURRITO,,10-Dec-2020,181 Toronto Rd Port Hope Ontario
Lindsay,BARB'S HOME BAKING,,,9 CORNEIL ST LINDSAY ON K9V 5T5
Brighton,BARGAIN SHOP,,,41 PRINCE EDWARD ST BRIGHTON ON K0K 1H0
Glamorgan,BARK LAKE LEADERSHIP CENTRE,,30-Jun-2020,1551 BARK LAKE DR IRONDALE ON K0M 1X0
Campbellford,BASEBALL CANTEEN CAMPBELLFORD,,,39 DOXSEE ST N CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,BASIL'S MARKET AND DELI,,10-Mar-2020,276 RIDOUT ST PORT HOPE ON L1A 1P7
Port Hope Municipality,BBC CONVENIENCE,,,99 WALTON ST PORT HOPE ON L1A 1N4
Campbellford,BE MY GUEST,,23-Dec-2020,16 DOXSEE AVE N CAMPBELLFORD ON K0L 1L0
Cobourg,"BEACH CANTEEN, THE",,,55 QUEEN ST COBOURG ON K9A 2T4
Bobcaygeon Village,BEACH FRIES,,,45 PARK ST BOBCAYGEON ON K0M 1A0
Port Hope Municipality,BEAMISH HOUSE,,16-Jun-2020,27 JOHN ST PORT HOPE ON L1A 2Z3
Port Hope Municipality,BEATRICE STRONG ELEMENTARY SCHOOL,,25-Feb-2020,90 ROSE GLEN RD PORT HOPE ON L1A 3V6
Port Hope Municipality,BEATRICE STRONG YMCA CHILDCARE,,28-Feb-2020,90 ROSE GLEN RD PORT HOPE ON L1A 3V6
Emily,BEAVER NARROWS COTTAGE & RV RESORT,,,433 BEAVER RD PO BOX 60 OMEMEE ON K0L 2W0
Emily,BEAVER NARROWS COTTAGE & RV RESORT,,,433 BEAVER RD PO BOX 60 OMEMEE ON K0L 2W0
Minden,BEAVERBROOK GOLF COURSE,,20-Aug-2020,111 GOLF COURSE RD MINDEN ON K0M 2K0
Campbellford,BEEHIVE - HILLCREST SITE BEFORE AND AFTER CARE,,,55 ELMORE ST CAMPBELLFORD ON K0L 1L0
Campbellford,BEEHIVE CHILDREN'S CENTRE,,,35 CENTRE ST CAMPBELLFORD ON K0L 1L0
Mariposa Township,BEN'S KETTLE CORN,,15-May-2020,252 WASHBURN ISLAND RD LITTLE BRITAIN ON K0M 2C0
Bethany,BETHANY ATHLETIC SOCIETY,,,1 WILSON ST BETHANY ON L0A 1A0
Bethany,BETHANY GENERAL STORE,,16-Jun-2020,1473 HWY 7 BETHANY ON L0A 1A0
Manvers Township,BETHANY/PONTYPOOL FOOD BANK,,20-May-2020,3 GEORGE ST BETHANY ON L0A 1A0
Cobourg,BETTY'S PIES AND TARTS,,01-Jun-2020,7380 COUNTY RD 2 COBOURG ON K9A 4J7
Fenelon Falls Village,BETWEEN 2 LAKES,,,8 WATER ST FENELON FALLS ON
Colborne,BEVERAGE HORSE TRAILER,,,139 SPRING ST COLBORNE ON K0K 1S0
Bewdley,BEWDLEY COMMUNITY CENTRE,,07-Apr-2020,7060 LAKE ST BEWDLEY ON K0L 1E0
Bewdley,BEWDLEY COMMUNITY CENTRE,,17-Sep-2020,7060 LAKE ST BEWDLEY ON K0L 1E0
Campbellcroft,BEWDLEY DISTRICT LIONS CLUB,,,8339 GILMOUR DR CAMPBELLCROFT ON L0A 1B0
Bewdley,BEWDLEY PIZZA,,17-Apr-2020,5070 RICE LAKE DR BEWDLEY ON K0L 1E0
Kirkfield,BEXLEY GOLF CENTRE,,,2045 CTY RD 48 KIRKFIELD ON K0M 2B0
Lindsay,BIDDY'S BURGER BARN,,,435 COUNTY RD 36 LINDSAY ON K9V 5J1
Colborne,"BIG APPLE, THE",,30-Sep-2020,262 ORCHARD DR COLBORNE ON K0K 1S0
Colborne,"BIG APPLE, THE - BEAVER TAILS",,18-Jun-2020,262 ORCHARD DR COLBORNE ON K0K 1S0
Cobourg,BIG BOYS BURGERS,,09-Mar-2020,743 WILLIAM ST COBOURG ON K9A 3A7
Little Britain,BIG BOYZ PIZZA AND ELDON ROAD PUB,,29-Jan-2021,412 ELDON RD LITTLE BRITAIN ON K0M 2C0
Minden,"BIG DOG SAUSAGE COMPANY, THE",,,92 WATER ST MINDEN ON K0M 2K0
Stanhope Township,BIG HAWK MARINA,,,1673 BIG HAWK LAKE RD ALGONQUIN HIGHLANDS ON K0M 1J2
