Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Port Hope Municipality,CHAKRA ORGANICS,,13-May-2020,32 MARGARET ST PORT HOPE ON
Port Hope Municipality,CHARTWELLS FOOD SERVICE PORT HOPE HIGH SCHOOL,,01-Apr-2020,130 HIGHLAND DR PORT HOPE ON L1A 2A3
Bobcaygeon Village,CHE FIGATA,,20-Nov-2020,53 BOLTON STREET BOBCAYGEON ON K0M1AO
Alderville First Nations,CHEER FARMS MARKET,,12-Jun-2020,365 MAIN ST BRIGHTON ON K0K 1H0
Gooderham,CHEONGS,,15-Jun-2020,1008 GOODERHAM ST GOODERHAM ON K0M 1R0
Campbellford,CHICKEN KINGDOM AND SEAFOOD,,,11 DOXSEE AVE S CAMPBELLFORD ON K0L 1L0
Emily,CHILDREN'S CENTRE DOWNEYVILLE,,14-Sep-2020,335 ST LUKE'S RD DOWNEYVILLE ON K0L 2W0
Brighton,CHINA KING RESTAURANT,,27-Apr-2020,10 ALICE ST BRIGHTON ON K0K 1H0
Campbellford,CHRIST CHURCH ANGLICAN,,,154 KENT ST CAMPBELLFORD ON K0L 1L0
Campbellford,CHUBBY'S CHEDDAR HOUSE,,,2830 COUNTY RD 8 CAMPBELLFORD ON K0L 1L0
Lindsay,CIRCLE K,,,170 KING ST LINDSAY ON K9V 1E7
Campbellford,CIRCLE K,,27-Apr-2020,76 BRIDGE ST E CAMPBELLFORD ON K0L 1L0
Omemee Village,CIRCLE K,,,10 KING ST E OMEMEE ON K0L 2W0
Lindsay,CIRCLE K,,,87 LINDSAY ST S LINDSAY ON K9V 2M4
Cobourg,CIRCLE K,,,1011 DIVISION ST COBOURG ON K9A 4J9
Colborne,CIRCLE K - CONVENIENCE STORE,,,48 KING ST COLBORNE ON K0K 1S0
Cobourg,CJ'S TAP AND GRILL,,09-Mar-2020,1 STRATHY RD COBOURG ON K9A 5J7
Cobourg,CLARK'S DALE ROAD VARIETY,,21-Apr-2020,8404 DALE RD COBOURG ON K9A 4J7
Lindsay,"CLUBHOUSE RESTAURANT, THE",,25-Jan-2021,153 KENT ST LINDSAY ON K9V 2Y6
Lindsay,COACH & HORSES,,29-Jan-2021,16 YORK ST LINDSAY ON K9V 3A2
Bethany,COACH'S DINER AND PIZZERIA,,12-Jun-2020,1451 HWY 7A BETHANY ON L0A 1A0
Bexley Township,COBOCONK COMMUNITY CENTRE,,09-Dec-2020,9 GRANDY RD COBOCONK ON K0M 1K0
Coboconk,COBOCONK GO-KARTS,,24-Jun-2020,6923 HWY 35 COBOCONK ON K0M 1K0
Bexley Township,"COBOCONK GO-KARTS MOBILE VENDING VEHICLE (ICE CREAM, CHOCOLATES AND SWEETS)",,,6923 HWY 35 COBOCONK ON K0M 1K0
Cobourg,COBOURG COLLEGIATE INSTITUTE,,01-Apr-2020,335 KING ST E COBOURG ON K9A 1M2
Cobourg,COBOURG COLLEGIATE INSTITUTE,,,335 KING ST E COBOURG ON K9A 1M2
Cobourg,COBOURG COMMUNITY CENTRE - CANTEENS,,,750 D'ARCY ST COBOURG ON K9A 0G1
Cobourg,COBOURG COMMUNITY CENTRE - GROUP KITCHEN,,,750 D'ARCY ST COBOURG ON K9A 0G1
Cobourg,COBOURG DAY CARE,,,325 ALEXANDRIA DR COBOURG ON K9A 5B2
Grafton,COBOURG EAST CAMPGROUND,,23-Sep-2020,253 BENLOCK RD GRAFTON ON K0K 2G0
Cobourg,COBOURG HEALTH SHOPPE,,,76 KING ST W COBOURG ON K9A 2M3
Cobourg,COBOURG HOMEMADE FOOD,,,57 BAYVIEW CRT COBOURG ON K9A 2M4
Cobourg,COBOURG RETIREMENT RESIDE,,,310 DIVISION ST COBOURG ON K9A 3R3
Cobourg,COBOURG SHELL,,,1154 DIVISION ST COBOURG ON K9A 5Y5
Cobourg,COBOURG YACHT CLUB,,,100 HIBERNIA ST COBOURG ON K9A 3R3
Cobourg,COBOURG'S COFFEE HOUSE,,,80 KING ST W COBOURG ON K9A 2M3
Gore’s Landing,CODEMAN'S FRIES,,20-Apr-2020,RR 1 GORES LANDING ON K0K 2E0
Brighton,CODRINGTON COMMUNITY CENTRE,,,2992 CTY RD 30 BRIGHTON ON K0K 1H0
Alderville First Nations,"COFFEE HOUSE, THE",,,114 PURDY RD COLBORNE ON K0K 1S0
Emily,COFFEE TIME,,10-Feb-2021,566 FRANK HILL RD PETERBOROUGH ON K9J 6X3
Ops Township,COFFEE TIME,,,2933 HWY 35 S LINDSAY ON K9V 4R4
Colborne,COLBORNE CURLING CLUB,,,8 DURHAM ST N COLBORNE ON K0K 1S0
Colborne,COLBORNE PUBLIC SCHOOL,,04-Mar-2020,8 ALFRED ST COLBORNE ON K0K 1S0
Cobourg,COLD SPRINGS MEMORIAL HALL,,,3844 BURNHAM ST N COBOURG ON K9A 4W5
Cobourg,COLUMBUS COMMUNITY CENTER,,,232 SPENCER ST E COBOURG ON K9A 3R3
Cobourg,COMFORT INN - COBOURG,,,121 DENSMORE RD COBOURG ON K9A 4J9
Port Hope Municipality,COMFORT INN - PORT HOPE,,,464 HWY 401 & 28 EXIT PORT HOPE ON L1A 3V9
Lindsay,COMMUNITY CARE VILLAGE HOUSING KAWARTHA LAKES INC.,,,65 MELBOURNE ST W LINDSAY ON K9V 0G4
Port Hope Municipality,COMMUNITY HEALTH CENTRE OF NORTHUMBERLAND,,,99 TORONTO RD PORT HOPE ON L1A 3S4
Lindsay,COMMUNITY LIVING TRENT HIGHLANDS,,19-Nov-2020,205 MCLAUGHLIN RD LINDSAY ON K9V 0K7
Bewdley,COMMUNITY WORKS,,17-Sep-2020,7147 LAKE ST BEWDLEY ON K0L 1E0
Minden,COMPASS CARE HOME CARE,,14-Dec-2020,17 ORDE ST MINDEN ON K0M 2K0
Bolsover,COMPASS CARE HOME CARE - ANGELA SHEPPARD,,17-Dec-2020,11 HAWK ST BOSOLVER ON K0M 2T0
Omemee Village,COMPASS CARE HOME CARE - ASHLEY PRENTICE,,11-Dec-2020,123 COTTINGHAM RD OMEMEE ON K0L 2W0
Lindsay,COMPASS CARE HOME CARE - BETHANY HARTIN,,,105 LINDSAY ST S LINDSAY ON K9V 2M5
Pontypool,COMPASS CARE HOME CARE - ELAINE WHITE,,,6 HOMESTEAD RD PONTYPOOL ON L0A LK0
Manvers Township,COMPASS CARE HOME CARE - HAILEY SMITH,,16-Dec-2020,649 TELCOM RD PONTYPOOL ON L0A 1K0
Little Britain,COMPASS CARE HOME CARE - JACQUI SHADDOCK,,,85 BALL POINT RD LITTLE BRITAIN ON K0M 2C0
Lindsay,COMPASS CARE HOME CARE - KELSEY QUIRION - KELSEY QUIRION,,,7 BEVERLY ST LINDSAY ON K9V 4Y8
Lindsay,COMPASS CARE HOME CARE - KIM BLACKBURN,,,42 MARYKNOLL AVE LINDSAY ON K9V 1A8
Lindsay,COMPASS CARE HOME CARE - LOUISE CRAIG,,,146 KING ST LINDSAY ON K9V 1E5
Lindsay,COMPASS CARE HOME CARE - NICOLE THOMAS,,18-Dec-2020,26 LOGAN LANE LINDSAY ON K9V 0L3
Lindsay,COMPASS CARE HOME CARE - ROSEMARY MIDDLETON,,27-May-2020,47 RIVERVIEW RD LINDSAY ON K9V 1B2
Lindsay,COMPASS CARE HOME CARE - SAMANTHA MACARTHUR,,,103 LINDSAY ST S LINDSAY ON K9V 2M5
Lindsay,COMPASS CARE HOME CARE - SHELLEY GRAINGER,,,66 COOK ST LINDSAY ON K9V 0A7
Lindsay,COMPASS CARE HOME CARE- ESTHER COPELAND - ESTHER COPELAND,,27-May-2020,72 COLBORNE ST W LINDSAY ON K9V 3S9
Ops Township,COMPASS CARE HOME CARE-LAUREN BELL,,15-Dec-2020,1513 HEIGHTS RD LINDSAY ON K9V 4R3
Lindsay,COMPASS EARLY LEARNING & CARE,,,133 ADELAIDE ST N LINDSAY ON K9V 3M4
Ops Township,COMPASS EARLY LEARNING & CARE,,,24 WELDON RD LINDSAY ON K9V 4R6
Lindsay,COMPASS EARLY LEARNING & CARE - LINDSAY,,27-Apr-2020,320 MARY ST W LINDSAY ON K9V 5X5
Minden,COMPASS EARLY LEARNING & CARE - MINDEN,,17-Mar-2020,16 PRENTCIE ST MINDEN ON K0M 2K0
Bethany,COMPASS EARLY LEARNING & CARE - ROLLING HILLS,,13-Jan-2021,694 HWY 7A BETHANY ON L0A 1A0
Woodville,COMPASS EARLY LEARNING & CARE-WOODVILLE PUBLIC SCHOOL,,,109 NAPPADALE ST WOODVILLE ON K0M 2T0
Omemee Village,COMPASS EARLY LEARNING AND CARE CENTRE - LINDSAY NEALE,,09-Apr-2020,4744 HWY 7 OMEMEE ON
Lindsay,COMPASS EARLY LEARNING AND CARE-LESLIE FROST PUBLIC SCHOOL,,,51 ANGELINE ST S LINDSAY ON K9V 3L1
Woodville,COMPASS EARLY LEARNING CENTRE,,,206-109 NAPPADALE ST WOODVILLE ON K0M 2T0
Cobourg,COMPASS ELC COBOURG,,,1333 ONTARIO ST N COBOURG ON K9A 4J7
Minden,CONEYBEARE'S BUTCHER SHOP,,13-Jan-2021,10 MILNE ST MINDEN ON K0M 2K0
Cobourg,CONVENIENCE K,,22-Apr-2020,396 WILLIAM ST COBOURG ON K9A 2B6
Havelock Township,"COOKHOUSE, THE",,12-Nov-2020,1095 REDKEN DR HALIBURTON ON K0M 1S0
Havelock Township,"COOKHOUSE, THE",,,1095 REDKEN DR HALIBURTON ON K0M 1S0
Cobourg,COOKS HOME CARE - DIANE MANION,,03-Nov-2020,2-199 SUTHERLAND CRES COBOURG ON K9A 5L9
Port Hope Municipality,COOKS HOME CARE - MARIA JIMENEZ,,21-Oct-2020,70 GREENAWAY CIR PORT HOPE ON L1A 0B9
Dysart Township,COOL LICKS,,19-Aug-2020,203 HIGHLAND ST HALIBURTON ON K0M 1S0
Cobourg,CORFU GRILL,,28-Oct-2020,8 KING ST E COBOURG ON K9A 1K7
Mariposa Township,CORNEIL'S AUCTIONEERING SERVICES,,,1231 SALEM RD LITTLE BRITAIN ON K0M 2C0
Lindsay,CORNER BITES EATERY,,20-Nov-2020,169 KENT ST W LINDSAY ON K9V 2Y7
Pontypool,CORNER CONVENIENCE STORE AND GAS,,15-Jun-2020,232 JOHN ST PONTYPOOL ON L0A 1K0
Fenelon Falls Village,CORNER FISH AND CHIPS AND GRILL,,29-Dec-2020,558 COUNTY RD 8 FENELON FALLS ON
Omemee Village,CORONATION HALL,,,1 KING ST W OMEMEE ON K0L 2W0
Guilford Township,COTTAGE COUNTRY LOG CABIN TRADING COMPANY LIMITED,,,1141 KENNISIS LAKE RD WEST GUILFORD ON K0M 2S0
Stanhope Township,COUNTRY BAKERY,,22-Jul-2020,9996 HWY 118 ALGONQUIN HIGHLANDS ON K0M 1J0
Ops Township,COUNTRY ESTATES,,17-Aug-2020,512 THUNDERBRIDGE RD LINDSAY ON K9V 4R1
Dysart Township,COUNTRY KITCHEN BULK FOOD,,,30 YORK ST HALIBURTON ON K0M 1S0
Bobcaygeon Village,COUNTRY STYLE,,,232 MAIN ST BOBCAYGEON ON K0M 1A0
Manilla,COUNTRY STYLE,,07-Dec-2020,3 Hwy 7 Manilla ON
Ops Township,COUNTRY STYLE,,,306 HWY 36 LINDSAY ON K9V 4R6
Kinmount,COUNTRY STYLE,,,4088 CTY RD 121 KINMOUNT ON K0M 2A0
Pontypool,COUNTRY STYLE DELI BISTRO,,15-Jun-2020,232 JOHN ST PONTYPOOL ON L0A 1K0
Cobourg,"COUNTY HEAVEN PUB AND GRILL, THE",,22-Oct-2020,426 KING STREET EAST COBOURG ON K9A 1M3
Grafton,COUNTY ROAD CAFE,,30-Mar-2020,1092 COUNTY RD 22 GRAFTON ON K0K 2G0
Port Hope Municipality,COURTNEY'S DISTRIBUTING,,11-Jun-2020,1941 5TH LINE PORT HOPE ON L1A 3V5
Fenelon Falls Village,COW AND SOW EATERY,,09-Jun-2020,38 COLBORNE ST FENELON FALLS ON K0M 1N0
Port Hope Municipality,CPK INTERIOR PRODUCTS - VENDING MACHINE,,,128 PETER ST PORT HOPE ON L1A 3W4
Cobourg,CRAFT FOOD HOUSE,,,201 DIVISION ST COBOURG ON K9A 3P6
Colborne,CRAMAHE RESTAURANT,,,28 KING ST E COLBORNE ON K0K 1S0
Port Hope Municipality,CRAWFORD'S LAKEVIEW CAFE,,05-Mar-2020,125 MILL ST S PORT HOPE ON L1A 2S8
Manilla,CRESTWOOD GOLF CLUB,,,27 LITTLE BRITAIN RD MANILLA ON K0M 2J0
Brighton,CRISTA'S RAILSIDE FRIES,,06-Jul-2020,62 ONTARIO ST BRIGHTON ON K0K 1H0
Fenelon Township,CRUSTY PIZZA,,,73 LINDSAY ST FENELON FALLS ON K0M 1N0
Hastings Village,C-STORE - HASTINGS,,,30 BRIDGE ST N HASTINGS ON K0L 1Y0
Cobourg,CUCINA URBANA,,26-Aug-2020,201-165 DIVISION ST COBOURG ON K9A 0B3
Lindsay,CUPCAKE CREATIONS BY ANN,,,24 MAGUIRE ST LINDSAY ON K9V 0L6
Fenelon Township,CURIOUS BEAR MARKET PLACE,,,5584 HWY 35 FENELON FALLS ON
Roseneath,CURTIS POINT COTTAGES STORE,,21-Aug-2020,6099 CURTIS POINT RD ROSENEATH ON K0K 2X0
Cobourg,DAIRY DREAM,,,66 KING ST E COBOURG ON K9A 1K9
Cobourg,DAIRY QUEEN,,04-Sep-2020,950 DIVISION ST COBOURG ON K9A 5J5
Minden,DAIRY QUEEN,,16-Sep-2020,4 BOBCAYGEON RD MINDEN ON K0M 2K0
Lindsay,DAIRY QUEEN,,23-Nov-2020,176 LINDSAY ST S LINDSAY ON K9V 2N1
Bobcaygeon Village,DAISY MART - BOBCAYGEON,,,67 MAIN ST BOBCAYGEON ON K0M 1A0
Fenelon Falls Village,DAISY MART - FENELON FALLS,,,49 COLBORNE ST FENELON FALLS ON K0M 1N0
Pontypool,DAISY MART - PONTYPOOL,,,6 HWY 35 S PONTYPOOL ON L0A 1K0
Dysart Township,DAISYS DOCKSIDE PATIO,,12-Aug-2020,2713 KASHAWIGAMOG LAKE RD HALIBURTON ON K0M 1S0
Cobourg,DALEWOOD GOLF CLUB,,17-Jun-2020,7465 DALE RD COBOURG ON K9A 4J7
Dalton Township,DALTON COMMUNITY CENTRE,,,13 RUMOHR DR SEBRIGHT ON L0K 1W0
Stanhope Township,DAN'S DELICIOUS DELIGHTS,,,1168 AIRPORT RD ALGONQUIN HIGHLANDS ON K0M 1J1
Cobourg,DAVID'S NO FRILLS,,,500 DIVISION ST COBOURG ON K9A 3S4
Lindsay,DAVIDSON'S CONVENIENCE,,,315 WILLIAM ST N LINDSAY ON K9V 6A6
Port Hope Municipality,DAVIS YOUR INDEPENDENT GROCER,,,20 JOCEYLYN ST PORT HOPE ON L1A 3V5
Cobourg,DAYBREAK,,03-Mar-2020,2-73 STRATHY RD COBOURG ON K9A 5W8
Bobcaygeon Village,DAYLIGHT DINER,,05-Nov-2020,80 BOLTON STREET BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,DAYLIGHT DINER,,,80 BOLTON STREET BOBCAYGEON ON K0M1AO
Lindsay,DAYS INN AND SUITES,,,134 ANGELINE ST S LINDSAY ON K9V 0A7
Little Britain,DEER RUN GOLF COURSE IN THE KAWARTHAS,,,10 BROOK ST LITTLE BRITAIN ON K0M 2C0
Fenelon Township,DELIGHTFUL TEMPTATIONS,,,798 COUNTY RD 121 FENELON FALLS ON K0M 1N0
Mariposa Township,DIANE'S COUNTRY COOKING & CATERING,,,1450 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Cobourg,DIMITRI'S RESTAURANT & NIKO'S PATIO,,,4-609 WILLIAM ST COBOURG ON K9A 4K8
Campbellford,DINO'S PIZZA FACTORY,,,40 FRONT ST N CAMPBELLFORD ON K0L 1L0
Coboconk,DOCKSIDE RESTAURANT BAR AND GRILL,,18-Mar-2020,11 ALBERT ST COBOCONK ON K0M 1K0
Port Hope Municipality,DOG EXPRESS,,,177 TORONTO RD PORT HOPE ON L1A 3V5
Cobourg,"DOLLAR TREE, THE",,,G2-66 STRATHY RD COBOURG ON K9A 5J7
Cobourg,DOLLARAMA,,,3-1111 ELGIN ST W COBOURG ON K9A 5H7
Port Hope Municipality,DOLLARAMA - PORT HOPE,,10-Sep-2020,135 PETER ST PORT HOPE ON L1A 1C5
Minden,DOLLOS FOODLAND,,15-Sep-2020,12325 HWY 35 MINDEN ON K0M 2K0
Minden,DOMINION HOTEL INC,,16-Mar-2020,113 BOBCAYGEON RD MINDEN ON K0M 2K0
Cobourg,DOMINO'S PIZZA,,26-Mar-2020,3-2 STRATHY RD COBOURG ON K9A 4J7
Lindsay,DOMINO'S PIZZA - LINDSAY,,06-Jan-2021,F6-449 KENT ST W LINDSAY ON K9V 2Z9
Bobcaygeon Village,DONATTELA,,,83 BOLTON ST BOBCAYGEON ON K0M 1A0
Campbellford,DOOHER'S BAKERY,,,61 BRIDGE ST E CAMPBELLFORD ON K0L 1L0
Sherborne Township,DORSET RECREATION CENTRE,,20-Aug-2020,1051 MAIN ST DORSET ON P0A 1E0
Ops Township,DOUBLE M TRAILER PARK,,,101 RIDGEWOOD RD LINDSAY ON K9V 4R2
Emily,DOWNEYVILLE COUNTRY STORE,,,857 STURGEON RD DOWNEYVILLE ON K9V 4R5
Little Britain,DR GEORGE HALL DAY CARE,,11-Jan-2021,374 ELDON RD LITTLE BRITAIN ON K0M 2C0
Little Britain,DR GEORGE HALL PUBLIC SCHOOL,,,374 ELDON RD LITTLE BRITAIN ON K0M 2C0
Port Hope Municipality,DREAMER'S CAFE,,18-Feb-2020,2 QUEEN ST PORT HOPE ON L1A 2Y7
Verulam,DUNSFORD COMMUNITY CENTRE,,,26 COMMUNITY CENTRE RD DUNSFORD ON K0M 1L0
Verulam,DUNSFORD DISTRICT ELEMENTARY SCHOOL,,,33 DUNSFORD RD DUNSFORD ON K0M 1L0
Verulam,DUNSFORD FOOD BANK,,,1981 STURGEON RD DUNSFORD ON K0M 1L0
Verulam,DUNSFORD GOLF & COUNTRY CLUB INC.,,,337 SCOTCH LINE RD DUNSFORD ON K0M 1L0
Verulam,DUNSFORD ULTRAMAR,,,1706 CTY RD 36 DUNSFORD ON K0M 1L0
Lindsay,DURHAM CAFE,,09-Dec-2020,102 WILLIAM ST S LINDSAY ON K9V 3B1
Cobourg,DUTCH OVEN BAKERY AND RESTAURANT,,,7 KING ST W COBOURG ON K9A 2L8
Port Hope Municipality,EAGLE GAS BAR CONVENIENCE,,,102 PETER ST PORT HOPE ON L1A 1C3
Guilford Township,EAGLE LAKE COUNTRY MARKET,,16-Apr-2020,2622 EAGLE LAKE RD EAGLE LAKE ON K0M 1M0
Brighton,EAST NORTHUMBERLAND SECONDARY SCHOOL,,,71 DUNDAS ST BRIGHTON ON K0K 1H0
Brighton,EAST NORTHUMBERLAND SECONDARY SCHOOL,,01-Apr-2020,71 DUNDAS ST BRIGHTON ON K0K 1H0
Brighton,EAST NORTHUMBERLAND SECONDARY SCHOOL,,,71 DUNDAS ST BRIGHTON ON K0K 1H0
Cobourg,EAST SIDE MARIO'S,,24-Jun-2020,75 STRATHY RD COBOURG ON K9A 5W8
Woodville,EDEN'S SWEETS AND SUMMER TREATS,,14-Aug-2020,1401 GLENARM RD WOODVILLE ON K0M 2T0
Minden,EDILICIOUS,,23-Apr-2020,1110 SEDGWICK RD MINDEN ON K0M 2K0
Verulam,"EGANRIDGE RESORT, COUNTRY CLUB & SPA",,03-Nov-2020,26 COUNTRY CLUB DR FENELON FALLS ON K0M 1N0
Lindsay,EGGSMART,,19-Oct-2020,321 KENT ST W LINDSAY ON K9V 2Z7
Bobcaygeon Village,EGGSMART,,,40 BOLTON ST BOBCAYGEON ON K0M 1A0
Cobourg,EL CAMINO,,,74 KING ST W COBOURG ON K9A 2M3
Port Hope Municipality,ELECTRIC JUICE FACTORY,,15-Jun-2020,106 WALTON ST PORT HOPE ON L1A 1N3
Cobourg,ELGIN VARIETY,,05-Jan-2021,336 ELGIN ST E COBOURG ON K9A 1A3
Emily,EMILY PIT STOP,,,682 EMILY PARK RD OMEMEE ON K0L 2W0
Emily,EMILY PROVINCIAL PARK,,,797 CTY RD 10 OMEMEE ON K0L 2W0
Campbellford,EMPIRE CHEESE FACTORY,,,1120 CTY RD 8 CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,EMPIRE CROSSING RETIREMENT SUITES,,27-Feb-2020,224 WARD ST PORT HOPE ON L1A 3V6
Brighton,END OF THE THREAD,,,13-15 MAIN ST BRIGHTON ON K0K 1H0
Port Hope Municipality,ESSO,,,46-TORONTO RD PORT HOPE ON ON
Hastings Village,ESSO - COUNTRY STYLE DONUTS,,,91 BRIDGE ST S HASTINGS ON K0L 1Y0
Hastings Village,ESSO - HASTINGS - SQUARE BOY PIZZA,,,91 BRIDGE ST HASTINGS ON K0L 1Y0
Port Hope Municipality,ESSO - PORT HOPE,,,2211 CTY RD 28 PORT HOPE ON L1A 3Z3
Port Hope Municipality,ESSO - PORT HOPE - COUNTRY STYLE,,,46 TORONTO RD PORT HOPE ON L1A 3R7
Port Hope Municipality,ESSO - PORT HOPE - SQUARE BOY PIZZA,,,46 TORONTO RD PORT HOPE ON L1A 3R7
Hastings Village,ESSO - STORE,,,91 BRIDGE ST S HASTINGS ON K0L 1Y0
Bobcaygeon Village,ESSO BOBCAYGEON,,,168 EAST ST S BOBCAYGEON ON K0M 1A0
Campbellford,ESSO CONVENIENCE,,,21 QUEEN ST CAMPBELLFORD ON K0M 1L0
Cramahe Township,ESSO CONVIENCE,,,109 KING ST E COLBORNE ON K0K 1S0
Fenelon Township,ESSO GAS STATION,,,5645 HWY 35 FENELON FALLS ON K0M 1N0
Campbellford,EURKWOODS,,,33 FRONT ST N CAMPBELLFORD ON K0L 1L0
Lindsay,EURO DELIGHT,,28-Feb-2020,30-370 KENT ST W LINDSAY ON K9V 6G8
Kirkfield,EWEN'S GROCERY,,,1028 PORTAGE RD KIRKFIELD ON K0M 2B0
Cobourg,EXTENDICARE,,,130 DENSMORE RD COBOURG ON K9A 5W2
Lindsay,EXTENDICARE CKL LONG TERM CARE,,03-Mar-2020,125 COLBORNE ST E LINDSAY ON K9V 6J2
Dysart Township,EXTENDICARE HALIBURTON,,08-Oct-2020,167 PARK ST HALIBURTON ON K0M 1S0
Port Hope Municipality,EXTENDICARE PORT HOPE,,19-Feb-2020,360 CROFT ST PORT HOPE ON L1A 4K8
Lindsay,EXTREME PITA,,24-Nov-2020,401 KENT ST W LINDSAY ON K9V 4Z1
Brighton,FARE SHARE FOOD BANK,,,A-39 ELIZABETH ST BRIGHTON ON K0K 1H0
Cobourg,FARE SHARE FOOD BANK,,04-Mar-2020,"700 D'ARCEY, Building 19 COBOURG ON K9A 1A1"
Mariposa Township,FARM GATE CUSTOMER MEAT,,29-Jan-2021,775 CRESSWELL RD LITTLE BRITAIN ON K0M 2C0
Lindsay,FARMER'S BUTCHER SHOP,,03-Nov-2020,301-3 COMMERCE PL LINDSAY ON
Lindsay,FAT BASTARD BURRITO,,29-Oct-2020,3-351 KENT ST W LINDSAY ON K9V 2Z7
Emily,FATHER WALSH SERVICE CLUB,,,340 ST LUKE'S RD LINDSAY ON K9V 4R5
Cobourg,FELLOWSHIP BAPTIST CHURCH,,02-Oct-2020,469 Elgin St W Cobourg ON K9A 4X5
Roseneath,FENELLA COMMUNITY HALL,,,8071 HWY 45 ROSENEATH ON K0K 2X0
Fenelon Falls Village,FENELON COURT,,02-Nov-2020,44 WYCHWOOD CRES FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON DISCOUNT CONVENIENCE STORE,,,28 COLBOURNE ST FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS BREWING COMPANY,,21-Feb-2020,4 MAY ST FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS COMMUNITY CENTRE,,,27 VETERANS WAY FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS CURLING CLUB,,,41 BOND ST W FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS FAIRGROUNDS,,,27 VETERAN'S WAY FENELON FALLS ON K0M 1N0
Fenelon Township,FENELON FALLS SECONDARY SCHOOL,,,66 LINDSAY ST FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS SECONDARY SCHOOL - CAFETERIA,,,66 LINDSAY ST FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FALLS UNITED CHURCH BANQUET HALL,,,123 COLBORNE ST FENELON FALLS ON K0M 1N0
Fenelon Falls Village,FENELON FOOD BANK,,05-May-2020,42 BOND ST W FENELON FALLS ON K0M 1N0
Fenelon Township,FENELON TOWNSHIP PUBLIC SCHOOL,,,50 CAMERON RD CAMERON ON K0M 1G0
Fenelon Falls Village,FENELON-LANGTON CHILD CARE,,08-Jan-2021,35 WYCHWOOD CRES FENELON FALLS ON K0M 1N0
Verulam,FERGIE'S FRIES,,19-May-2020,3295 CTY RD 36 BOBCAYGEON ON K0M 1A0
Lindsay,FIDDLER'S GREEN,,,34 LINDSAY ST S LINDSAY ON K9V 2L7
Alnwick Township,FIREBALL FRIES,,19-Aug-2020,8833 HWY 45 ROSENEATH ON K0K2X0
Pontypool,FIRST PLACE FRIES,,03-Apr-2020,6 HWY 35 PONTYPOOL ON L0A 1K0
Fenelon Township,FISH AND REST,,07-Aug-2020,83 LAIRD DR LINDSAY ON K9V 4R6
Dorset,"FISH SHACK, THE",,05-Jun-2020,1099 MAIN ST DORSET ON P0A 1E0
Campbellford,FISHERMAN'S PARADISE,,,1571 13TH LINE MARMORA ON K0M 2M0
Cobourg,FISHER'S FOODLAND,,01-Oct-2020,990 DIVISION ST COBOURG ON K9A 5J5
Port Hope Municipality,FIVE STAR CHINESE,,,3-181 TORONTO RD PORT HOPE ON L1A 3V5
Cobourg,FIVE STAR CHINESE,,24-Sep-2020,500 DIVISON ST COBOURG ON K9A 3R3
Brighton,FLYING FISH/ZACKS DINER,,,46 PRINCE EDWARD ST BRIGHTON ON K0K 1H0
Cobourg,FOOD 4 ALL NORTHUMBERLAND /NORTHUMBERLAND COUNTY,,,600 WILLIAM ST COBOURG ON K9A 3A5
Lindsay,FOOD 4 LESS,,,62 RIVERVIEW LINDSAY ON K9V 1B4
Port Hope Municipality,FOOD BASICS,,13-Mar-2020,125 PETER ST S PORT HOPE ON L1A 4C2
Lindsay,FOOD BASICS,,04-Dec-2020,363 KENT ST W LINDSAY ON K9V 2Z7
Port Hope Municipality,FOOD INSPIRED,,31-Mar-2020,33 WALTON ST. PORT HOPE ON L1A 1M8
Bexley Township,FOODLAND - COBOCONK,,02-Apr-2020,6708 HWY 35 COBOCONK ON K0M 1K0
Colborne,FOODLAND - COLBORNE,,04-Mar-2020,25 TORONTO RD COLBORNE ON K0K 1S0
Little Britain,FOODLAND - LITTLE BRITAIN,,10-Feb-2021,1043 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Omemee Village,FOODLAND - OMEMEE,,10-Feb-2021,31 KING ST E OMEMEE ON K0L 2W0
Bobcaygeon Village,FOODLAND BOBCAYGEON,,08-May-2020,62 BOLTON ST BOBCAYGEON ON K0M 1A0
Cobourg,FOR HEAVEN'S SAKE,,27-Jul-2020,18 KING ST E COBOURG ON K9A 1K7
Campbellford,FORREST DENNIS SENIOR CENTRE,,,55 GRAND RD CAMPBELLFORD ON K0L 1L0
Harburn Township,FORT IRWIN MARINA,,,5002 HALIBURTON LAKE RD HALIBURTON ON K0M 1S0
Harburn Township,FORT IRWIN RESIDENT'S ASSOCIATION,,,5821 HALIBURTON LAKE RD HALIBURTON ON K0M 1S0
