Facility Name,Site Address,Last Inspection Date
Firehouse Subs,3-387 Norwich Ave Woodstock ON N4S 3W4,12/09/2020
Flippin Mikes - Tillsonburg,118 Broadway St. Tillsonburg ON N4G 3P5,12/11/2020
"Fritter Shop, The",779 Talbot St St Thomas ON N5P 1E3,
Fritzie's,881 Dundas St Woodstock ON N4S 1G9,
Fritzie's,32 Perry St Woodstock ON N4S 3C3,
Fu Lok,696 Dundas St Woodstock ON N4S 1E6,10/21/2020
Gay Lea Dairy Museum - Kitchen,48075 Jamestown Line Aylmer ON N5H 2R2,
Gino's Pizza,200 Broadway St. Tillsonburg ON N4G 5A7,02/21/2020
"Goal Post, The",170 Currie St Dutton ON N0L 1J0,
Godfathers Pizza,2 Stover St Norwich ON N0J 1P0,
Golden Restaurant,23 King St W Ingersoll ON N5C 2J2,12/16/2020
"Grace Café, The",323 Talbot St St. Thomas ON N5P 1B5,09/04/2020
Gramma Lynn's,100 Wilson Ave St Thomas ON N5R 3R2,
Granny's Pizza & Grill,"29 Wellington St, Box 343 Port Burwell ON N0J 1T0",02/13/2020
Green Frog Tea Room (Pinecroft),8122 Rogers Rd Aylmer ON N5H 2R4,
GT's Portside Restaurant,350 Edith Cavell Blvd Port Stanley ON N5L 1E2,
Hammersley's Fish Market,771 Talbot St St. Thomas ON N5P 1E3,
Harmony Restaurant,91 Broadway St Tillsonburg ON N4G 3P5,
Harry's Charcoal Broiled,891 Talbot St St Thomas ON N5P 1E6,10/19/2020
Harvey's,415 Norwich Ave Woodstock ON N4S 3W4,09/25/2020
Heavenly Sweets,127 Thames Street S Ingersoll ON N5C 2T3,12/04/2020
Heritage Lanes,1213 Talbot St St. Thomas ON N5P 1G8,
Hickory Grove - Store,21527 Gray Line Rodney ON N0L 2C0,
Highland Restaurant,103 Commissioners St Embro ON N0J 1J0,09/30/2020
Holland House,33317 Talbot Line Iona Station ON N0L 1P0,
Illusions,434-440 Dundas St Woodstock ON N4S 1C1,
Indigo Lounge,264 Tillson Ave Tillsonburg ON N4G 3B5,
Inn Out of the Cold,661 Talbot St St Thomas ON N5P 1C9,
"Innerkip Arms, The",116 Blandford St Innerkip ON N0J 1M0,
Innerkip Highlands Golf Club,805940 Oxford Rd 29 Innerkip ON N0J 1M0,
Inside U,79 Montclair Dr Woodstock ON N4V 1C5,10/02/2020
Ironworks Kitchen,529 Dundas St Woodstock ON N4S 1C3,10/02/2020
Izzy's Schooner's Restaurant & Patio Lookout,219-35 Robinson St Port Burwell ON N0J 1T0,02/18/2020
Jackpot City Gaming Entertainment,140 Edward Street St Thomas ON N5P 1Z3,03/12/2020
Jakemans,454414 Trillium Line Beachville ON N0J 1A0,03/04/2020
Jesse's Deli,681 Dundas St Woodstock ON N4S 1E5,10/28/2020
Jim's Lunch,28 Dundas St Princeton ON N0J 1V0,10/05/2020
Johnny's Restaurant,39 Talbot St E Aylmer ON N5H 1H3,07/28/2020
Kebab & Shawarma Inc,951 Devonshire Ave Woodstock ON N4S 5S1,02/18/2020
Kelsey's,525 Norwich Ave Woodstock ON N4V 1E6,10/20/2020
Kelsey's,247 Broadway St Tillsonburg ON N4G 3R4,10/21/2020
Kettle Creek Golf Club - Restaurant and Banquet Facility,320 Carlow Rd Port Stanley ON N5L 1B6,
Kettle Creek Inn,216 Joseph St Port Stanley ON N5L 1C4,11/26/2020
KFC,979 Talbot St St Thomas ON N5P 1E9,08/06/2020
KFC,80 Talbot St W Aylmer ON N5H 1J8,03/03/2020
KFC,670 Dundas St Woodstock ON N4S 1E6,
KFC/Taco Bell,166 Simcoe St Tillsonburg ON N4G 2H5,
Kintore Coffee Co.,117 Huron St Embro ON N0J 1J0,10/21/2020
Korner Perk,101 Broadway St Tillsonburg ON N4G 3P5,
Krushed Tomato Pizza Co.,523 Broadway St Tillsonburg ON N4G 3S8,
La Cocina,99 Talbot Street W Aylmer ON N5H 1J6,
