Inspection Result,Facility Name,Site Address,Last Inspection Date
,Aiya! Snacks,811 King Street East Hamilton ON L8M 1A8 Canada,18-Oct-19
,Ajio Korean & Japanese Rest.,161 King St E Hamilton ON L8N 1B1 Canada,20-Jan-21
,AJ's Grill,15-94 Dundas St E Flamborough ON L9H 7K6 Canada,17-Nov-20
,Al Naveed Grocery,214 Barton St Stoney Creek ON L8E 2K2 Canada,19-Nov-20
,Al Naveed Take-out,214 Barton St E StoneyCreek ON L8E 2K2 Canada,13-Nov-20
,AL QAYSAR,584 UPPER JAMES . HAMILTON ON L9C 2Y6 Canada,18-Jun-20
,Alamin Charcoal Flame,102-891 Upper James St Hamilton ON L9C 7N1 Canada,03-Feb-21
,ALAMIN GROCERY AND HALAL MEAT LTD.,870 UPPER JAMES ST HAMILTON,27-Oct-20
,ALBATROSS INDOOR GOLF CENTRE INC,1-105 PORTIA DR ANCASTER ON L9G 3K9 Canada,
,Ale House,802 1/2 Upper Gage Ave Hamilton ON L8V 4K4 Canada,21-Oct-20
,Alexander Place,329 Parkside Dr Waterdown ON L0R 2H0 Canada,11-Sep-20
,Alexandros Take Out,1400 Upper James HAMILTON,14-Oct-20
,Alex's Place,279 Kenilworth Ave N Hamilton ON L8H 4S8 Canada,
,Alfredo's Place,931 Fennell Ave E Hamilton ON L8V 1W9 Canada,03-Feb-21
,Alice Park,811 King St E HAMILTON,
,Alirang Restaurant,352 Main St W Hamilton ON L8P 1K2 Canada,20-Nov-19
,All Class Mobile Kitchen - Plate #256,Special Events,
,All Nations Full Gospel,1209 Main Street East Hamilton ON L8K 1A3 Canada,04-Sep-19
,ALL SEASONED JAMAICAN CUISINE,28 BARTON ST.E HAMILTON,05-Jan-21
,All Souls Parish Hall,21 Barton St W Hamilton ON L8L 1A2 Canada,19-Dec-19
,Allen's Catering - Plate # 019,76 Mountain Ave N Stoney Creeek ON L9G 3P5 Canada,07-Mar-18
,Allure Lounge,362 Barton St. E Hamilton Ontario Canada,02-Dec-20
,Al-Omara Hamilton Place Inc.,798 Concession St Hamilton ON L8V 1C9 Canada,19-Aug-20
,Alpini Private Club,642 Barton St E Hamilton ON L8L 3A2 Canada,15-May-18
,Always Convenience,581 Main St E Hamilton ON L8M 1H9 Canada,15-Sep-20
,AMARAL'S BAR,144 BARTON ST. E HAMILTON ON L8L 2W4 Canada,17-Jul-20
,Amazing Adventures Playland,240 Nebo Road Hamilton ON L8W 2E4,07-Nov-19
,American Iron & Metal Company Inc. Plate# 093,75 Steel City Ct Hamilton ON L8H 3Y2 Canada,13-Jun-19
,Amica at Dundas,50 Hatt St Dundas ON L9A 0A1 Canada,07-Dec-20
,Amica at Stoney Creek,135 King St E Hamilton ON L8G 1L4 Canada,20-Oct-20
,Amica at Stoney Creek (Ice Cream Parlour),135 King St E Hamilton ON L8G 1L4 Canada,11-Jun-20
,Amigo's,109 George St Hamilton ON L8P 1E3 Canada,13-Aug-20
,Amir Pitas and Grill,114 Sanford Ave N Hamilton ON L8L 5Z2 Canada,02-Oct-20
,AMO Gelato Cafe Inc,171 Locke St S Hamilton ON ON L8P Canada,11-Jun-19
,Amy's Wok - Restaurant,160 Centennial Pkwy Hamilton ON L8E 1H8 Canada,22-Oct-20
,Ancaster Agricultural Society,630 Trinity Rd S Ancaster ON L0R 1R0 Canada,10-Nov-20
,Ancaster Christian Reformed Church,70 Garner Rd E Ancaster ON L9G 3K9 Canada,04-Nov-20
,Ancaster Community Services,300 Wilson St E Ancaster ON L9G 2B9 Canada,16-Dec-20
,Ancaster Farmers Market,630 Trinity Rd S Ancaster ON,02-Sep-20
,Ancaster High School - Cafeteria,374 Jerseyville Rd Ancaster ON L9G 3K8 Canada,02-Dec-20
,Ancaster Ice Cream Parlour,1075 Wilson St W Ancaster ON Canada,01-Aug-19
,Ancaster Lions Property Inc.,1030 Lower Lions Club Ancaster ON L9H 5E3 Canada,11-Nov-20
,Ancaster Mill,548 Old Dundas Rd ANCASTER ON L9G 3J4 Canada,06-Nov-20
,Ancaster Pizza,240 Wilson St E Ancaster ON L9H 2B7 Canada,04-Feb-21
,Ancaster Senior Achievement Ctr.,622 Alberton Rd S Alberton ON L0R 1A0 Canada,21-Feb-20
,Ancaster Township Hall,300 Wilson St E Ancaster ON L9G 2B7 Canada,16-Dec-19
,Anchor Association,42 Spadara Dr Hamilron ON L9B 2K3 Canada,25-Nov-20
